openTime,open,high,low,close,volume,closeTime
1630195200000,2.6883,2.7121,2.6686,2.6854,11429.19589803,1630281599999
1630281600000,2.6816,2.6884,2.5466,2.5474,36446.41959965,1630367999999
1630368000000,2.54,2.6955,2.507,2.5893,61106.78677561,1630454399999
1630454400000,2.5828,2.8465,2.5321,2.8324,115791.07034538,1630540799999
1630540800000,2.8239,2.9016,2.7576,2.8294,77068.39995293,1630627199999
1630627200000,2.8225,3.0902,2.6923,3.0076,130553.17363039,1630713599999
1630713600000,2.9964,3.1736,2.9408,3.0975,146503.06774205,1630799999999
1630800000000,3.0989,3.4,3.0811,3.2273,322437.25709185,1630886399999
1630886400000,3.2228,3.45,2.9612,3.1241,136665.81784258,1630972799999
1630972800000,3.1233,3.1494,2.1968,2.4637,197926.26628522,1631059199999
1631059200000,2.48,2.5545,2.1822,2.4669,116805.35411969,1631145599999
1631145600000,2.4749,2.7605,2.3996,2.5567,184008.29820651,1631231999999
1631232000000,2.5714,2.6693,2.3227,2.442,73663.60698331,1631318399999
1631318400000,2.4466,2.5611,2.4014,2.4622,60079.13331303,1631404799999
1631404800000,2.4805,2.6405,2.3991,2.5363,66594.42027459,1631491199999
1631491200000,2.5284,2.5509,2.3191,2.3986,51786.45720608,1631577599999
1631577600000,2.4152,2.6397,2.4018,2.6,100571.77208405,1631663999999
1631664000000,2.604,2.819,2.5579,2.789,84914.71546354,1631750399999
1631750400000,2.794,2.991,2.7014,2.8298,187943.6801269,1631836799999
1631836800000,2.827,2.8419,2.5643,2.6445,85433.45762197,1631923199999
1631923200000,2.6526,2.8307,2.6121,2.6645,101386.07081629,1632009599999
1632009600000,2.673,2.6814,2.4852,2.5215,29167.01009485,1632095999999
1632096000000,2.4796,2.4797,2.1441,2.1791,67409.94261237,1632182399999
1632182400000,2.1609,2.2722,1.9215,1.9557,55518.92068806,1632268799999
1632268800000,1.9777,2.2899,1.9483,2.2554,57774.78412064,1632355199999
1632355200000,2.2383,2.4328,2.1978,2.3707,105379.3079735,1632441599999
1632441600000,2.3728,2.3773,2.0242,2.1636,76858.87941404,1632527999999
1632528000000,2.174,2.2207,2.0935,2.1375,29479.67249882,1632614399999
1632614400000,2.1289,2.3906,1.8948,2.2937,198043.22842717,1632700799999
1632700800000,2.2832,2.486,2.1565,2.1637,111032.63622976,1632787199999
1632787200000,2.1533,2.2332,2.0376,2.0382,38237.89977991,1632873599999
1632873600000,2.0532,2.2309,2.0218,2.1452,67552.88199056,1632959999999
1632960000000,2.1614,2.295,2.1608,2.2093,62089.6570052,1633046399999
1633046400000,2.1957,2.5513,2.1957,2.5102,194422.20056579,1633132799999
1633132800000,2.5123,2.7234,2.4244,2.6294,200065.81277985,1633219199999
1633219200000,2.6435,2.8054,2.5558,2.6507,282767.00459754,1633305599999
1633305600000,2.6269,2.78,2.512,2.7301,168884.00384263,1633391999999
1633392000000,2.7373,2.8748,2.6801,2.8202,156191.62193529,1633478399999
1633478400000,2.839,2.89,2.5646,2.6982,156915.53521119,1633564799999
1633564800000,2.6879,2.8227,2.6185,2.7023,102272.07305858,1633651199999
1633651200000,2.7089,2.8422,2.6807,2.7253,85336.5958969,1633737599999
1633737600000,2.7202,2.8014,2.7197,2.7598,55216.69624157,1633823999999
1633824000000,2.7512,2.758,2.55,2.5596,60923.60005428,1633910399999
1633910400000,2.5198,2.6356,2.4339,2.5114,72428.62069065,1633996799999
1633996800000,2.4873,2.5469,2.3453,2.5084,60283.93457187,1634083199999
1634083200000,2.5168,2.5989,2.453,2.5556,72742.11136496,1634169599999
1634169600000,2.5578,3.0327,2.5455,2.885,578449.27209556,1634255999999
1634256000000,2.9037,2.9037,2.6206,2.7828,365035.85061937,1634342399999
1634342400000,2.7881,2.9123,2.7404,2.7582,187035.11390724,1634428799999
1634428800000,2.7624,3.3,2.7204,3.0,617456.37335125,1634515199999
1634515200000,3.0069,3.1487,2.8425,2.9629,596774.67872503,1634601599999
1634601600000,2.9703,3.3,2.9454,3.2159,569493.22828556,1634687999999
1634688000000,3.205,3.71,3.0913,3.5843,1256951.13363744,1634774399999
1634774400000,3.5821,3.9295,3.4791,3.5504,1030888.47864451,1634860799999
1634860800000,3.5543,3.7217,3.3729,3.4563,509194.75384449,1634947199999
1634947200000,3.4586,3.5003,3.292,3.4587,276733.98559014,1635033599999
1635033600000,3.4295,3.5038,3.1759,3.2889,263659.66585592,1635119999999
1635120000000,3.2707,3.6458,3.2324,3.4759,382912.2572479,1635206399999
1635206400000,3.4899,3.6125,3.1518,3.4092,319733.13975145,1635292799999
1635292800000,3.4089,805.96,3.3779,4.9305,6447135.00423454,1635379199999
1635379200000,4.9388,4.979,4.0736,4.3895,1302568.39028717,1635465599999
1635465600000,4.3761,4.783,4.2376,4.3619,454738.4832265,1635551999999
1635552000000,4.3624,4.4368,3.9602,4.0657,404923.50028888,1635638399999
1635638400000,4.053,4.0627,3.7206,3.9574,363901.17147698,1635724799999
1635724800000,3.9564,4.0504,3.6696,3.9394,342248.43216609,1635811199999
1635811200000,3.9279,4.1221,3.8,3.9914,373292.4200417,1635897599999
1635897600000,3.9937,3.9937,3.7324,3.7982,279954.5729802,1635983999999
1635984000000,3.8187,4.04,3.714,3.902,311094.4072771,1636070399999
1636070400000,3.865,4.0,3.781,3.8049,146566.71308645,1636156799999
1636156800000,3.8082,3.9135,3.6,3.8303,161648.39974159,1636243199999
1636243200000,3.8278,4.0182,3.7823,3.938,199763.89365158,1636329599999
1636329600000,3.9678,3.99,3.8171,3.99,179076.62106293,1636415999999
1636416000000,3.99,4.0,3.8001,3.8178,192479.06826908,1636502399999
1636502400000,3.822,4.1044,3.3,3.564,416618.313552,1636588799999
1636588800000,3.5423,3.923,3.5,3.7615,201445.84225254,1636675199999
1636675200000,3.7306,3.7313,3.4927,3.6585,105214.84642772,1636761599999
1636761600000,3.645,3.7583,3.5906,3.7388,139764.7117829,1636847999999
1636848000000,3.7383,3.7943,3.6311,3.7368,93147.59606497,1636934399999
1636934400000,3.7393,3.7993,3.6497,3.6919,106543.00316243,1637020799999
1637020800000,3.6646,3.6654,3.1006,3.4082,202963.97804722,1637107199999
1637107200000,3.406,3.49,3.2811,3.4768,95180.82208251,1637193599999
1637193600000,3.4695,3.5313,3.0593,3.1233,124876.66643603,1637279999999
1637280000000,3.1237,3.5247,3.0674,3.4562,132940.99396986,1637366399999
1637366400000,3.4598,3.5799,3.381,3.53,105992.65690751,1637452799999
1637452800000,3.5309,3.6806,3.434,3.5355,189046.6768503,1637539199999
1637539200000,3.5467,3.5553,3.3413,3.4056,139988.78277403,1637625599999
1637625600000,3.3957,3.685,3.3007,3.5984,227272.0007964,1637711999999
1637712000000,3.5876,3.6824,3.4691,3.5644,263266.44566667,1637798399999
1637798400000,3.5642,3.8735,3.5356,3.7916,262232.68888952,1637884799999
1637884800000,3.7981,3.8031,3.1927,3.2426,295218.93136224,1637971199999
1637971200000,3.2499,3.372,3.2241,3.2718,123946.95363152,1638057599999
1638057600000,3.2728,3.2841,3.0,3.2448,137614.91625547,1638143999999
1638144000000,3.2339,3.354,3.177,3.336,130402.38012461,1638230399999
1638230400000,3.3358,3.3635,3.1158,3.1318,128170.04272311,1638316799999
1638316800000,3.13,3.781,3.1151,3.2531,775377.3998319,1638403199999
1638403200000,3.2489,3.3,3.0109,3.0789,209898.92849274,1638489599999
1638489600000,3.0795,3.1087,2.7,2.773,333271.03406903,1638575999999
1638576000000,2.7729,2.7741,1.8121,2.368,1292328.50546467,1638662399999
1638662400000,2.3568,2.5536,2.1995,2.3286,712654.08778733,1638748799999
1638748800000,2.3357,2.3811,2.0141,2.3623,324712.91116048,1638835199999
1638835200000,2.3576,2.537,2.3462,2.3806,211391.94591826,1638921599999
