openTime,open,high,low,close,volume,closeTime
1710331200000,2.702,3.1166,2.529,2.9365,1051517.8749252,1710352799999
1710352800000,2.9296,3.0505,2.71,2.9702,493312.61031836,1710374399999
1710374400000,2.9804,2.9866,2.6789,2.7098,199963.32405827,1710395999999
1710396000000,2.719,2.8297,2.6698,2.6816,368544.41323387,1710417599999
1710417600000,2.692,2.9072,2.625,2.7686,669190.76789144,1710439199999
1710439200000,2.7699,2.8478,2.6718,2.795,259977.83044745,1710460799999
1710460800000,2.7945,2.8468,2.561,2.6406,345242.65032721,1710482399999
1710482400000,2.6415,2.6944,2.4001,2.5732,219304.81172893,1710503999999
1710504000000,2.562,2.5974,2.4286,2.5098,288512.04745894,1710525599999
1710525600000,2.5103,2.5616,2.4237,2.5241,404857.29454258,1710547199999
1710547200000,2.5182,2.8071,2.5182,2.7765,186300.7750911,1710568799999
1710568800000,2.7673,2.8099,2.5433,2.6152,288699.44212548,1710590399999
1710590400000,2.6212,2.6491,2.4569,2.4769,292788.40599125,1710611999999
1710612000000,2.4873,2.6806,2.411,2.6508,295618.28593687,1710633599999
1710633600000,2.6495,2.6888,2.5038,2.5228,76692.59393826,1710655199999
1710655200000,2.5301,2.5322,2.4075,2.5106,157763.46847527,1710676799999
1710676800000,2.5006,2.5611,2.4411,2.5597,143030.98682773,1710698399999
1710698400000,2.557,2.5984,2.5007,2.5716,72866.75051898,1710719999999
1710720000000,2.5734,2.5737,2.451,2.508,71936.38711492,1710741599999
1710741600000,2.5018,2.511,2.2808,2.2944,150099.62390099,1710763199999
1710763200000,2.2947,2.2969,2.0199,2.14,466412.84697389,1710784799999
1710784800000,2.1367,2.1894,2.0587,2.1675,265764.41442245,1710806399999
1710806400000,2.1616,2.1857,1.9452,1.9486,418875.68768955,1710827999999
1710828000000,1.9528,2.0789,1.84,2.0604,713511.33254257,1710849599999
1710849600000,2.0513,2.1215,1.9981,2.0757,389416.23128876,1710871199999
1710871200000,2.0795,2.1364,1.9207,1.9679,298109.5782766,1710892799999
1710892800000,1.968,2.0072,1.8786,2.0056,219149.79565454,1710914399999
1710914400000,2.0047,2.0948,1.9895,2.0901,162879.98761249,1710935999999
1710936000000,2.0829,2.3095,2.0283,2.2265,611977.85493766,1710957599999
1710957600000,2.2269,2.4254,2.1516,2.3714,411493.7944184,1710979199999
1710979200000,2.3709,2.5055,2.2251,2.2876,292020.91690025,1711000799999
1711000800000,2.2914,2.3578,2.2596,2.2805,218738.5504836,1711022399999
1711022400000,2.2953,2.3555,2.228,2.2646,239056.4876256,1711043999999
1711044000000,2.272,2.3305,2.2065,2.3012,143665.82631214,1711065599999
1711065600000,2.2942,2.3187,2.1836,2.3155,69630.10439543,1711087199999
1711087200000,2.2989,2.3098,2.1768,2.1825,67271.10804376,1711108799999
1711108800000,2.1851,2.2144,2.1053,2.1811,210393.00804386,1711130399999
1711130400000,2.1809,2.2167,2.148,2.2157,55196.94133387,1711151999999
1711152000000,2.2193,2.257,2.1755,2.2125,37708.83479241,1711173599999
1711173600000,2.2216,2.2656,2.2126,2.2374,33909.89515978,1711195199999
1711195200000,2.236,2.2857,2.1953,2.2777,71013.1856878,1711216799999
1711216800000,2.2685,2.361,2.2317,2.2317,112302.77485652,1711238399999
1711238400000,2.2252,2.2616,2.1654,2.1863,19495.443697,1711259999999
1711260000000,2.1858,2.2243,2.1603,2.2202,25558.15816934,1711281599999
1711281600000,2.2188,2.2505,2.1736,2.1914,76753.08250815,1711303199999
1711303200000,2.1939,2.2737,2.1939,2.2598,41874.37111062,1711324799999
1711324800000,2.2445,2.3349,2.2376,2.2981,39559.10180171,1711346399999
1711346400000,2.2923,2.2923,2.227,2.229,62460.28655926,1711367999999
1711368000000,2.2259,2.3151,2.1774,2.2917,124510.64753502,1711389599999
1711389600000,2.2882,2.3042,2.24,2.2584,66065.77099562,1711411199999
1711411200000,2.2683,2.3771,2.2683,2.3635,68115.2300385,1711432799999
1711432800000,2.3678,2.4067,2.329,2.3364,98725.4603058,1711454399999
1711454400000,2.33,2.3559,2.1953,2.2168,104485.93729742,1711475999999
1711476000000,2.2138,2.2744,2.2094,2.2581,52785.99185147,1711497599999
1711497600000,2.2596,2.5632,2.2376,2.4951,185607.39236809,1711519199999
1711519200000,2.5023,2.8003,2.4648,2.5668,726810.1272351,1711540799999
1711540800000,2.567,2.9198,2.5535,2.857,1198191.67289439,1711562399999
1711562400000,2.857,3.45,2.7641,3.421,1660929.67483064,1711583999999
1711584000000,3.4207,3.6829,3.112,3.3123,1129892.16935058,1711605599999
1711605600000,3.318,3.4077,2.9167,2.924,726986.08506014,1711627199999
1711627200000,2.9268,3.058,2.8168,3.0179,460786.81485524,1711648799999
