openTime,open,high,low,close,volume,closeTime
1777420800000,0.033401,0.048,0.027491,0.033414,1.314223787380001E7,1777463999999
1777464000000,0.033292,0.051218,0.02963,0.044181,1.2862912318120003E8,1777507199999
1777507200000,0.044211,0.052651,0.035394,0.037362,5.537848423050001E7,1777550399999
1777550400000,0.037417,0.039547,0.030629,0.033358,4.29404795341E7,1777593599999
1777593600000,0.0335,0.036083,0.029157,0.030306,2.19306454996E7,1777636799999
1777636800000,0.030168,0.032641,0.029689,0.030888,1.51453795786E7,1777679999999
1777680000000,0.031055,0.031977,0.02486,0.026274,2.14803864502E7,1777723199999
1777723200000,0.026332,0.028023,0.024321,0.026777,1.7849358978E7,1777766399999
1777766400000,0.026669,0.035816,0.025396,0.032747,4.96935909062E7,1777809599999
1777809600000,0.0328,0.035,0.029,0.033494,4.41911870652E7,1777852799999
1777852800000,0.033587,0.039755,0.029637,0.029754,4.18123442429E7,1777895999999
1777896000000,0.029713,0.032033,0.028706,0.030494,2.2965783572E7,1777939199999
1777939200000,0.030493,0.0316,0.029386,0.029849,1.24346984836E7,1777982399999
1777982400000,0.029775,0.029933,0.027089,0.027774,1.28687614536E7,1778025599999
1778025600000,0.027773,0.0285,0.02676,0.027442,1.06550336808E7,1778068799999
1778068800000,0.027416,0.028099,0.026091,0.026606,9886453.5138,1778111999999
1778112000000,0.026604,0.0296,0.02582,0.029576,2.376783278400001E7,1778155199999
1778155200000,0.02957,0.030048,0.026959,0.029311,1.73388556661E7,1778198399999
1778198400000,0.02932,0.031222,0.028159,0.029094,8071325.8142,1778241599999
1778241600000,0.0292,0.031,0.02868,0.03074,1.15104186584E7,1778284799999
1778284800000,0.030751,0.031867,0.029237,0.029812,1.08492041287E7,1778327999999
1778328000000,0.029951,0.0335,0.02935,0.032786,1.32117498861E7,1778371199999
1778371200000,0.032294,0.033407,0.031252,0.032804,9488061.5778,1778414399999
1778414400000,0.03285,0.03462,0.0322,0.032946,1.47475371252E7,1778457599999
1778457600000,0.0328,0.032923,0.03033,0.032624,6308741.1337,1778500799999
1778500800000,0.032745,0.033,0.0285,0.028766,1.03585756634E7,1778543999999
1778544000000,0.028638,0.029364,0.027901,0.028385,5311878.4931,1778587199999
1778587200000,0.028598,0.029699,0.026684,0.027991,1.05118543981E7,1778630399999
1778630400000,0.028025,0.028231,0.026685,0.027082,5486265.028,1778673599999
1778673600000,0.027124,0.027169,0.023334,0.024897,1.33449273311E7,1778716799999
1778716800000,0.02511,0.0397,0.024848,0.037979,5.313738135730003E7,1778759999999
1778760000000,0.037944,0.045204,0.032364,0.034238,8.395829616870001E7,1778803199999
1778803200000,0.034263,0.042303,0.03285,0.0375,4.127264065119999E7,1778846399999
1778846400000,0.037634,0.037662,0.031156,0.032014,1.70554203754E7,1778889599999
1778889600000,0.031926,0.0334,0.0282,0.029739,1.34853892661E7,1778932799999
1778932800000,0.029739,0.0325,0.0293,0.030825,1.49849027449E7,1778975999999
1778976000000,0.031236,0.034599,0.0299,0.033944,1.72395522441E7,1779019199999
1779019200000,0.033943,0.034,0.028601,0.029414,1.73832399735E7,1779062399999
1779062400000,0.029133,0.038671,0.028795,0.031505,2.16471881299E7,1779105599999
1779105600000,0.031452,0.0335,0.0305,0.031766,1.51028317742E7,1779148799999
1779148800000,0.031894,0.03265,0.029665,0.030597,5002598.291,1779191999999
1779192000000,0.030723,0.0314,0.029021,0.029562,6042173.729,1779235199999
1779235200000,0.029601,0.030843,0.029,0.030592,4732047.4464,1779278399999
1779278400000,0.030494,0.030804,0.028754,0.0292,9594556.3167,1779321599999
1779321600000,0.029228,0.030324,0.026618,0.027641,6587572.9922,1779364799999
1779364800000,0.027636,0.027738,0.026,0.026742,1.2718541063E7,1779407999999
1779408000000,0.026552,0.029746,0.026528,0.028082,7597137.1522,1779451199999
1779451200000,0.027953,0.029223,0.0265,0.028648,1.14091897141E7,1779494399999
1779494400000,0.028402,0.031144,0.027507,0.02816,1.30035849134E7,1779537599999
1779537600000,0.028091,0.032131,0.027372,0.030837,1.41323541926E7,1779580799999
1779580800000,0.030584,0.0315,0.029192,0.029828,5768339.6471,1779623999999
1779624000000,0.029904,0.030172,0.027559,0.02858,1.37119618211E7,1779667199999
1779667200000,0.028572,0.029046,0.027944,0.028056,3036659.3855,1779710399999
1779710400000,0.028,0.028189,0.026,0.026818,1.21482252062E7,1779753599999
1779753600000,0.026871,0.02736,0.025767,0.025976,3588962.4503,1779796799999
1779796800000,0.025967,0.02642,0.024664,0.025789,1.05049400266E7,1779839999999
1779840000000,0.025909,0.025952,0.0242,0.024684,2907515.4405,1779883199999
1779883200000,0.024623,0.025077,0.023606,0.0246,3528034.3248,1779926399999
1779926400000,0.024412,0.024413,0.022,0.023801,5030653.2376,1779969599999
1779969600000,0.023514,0.025325,0.022696,0.025089,4531860.2836,1780012799999
1780012800000,0.024937,0.031985,0.024577,0.026127,2.75870528501E7,1780055999999
1780056000000,0.026137,0.028639,0.025488,0.027513,1.12688511314E7,1780099199999
1780099200000,0.027561,0.028154,0.024642,0.02497,4491606.6623,1780142399999
1780142400000,0.024942,0.025414,0.023958,0.024311,4151287.9058,1780185599999
1780185600000,0.024471,0.024778,0.0231,0.024665,4287793.4049,1780228799999
1780228800000,0.0247,0.026368,0.024488,0.025338,6556142.294,1780271999999
1780272000000,0.025621,0.026646,0.024895,0.025277,4048887.8926,1780315199999
1780315200000,0.025281,0.029069,0.025184,0.02837,1.35792129885E7,1780358399999
1780358400000,0.028391,0.029041,0.025601,0.025792,7424928.4658,1780401599999
1780401600000,0.025794,0.025986,0.023501,0.023874,1.24794623354E7,1780444799999
1780444800000,0.023937,0.025688,0.023806,0.024329,6824868.4193,1780487999999
1780488000000,0.024432,0.025154,0.0234,0.023715,3635335.1398,1780531199999
1780531200000,0.02385,0.024941,0.02188,0.023723,5554754.1972,1780574399999
1780574400000,0.023722,0.024593,0.022847,0.023704,3863360.596,1780617599999
1780617600000,0.023723,0.024784,0.021887,0.022071,5199278.1811,1780660799999
1780660800000,0.022,0.022856,0.020899,0.021664,6355162.8905,1780703999999
1780704000000,0.021858,0.022234,0.019099,0.020058,6455238.549,1780747199999
1780747200000,0.020206,0.0208,0.0192,0.019389,7153442.9954,1780790399999
1780790400000,0.019678,0.020461,0.019481,0.020289,4557463.3715,1780833599999
1780833600000,0.020331,0.0205,0.018904,0.019562,6336631.6213,1780876799999
1780876800000,0.019614,0.020019,0.019049,0.019565,1355872.7265,1780919999999
1780920000000,0.019471,0.020702,0.019285,0.020072,3918039.0391,1780963199999
1780963200000,0.020071,0.020299,0.018881,0.020203,3511002.9984,1781006399999
1781006400000,0.020202,0.022631,0.019767,0.022497,1.02072063102E7,1781049599999
1781049600000,0.022512,0.023094,0.020555,0.02185,5689634.8502,1781092799999
1781092800000,0.02171,0.023793,0.021256,0.022265,5198430.2357,1781135999999
1781136000000,0.022288,0.024751,0.021416,0.023861,7108834.0407,1781179199999
1781179200000,0.023895,0.024972,0.02367,0.02387,7050528.9979,1781222399999
1781222400000,0.023938,0.024235,0.02255,0.022858,6661891.8914,1781265599999
1781265600000,0.022869,0.023613,0.02273,0.023151,2457720.5076,1781308799999
1781308800000,0.02305,0.02355,0.021731,0.022926,3227428.1503,1781351999999
1781352000000,0.022926,0.024129,0.022801,0.02383,2807692.4828,1781395199999
1781395200000,0.023823,0.024941,0.0231,0.024448,3905115.7675,1781438399999
1781438400000,0.02446,0.024673,0.022896,0.024143,4477105.214,1781481599999
1781481600000,0.024214,0.025017,0.023305,0.023938,4507826.3997,1781524799999
1781524800000,0.023922,0.024069,0.02225,0.022358,2570289.0472,1781567999999
1781568000000,0.022499,0.022499,0.021681,0.02219,3785871.3374,1781611199999
1781611200000,0.022125,0.022207,0.021001,0.021004,2606540.226,1781654399999
1781654400000,0.021,0.021417,0.020601,0.021082,2276771.2585,1781697599999
1781697600000,0.021096,0.021386,0.020396,0.021241,2525905.1371,1781740799999
1781740800000,0.021216,0.0226,0.021174,0.021932,5959135.4238,1781783999999
1781784000000,0.021995,0.022632,0.021336,0.022143,4933250.0537,1781827199999
1781827200000,0.022064,0.022522,0.021171,0.021219,2738303.5606,1781870399999
1781870400000,0.021219,0.023561,0.021172,0.022084,3988367.7971,1781913599999
1781913600000,0.022057,0.02338,0.021711,0.022545,2150063.1737,1781956799999
1781956800000,0.022658,0.02385,0.022658,0.023164,3279085.6063,1781999999999
1782000000000,0.023255,0.023641,0.022545,0.022626,2147238.7232,1782043199999
1782043200000,0.022649,0.022883,0.02167,0.021758,1851158.4565,1782086399999
1782086400000,0.021848,0.02358,0.02172,0.023029,2007432.6359,1782129599999
1782129600000,0.022979,0.022992,0.022072,0.022343,1866966.4543,1782172799999
1782172800000,0.022374,0.023529,0.021206,0.021697,3557850.6208,1782215999999
1782216000000,0.021691,0.021716,0.020834,0.021123,2416714.9096,1782259199999
1782259200000,0.021154,0.022144,0.020973,0.021476,1232549.0176,1782302399999
1782302400000,0.021518,0.021664,0.019161,0.019648,3231615.671,1782345599999
