openTime,open,high,low,close,volume,closeTime
1744149600000,0.82835,0.82835,0.82499,0.82499,542.57520674,1744156799999
1744156800000,0.82811,0.82883,0.79508,0.7955,5779.75342092,1744163999999
1744164000000,0.81888,0.82355,0.81888,0.82355,42.46203035,1744171199999
1744171200000,0.82806,0.8397,0.82714,0.83131,11577.31111616,1744178399999
1744178400000,0.83825,0.85273,0.83825,0.85273,624.2430003,1744185599999
1744185600000,0.85232,0.8529,0.84743,0.84865,816.43014255,1744192799999
1744192800000,0.84858,0.85326,0.84287,0.84288,873.23674845,1744199999999
1744200000000,0.83562,0.85647,0.82481,0.85647,3520.57173296,1744207199999
1744207200000,0.84763,0.84763,0.84242,0.84682,1563.33535986,1744214399999
1744214400000,0.84726,0.91508,0.84726,0.91508,41894.30537739,1744221599999
1744221600000,0.92785,0.94112,0.92028,0.92711,15449.44075229,1744228799999
1744228800000,0.92864,0.94815,0.92699,0.94623,15087.53094152,1744235999999
1744236000000,0.945,0.94728,0.93603,0.94435,9090.60222709,1744243199999
1744243200000,0.92189,0.92189,0.91863,0.91863,2051.68128432,1744250399999
1744250400000,0.90369,0.90369,0.90369,0.90369,587.62,1744257599999
1744257600000,0.91532,0.91532,0.91532,0.91532,210.0,1744264799999
1744264800000,0.91302,0.9139,0.91302,0.9139,549.49122878,1744271999999
1744272000000,0.90692,0.90714,0.90692,0.90714,813.88992789,1744279199999
1744279200000,0.90488,0.90528,0.89755,0.90035,2087.46679867,1744286399999
1744286400000,0.90898,0.96,0.8922,0.8948,6359.59266073,1744293599999
1744293600000,0.90561,0.90561,0.8683,0.8683,1641.94719825,1744300799999
1744300800000,0.88079,0.88079,0.87153,0.87153,9722.95002021,1744307999999
1744308000000,0.87628,0.87759,0.87628,0.87759,949.84930463,1744315199999
1744315200000,0.87381,0.88172,0.87381,0.88172,994.63400561,1744322399999
1744322400000,0.88639,0.88947,0.8853,0.88947,153.81088826,1744329599999
1744336800000,0.89389,0.90534,0.89389,0.90534,934.22151381,1744343999999
1744344000000,0.92022,0.93878,0.92022,0.925,54345.87282667,1744351199999
1744351200000,0.93547,0.93851,0.92736,0.93827,7359.93820187,1744358399999
1744358400000,0.93349,0.93349,0.92,0.92,11344.83158591,1744365599999
1744365600000,0.92282,0.92282,0.92049,0.92049,706.9629093,1744372799999
1744372800000,0.9177,0.92796,0.91039,0.9257,17511.19869667,1744379999999
1744380000000,0.91581,0.92205,0.91572,0.91943,5117.48,1744387199999
1744387200000,0.9244,0.93944,0.9244,0.93879,2498.21538608,1744394399999
1744394400000,0.94602,0.94897,0.93629,0.93629,11202.13335241,1744401599999
1744401600000,0.93761,0.95829,0.93711,0.94924,12268.72043008,1744408799999
1744408800000,0.95017,0.95017,0.94015,0.94015,10652.71883981,1744415999999
1744416000000,0.95441,0.98875,0.95441,0.97478,42990.43693541,1744423199999
1744423200000,1.02,1.1156,0.96556,0.97258,61885.2628457,1744430399999
1744430400000,0.97594,0.99748,0.97594,0.99263,25688.74462217,1744437599999
1744437600000,0.99482,1.0069,0.99031,1.0042,27902.30556536,1744444799999
1744444800000,1.0041,1.0115,0.98033,0.98033,5977.30710128,1744451999999
1744452000000,0.98577,0.99248,0.98503,0.98503,14572.67944785,1744459199999
1744459200000,0.98064,0.99857,0.98064,0.99551,13101.40665128,1744466399999
1744466400000,1.0077,1.0232,1.0066,1.0193,16359.78657104,1744473599999
1744473600000,1.0207,1.029,1.0087,1.0087,9014.99096912,1744480799999
1744480800000,1.0164,1.0248,1.0164,1.0202,3564.43413577,1744487999999
1744488000000,1.0206,1.0317,1.0206,1.0266,11080.55737968,1744495199999
1744495200000,1.0358,1.0358,1.0283,1.0283,1345.58340478,1744502399999
1744502400000,1.0225,1.0225,1.0037,1.0125,2490.87897272,1744509599999
1744509600000,0.99778,0.99778,0.99778,0.99778,150.0,1744516799999
1744516800000,0.99345,0.99345,0.99345,0.99345,472.28,1744523999999
1744524000000,0.99783,0.99783,0.99699,0.99699,1060.94910072,1744531199999
1744531200000,0.99563,0.99571,0.99379,0.99379,293.10014315,1744538399999
1744538400000,0.9982,1.0112,0.992,0.992,2733.92774889,1744545599999
1744545600000,0.99351,1.0084,0.99286,1.0084,556.07900192,1744552799999
1744552800000,0.98346,0.98346,0.98346,0.98346,10.07880425,1744559999999
1744560000000,0.97761,0.98542,0.97761,0.98542,4644.27111887,1744567199999
1744567200000,0.97594,0.97711,0.97137,0.97711,1092.04697196,1744574399999
1744574400000,0.94777,0.94777,0.93558,0.94484,22364.42339508,1744581599999
1744581600000,0.93,0.93267,0.91971,0.92572,23496.47196936,1744588799999
1744588800000,0.95302,0.95302,0.9309,0.9309,1000.29,1744595999999
1744596000000,0.94992,0.95,0.94514,0.94514,2837.76803698,1744603199999
1744603200000,0.95075,0.955,0.94688,0.95495,10501.29837133,1744610399999
1744610400000,0.94615,0.98212,0.94615,0.98212,531.21872016,1744617599999
1744617600000,0.98244,0.99277,0.9674,0.97877,2611.85089575,1744624799999
1744624800000,1.011,1.0475,0.96334,1.0142,18476.98980882,1744631999999
1744632000000,1.0217,1.0406,0.98457,0.99585,20599.72409055,1744639199999
1744639200000,0.99698,1.0163,0.99093,0.99093,5320.56637704,1744646399999
1744646400000,0.99346,0.99593,0.97978,0.9864,24040.74104233,1744653599999
1744653600000,0.98858,1.0052,0.98858,0.99725,13365.02872235,1744660799999
1744660800000,0.99636,0.99636,0.99303,0.99303,584.79286137,1744667999999
1744668000000,0.99457,0.99458,0.9839,0.98651,1621.89158611,1744675199999
1744675200000,0.98148,0.98148,0.96462,0.96782,399.85481062,1744682399999
1744682400000,0.98701,0.98701,0.97258,0.97768,3658.55816607,1744689599999
1744689600000,0.978,0.978,0.97526,0.97584,9201.82705009,1744696799999
1744696800000,0.96768,0.97994,0.96768,0.97989,14361.0749712,1744703999999
1744704000000,0.97578,0.97839,0.96759,0.97524,6523.25150369,1744711199999
1744711200000,0.97229,0.97229,0.96048,0.96511,1575.55226682,1744718399999
1744718400000,0.9676,0.97728,0.96383,0.97602,686.78502949,1744725599999
1744725600000,0.96,0.96399,0.95609,0.96019,5343.06019332,1744732799999
1744732800000,0.96042,0.964,0.95,0.95,11622.26452058,1744739999999
1744740000000,0.94292,0.95174,0.9322,0.9322,14584.27134174,1744747199999
1744747200000,0.94196,0.94829,0.93734,0.94829,355.74095347,1744754399999
1744754400000,0.94261,0.94261,0.94261,0.94261,444.91,1744761599999
1744761600000,0.93529,0.9354,0.92628,0.92628,187.39669443,1744768799999
1744768800000,0.9209,0.92138,0.9209,0.92127,87.09320887,1744775999999
1744776000000,0.92343,0.93748,0.92269,0.92592,457.12723579,1744783199999
1744783200000,0.91547,0.91547,0.91021,0.91021,89.84410154,1744790399999
1744790400000,0.90626,0.92262,0.90055,0.9141,6285.44996221,1744797599999
1744797600000,0.91032,0.91032,0.91032,0.91032,146.19045936,1744804799999
1744804800000,0.9148,0.91495,0.90898,0.91466,5271.84651691,1744811999999
1744812000000,0.91946,0.93222,0.91946,0.93222,669.70555811,1744819199999
1744819200000,0.926,0.926,0.9,0.9,86.3235392,1744826399999
1744826400000,0.92239,0.92239,0.91357,0.9166,333.12446381,1744833599999
1744833600000,0.94078,0.94084,0.94078,0.94084,1373.39722579,1744840799999
1744840800000,0.93603,0.93603,0.92178,0.92178,1166.50115665,1744847999999
1744848000000,0.91085,0.91085,0.91085,0.91085,447.33,1744855199999
1744855200000,0.88868,0.88878,0.88868,0.88878,699.31,1744862399999
1744862400000,0.88968,0.91059,0.88968,0.91059,1672.3652195,1744869599999
1744869600000,0.90871,0.90871,0.90871,0.90871,849.47,1744876799999
1744876800000,0.90455,0.90455,0.89588,0.90344,314.83662825,1744883999999
1744891200000,0.90303,0.91044,0.90303,0.90963,1481.14767205,1744898399999
1744898400000,0.90652,0.91815,0.89839,0.91815,6980.8739242,1744905599999
