openTime,open,high,low,close,volume,closeTime
1764835200000,0.25377,0.26,0.25377,0.25756,18300.19989482,1764849599999
1764849600000,0.25726,0.26047,0.25466,0.25831,74279.54725872,1764863999999
1764864000000,0.25897,0.25897,0.24972,0.25203,35416.72865114,1764878399999
1764878400000,0.25235,0.25345,0.25147,0.25345,631.08167373,1764892799999
1764892800000,0.2583,0.26147,0.25704,0.25846,80796.22837842,1764907199999
1764907200000,0.25437,0.26183,0.25181,0.25997,17213.54756164,1764921599999
1764921600000,0.26007,0.26347,0.25701,0.25916,15965.87585527,1764935999999
1764936000000,0.25275,0.25556,0.25275,0.25461,6219.94397984,1764950399999
1764950400000,0.25136,0.25136,0.2488,0.25116,1258.0894151,1764964799999
1764964800000,0.25397,0.25505,0.25317,0.25453,1585.18188831,1764979199999
1764979200000,0.2595,0.26177,0.245,0.2468,157310.25910528,1764993599999
1764993600000,0.24746,0.24886,0.24646,0.24759,38478.53951055,1765007999999
1765008000000,0.247,0.24844,0.24627,0.24844,17380.93202464,1765022399999
1765022400000,0.2496,0.25,0.2489,0.2489,11039.81181738,1765036799999
1765036800000,0.25118,0.25141,0.24844,0.24844,3074.84126462,1765051199999
1765051200000,0.24912,0.24912,0.24912,0.24912,0.05395208,1765065599999
1765080000000,0.246,0.246,0.24555,0.24555,978.73946013,1765094399999
1765094400000,0.24431,0.24488,0.24431,0.24488,194.78611574,1765108799999
1765108800000,0.24528,0.24528,0.23714,0.23714,10951.62626378,1765123199999
1765123200000,0.24231,0.24766,0.24231,0.24731,437.92550215,1765137599999
1765137600000,0.24802,0.24802,0.24527,0.24527,415.99555556,1765151999999
1765152000000,0.24396,0.24645,0.24396,0.24418,53669.88146981,1765166399999
1765166400000,0.24451,0.24756,0.24451,0.24652,19288.56105432,1765180799999
1765180800000,0.24623,0.24693,0.24591,0.24682,2433.0796739,1765195199999
1765195200000,0.24599,0.24599,0.24358,0.24358,427.23089587,1765209599999
1765209600000,0.24396,0.24498,0.24358,0.24358,81.86180533,1765223999999
1765224000000,0.24533,0.24552,0.24518,0.24552,1222.77663858,1765238399999
1765252800000,0.2437,0.2437,0.24248,0.24301,1060.05793574,1765267199999
1765267200000,0.24242,0.24261,0.24203,0.24261,3290.7904675,1765281599999
1765281600000,0.2437,0.25,0.2437,0.25,3547.20238452,1765295999999
1765296000000,0.25136,0.25545,0.25111,0.25448,38910.57783928,1765310399999
1765310400000,0.25432,0.25442,0.25001,0.25202,16079.01387503,1765324799999
1765324800000,0.25497,0.25561,0.25497,0.25561,50667.20353706,1765339199999
1765339200000,0.25355,0.25355,0.24973,0.24973,27494.96567373,1765353599999
1765353600000,0.25055,0.25055,0.24874,0.24925,4970.37721471,1765367999999
1765368000000,0.25073,0.25116,0.25029,0.25074,2484.32313126,1765382399999
