openTime,open,high,low,close,volume,closeTime
1782115200000,0.36,0.43,0.20001,0.2521,5065052.13273,1782143999999
1782144000000,0.25158,0.31175,0.236,0.26314,3088049.58226,1782172799999
1782172800000,0.26973,0.39041,0.25792,0.36322,3194973.35955,1782201599999
1782201600000,0.35998,0.37999,0.30215,0.31648,2888022.52029,1782230399999
1782230400000,0.31729,0.33052,0.27547,0.28917,2067674.11003,1782259199999
1782259200000,0.28707,0.3025,0.25907,0.26571,1152746.37714,1782287999999
1782288000000,0.26457,0.27333,0.22201,0.22488,2053863.69624,1782316799999
1782316800000,0.22622,0.24438,0.22564,0.24302,786359.49712,1782345599999
1782345600000,0.24019,0.24693,0.2127,0.2215,921366.3935,1782374399999
1782374400000,0.2215,0.22295,0.20014,0.21597,756150.0617,1782403199999
1782403200000,0.21597,0.23389,0.2148,0.23012,716988.00763,1782431999999
1782432000000,0.23133,0.25448,0.21306,0.24525,869091.96595,1782460799999
1782460800000,0.2446,0.25,0.21426,0.22422,788335.22707,1782489599999
1782489600000,0.22505,0.24117,0.22025,0.23375,443038.23091,1782518399999
1782518400000,0.24058,0.27448,0.22127,0.2474,1102978.14576,1782547199999
1782547200000,0.2482,0.26866,0.24356,0.2602,728297.36007,1782575999999
1782576000000,0.25859,0.27517,0.24859,0.26149,568443.78268,1782604799999
1782604800000,0.26369,0.27023,0.2333,0.24055,652088.78118,1782633599999
1782633600000,0.2415,0.24855,0.2344,0.2351,450148.77221,1782662399999
1782662400000,0.236,0.236,0.22315,0.22569,543323.7944,1782691199999
1782691200000,0.22222,0.22695,0.21204,0.21888,344811.20708,1782719999999
1782720000000,0.21656,0.2479,0.21474,0.2441,501997.8406,1782748799999
1782748800000,0.2436,0.24922,0.23859,0.24152,158208.79641,1782777599999
1782777600000,0.24572,0.257,0.22459,0.2275,749885.13512,1782806399999
1782806400000,0.22807,0.23137,0.222,0.22499,552565.04118,1782835199999
1782835200000,0.22563,0.22646,0.21644,0.2178,167535.63514,1782863999999
1782864000000,0.21893,0.22952,0.21865,0.22779,71768.50996,1782892799999
1782892800000,0.22431,0.22539,0.21,0.21766,161736.22713,1782921599999
1782921600000,0.21702,0.22263,0.19,0.19618,685791.40608,1782950399999
1782950400000,0.19622,0.19943,0.18119,0.18738,852182.23592,1782979199999
1782979200000,0.18678,0.19416,0.18335,0.19416,573153.25189,1783007999999
1783008000000,0.19633,0.19911,0.18584,0.1991,368277.67288,1783036799999
1783036800000,0.19792,0.19792,0.1868,0.18806,207284.74425,1783065599999
1783065600000,0.18685,0.1929,0.18387,0.1885,430369.27501,1783094399999
1783094400000,0.18914,0.19253,0.18545,0.18678,355223.69916,1783123199999
1783123200000,0.18641,0.19052,0.18398,0.18579,144861.37434,1783151999999
1783152000000,0.18593,0.19124,0.18443,0.19036,226126.40529,1783180799999
1783180800000,0.18961,0.18969,0.17771,0.18053,232850.38785,1783209599999
1783209600000,0.18008,0.20223,0.18008,0.19972,788743.00829,1783238399999
1783238400000,0.19914,0.21419,0.19388,0.20644,2881940.04952,1783267199999
1783267200000,0.2052,0.2136,0.20126,0.20869,1638695.66062,1783295999999
1783296000000,0.20812,0.2158,0.18889,0.19223,2000071.91517,1783324799999
1783324800000,0.19266,0.19456,0.18567,0.19456,362413.50268,1783353599999
1783353600000,0.19336,0.194,0.18749,0.19345,173198.63164,1783382399999
1783382400000,0.19116,0.19639,0.18674,0.19525,62542.28761,1783411199999
1783411200000,0.19753,0.19754,0.18902,0.18996,42829.67577,1783439999999
1783440000000,0.18878,0.1898,0.17167,0.17167,164968.79519,1783468799999
1783468800000,0.17342,0.17345,0.15671,0.16014,188997.06212,1783497599999
1783497600000,0.16025,0.16258,0.15518,0.15577,111054.87248,1783526399999
1783526400000,0.15652,0.16138,0.15567,0.16138,30168.84642,1783555199999
1783555200000,0.16049,0.16049,0.15842,0.1594,129.80424,1783583999999
1783584000000,0.15846,0.15929,0.15265,0.15373,44063.92358,1783612799999
1783612800000,0.1546,0.15828,0.1535,0.15828,24880.60071,1783641599999
1783641600000,0.15742,0.15834,0.15457,0.15463,14536.34337,1783670399999
1783670400000,0.1547,0.15886,0.15286,0.15462,89404.45119,1783699199999
1783699200000,0.15692,0.15796,0.15409,0.15752,11179.56622,1783727999999
1783728000000,0.15621,0.16476,0.15621,0.15787,10293.71767,1783756799999
1783756800000,0.15711,0.16186,0.15711,0.15953,17541.10269,1783785599999
1783785600000,0.16019,0.16601,0.15894,0.15907,39788.89703,1783814399999
1783814400000,0.15839,0.16017,0.15491,0.15616,23846.27128,1783843199999
1783843200000,0.15684,0.1588,0.15548,0.15655,19782.86072,1783871999999
1783872000000,0.15656,0.15656,0.14549,0.1468,29474.79466,1783900799999
1783900800000,0.14663,0.1573,0.14372,0.15074,170012.82367,1783929599999
1783929600000,0.15297,0.1599,0.15297,0.15329,33835.0807,1783958399999
1783958400000,0.1538,0.15573,0.14647,0.15142,31535.49653,1783987199999
1783987200000,0.15153,0.15203,0.14959,0.1511,65465.71896,1784015999999
1784016000000,0.15005,0.15027,0.1438,0.14744,69378.9536,1784044799999
1784044800000,0.14563,0.146,0.14276,0.14584,35047.19151,1784073599999
1784073600000,0.145,0.14938,0.14325,0.14325,15200.98361,1784102399999
1784102400000,0.1443,0.14477,0.14133,0.14133,62699.26727,1784131199999
1784131200000,0.13941,0.14163,0.13911,0.14105,19474.62159,1784159999999
1784160000000,0.14246,0.14355,0.14046,0.14046,15791.48701,1784188799999
1784188800000,0.1399,0.14083,0.13798,0.14083,21544.30684,1784217599999
1784217600000,0.14078,0.14135,0.1385,0.14135,43107.77099,1784246399999
1784246400000,0.1432,0.15051,0.1432,0.14906,103583.88212,1784275199999
1784275200000,0.15007,0.15575,0.14649,0.15536,404027.31624,1784303999999
1784304000000,0.1547,0.16703,0.14005,0.14109,808762.35453,1784332799999
1784332800000,0.14132,0.14836,0.1306,0.13139,115756.14654,1784361599999
1784361600000,0.13126,0.13353,0.12868,0.13099,159405.57512,1784390399999
1784390400000,0.13055,0.13427,0.12893,0.13192,105989.59587,1784419199999
1784419200000,0.13082,0.13473,0.13051,0.13268,62787.39588,1784447999999
1784448000000,0.13087,0.13087,0.12656,0.1293,31698.26944,1784476799999
1784476800000,0.12733,0.12819,0.12659,0.12743,9844.85158,1784505599999
1784505600000,0.12869,0.13829,0.12334,0.13098,504592.85306,1784534399999
1784534400000,0.13249,0.14298,0.13242,0.14298,79780.5165,1784563199999
1784563200000,0.14362,0.14402,0.1349,0.13523,64414.62122,1784591999999
1784592000000,0.13479,0.14053,0.13172,0.13172,75216.6922,1784620799999
1784620800000,0.13179,0.13391,0.13035,0.1339,33340.97616,1784649599999
1784649600000,0.13417,0.1345,0.13291,0.13291,20167.18785,1784678399999
1784678400000,0.13126,0.13934,0.13126,0.13906,25977.41813,1784707199999
1784707200000,0.14032,0.15168,0.14032,0.14747,210527.67472,1784735999999
1784736000000,0.14693,0.15135,0.14567,0.14686,172360.1324,1784764799999
1784764800000,0.14685,0.15482,0.1413,0.14169,96824.49123,1784793599999
1784793600000,0.14192,0.14491,0.13856,0.14491,65148.40142,1784822399999
1784822400000,0.14586,0.15255,0.14399,0.15254,103807.10507,1784851199999
1784851200000,0.15262,0.16339,0.14635,0.16189,171761.85366,1784879999999
1784880000000,0.16161,0.16169,0.151,0.15173,124343.70281,1784908799999
1784908800000,0.15126,0.15385,0.14835,0.15305,72977.16074,1784937599999
1784937600000,0.14896,0.15816,0.14779,0.15374,260621.52495,1784966399999
1784966400000,0.15288,0.15615,0.14975,0.15252,102344.45595,1784995199999
1784995200000,0.15287,0.15862,0.15075,0.15771,30754.28367,1785023999999
1785024000000,0.15648,0.16231,0.14859,0.15124,237223.24355,1785052799999
1785052800000,0.15093,0.15094,0.14548,0.14789,206722.95201,1785081599999
1785081600000,0.14768,0.14768,0.14099,0.14159,10400.72252,1785110399999
1785110400000,0.14158,0.14525,0.13845,0.14224,78535.86745,1785139199999
1785139200000,0.14049,0.14264,0.13441,0.13589,105235.5355,1785167999999
1785168000000,0.13602,0.1379,0.12911,0.13107,78320.0413,1785196799999
