openTime,open,high,low,close,volume,closeTime
1757440800000,0.19279,0.27,0.19189,0.26104,1450116.52063,1757444399999
1757444400000,0.26202,0.34029,0.24,0.32651,1593677.28835,1757447999999
1757448000000,0.33404,0.3389,0.25,0.26486,719742.82693,1757451599999
1757451600000,0.26588,0.27582,0.23712,0.25104,356964.94641,1757455199999
1757455200000,0.25703,0.26883,0.25081,0.25081,127888.8121,1757458799999
1757458800000,0.25081,0.2566,0.218,0.22284,146698.12875,1757462399999
1757462400000,0.223,0.225,0.20165,0.20165,85520.25992,1757465999999
1757466000000,0.20165,0.245,0.20083,0.23215,50826.31432,1757469599999
1757469600000,0.23211,0.23898,0.2,0.21338,303243.09203,1757473199999
1757473200000,0.21338,0.21338,0.1981,0.20388,188681.49224,1757476799999
1757476800000,0.20286,0.21452,0.1801,0.21452,332108.2482,1757480399999
1757480400000,0.21375,0.22361,0.19636,0.21278,573185.60568,1757483999999
1757484000000,0.2105,0.218,0.19508,0.19818,561943.69491,1757487599999
1757487600000,0.19831,0.20137,0.18035,0.18332,979387.80732,1757491199999
1757491200000,0.18339,0.21274,0.17701,0.20285,2502619.72481,1757494799999
1757494800000,0.20225,0.25793,0.20222,0.22515,3793130.80734001,1757498399999
1757498400000,0.2249,0.28117,0.22059,0.26883,2607907.65097,1757501999999
1757502000000,0.26777,0.285,0.24232,0.2465,1746458.61778,1757505599999
1757505600000,0.24778,0.2761,0.23167,0.26459,1464247.34915,1757509199999
1757509200000,0.26551,0.31009,0.25806,0.26833,2274613.21452001,1757512799999
1757512800000,0.26835,0.29144,0.23901,0.28064,2184789.3939,1757516399999
1757516400000,0.28131,0.31357,0.27365,0.29421,2899125.65285001,1757519999999
1757520000000,0.29421,0.33753,0.27556,0.31777,3260138.5934,1757523599999
1757523600000,0.31707,0.33234,0.29218,0.30199,1531735.0024,1757527199999
1757527200000,0.30216,0.32761,0.28273,0.32255,1784414.42953,1757530799999
1757530800000,0.32258,0.3236,0.291,0.29709,1126955.64559,1757534399999
1757534400000,0.29697,0.3146,0.29198,0.30297,1230514.73046,1757537999999
1757538000000,0.30477,0.32499,0.2953,0.3019,1537020.34112,1757541599999
1757541600000,0.30465,0.3048,0.27745,0.28562,831516.84286,1757545199999
1757545200000,0.28454,0.30709,0.28136,0.30116,273926.58754,1757548799999
1757548800000,0.2991,0.31394,0.29354,0.30008,319762.1971,1757552399999
1757552400000,0.30019,0.30811,0.28796,0.30435,388185.1543,1757555999999
1757556000000,0.30393,0.32385,0.29759,0.31096,360469.67825,1757559599999
1757559600000,0.31004,0.3124,0.2959,0.29645,207565.64051,1757563199999
1757563200000,0.2961,0.29977,0.28045,0.28561,495576.11232,1757566799999
1757566800000,0.28612,0.291,0.27872,0.2817,342606.99047,1757570399999
1757570400000,0.28,0.28589,0.25739,0.26529,890784.14633,1757573999999
1757574000000,0.26538,0.26874,0.25683,0.26035,479582.37331,1757577599999
1757577600000,0.26023,0.26776,0.24482,0.26358,1028951.27604,1757581199999
1757581200000,0.26366,0.26775,0.2572,0.26652,380302.96544,1757584799999
1757584800000,0.26552,0.2679,0.26065,0.26522,562205.58941,1757588399999
1757588400000,0.2646,0.27665,0.26251,0.26899,356667.60809,1757591999999
1757592000000,0.27076,0.27777,0.2625,0.26362,557686.54548,1757595599999
1757595600000,0.2635,0.26924,0.25745,0.258,482697.60628,1757599199999
1757599200000,0.25843,0.25843,0.23799,0.24181,554875.73057,1757602799999
