openTime,open,high,low,close,volume,closeTime
1707393600000,0.9399,65.0,0.93867,0.97814,2363491.39223291,1707436799999
1707436800000,0.9672,0.978,0.94113,0.96139,726750.39447117,1707479999999
1707480000000,0.9614,1.32,0.95083,1.32,1403104.78321279,1707523199999
1707523200000,1.2865,1.32,1.0133,1.0341,653038.01851806,1707566399999
1707566400000,1.0305,1.0324,0.99,1.0107,314854.65953116,1707609599999
1707609600000,1.0102,1.0268,0.99344,1.0,120950.37736696,1707652799999
1707652800000,1.001,1.0026,0.96,0.98819,167720.38022544,1707695999999
1707696000000,0.98372,0.99419,0.96961,0.973,57060.86428636,1707739199999
1707739200000,0.97361,1.0034,0.96855,0.99818,120591.86866215,1707782399999
1707782400000,0.9979,1.029,0.99515,1.0147,108810.91573981,1707825599999
1707825600000,1.0138,1.0495,0.9983,1.0495,162107.99824413,1707868799999
1707868800000,1.0433,1.1178,1.0422,1.1082,426863.76471052,1707911999999
1707912000000,1.1099,1.1418,1.0916,1.1415,360124.65110059,1707955199999
1707955200000,1.1323,1.1553,1.1143,1.1422,100696.95861843,1707998399999
1707998400000,1.1435,1.202,1.143,1.1603,161949.75922229,1708041599999
1708041600000,1.163,1.1846,1.1313,1.15,101250.93546451,1708084799999
1708084800000,1.15,1.1533,1.1157,1.1258,80761.08983614,1708127999999
1708128000000,1.1258,1.1349,1.1155,1.1166,31039.45412184,1708171199999
1708171200000,1.1194,1.1295,1.0901,1.1284,34858.56271193,1708214399999
1708214400000,1.1277,1.1384,1.1013,1.134,32625.96403267,1708257599999
1708257600000,1.1315,1.1619,1.1226,1.1476,57738.63022972,1708300799999
1708300800000,1.1456,1.1738,1.1387,1.1708,13129.70512387,1708343999999
1708344000000,1.1692,1.1965,1.1622,1.1834,62295.52483951,1708387199999
1708387200000,1.184,1.2572,1.1823,1.2093,164450.48724363,1708430399999
1708430400000,1.2039,1.2149,1.158,1.2017,79098.44917777,1708473599999
1708473600000,1.2048,1.2162,1.1526,1.1526,26406.20197521,1708516799999
1708516800000,1.1552,1.1794,1.1317,1.1532,132977.03693192,1708559999999
1708560000000,1.1597,1.3019,1.1569,1.2806,59021.84947109,1708603199999
1708603200000,1.2841,1.4141,1.283,1.3405,358610.90445732,1708646399999
1708646400000,1.3407,1.4546,1.3,1.3498,281202.16766388,1708689599999
1708689600000,1.3384,1.3462,1.3071,1.3326,96125.13580769,1708732799999
1708732800000,1.3308,1.3439,1.3041,1.3305,52116.36499591,1708775999999
1708776000000,1.3291,1.3672,1.3187,1.3615,62014.47876142,1708819199999
1708819200000,1.3635,1.383,1.355,1.3695,71027.64452327,1708862399999
1708862400000,1.37,1.3819,1.3253,1.3391,92576.54950927,1708905599999
1708905600000,1.3394,1.3602,1.3084,1.3125,68622.90750282,1708948799999
1708948800000,1.3127,1.3616,1.3077,1.3592,23907.45120638,1708991999999
1708992000000,1.3618,1.3627,1.319,1.3358,28524.68410699,1709035199999
1709035200000,1.3362,1.3917,1.3122,1.3307,43628.33099662,1709078399999
1709078400000,1.3322,1.3899,1.3322,1.3836,13552.84052496,1709121599999
1709121600000,1.3846,1.5,1.3424,1.4486,400539.89992262,1709164799999
1709164800000,1.4551,1.4716,1.4261,1.4454,70361.06527506,1709207999999
1709208000000,1.4436,1.4561,1.3851,1.397,75575.3567297,1709251199999
1709251200000,1.3964,4.2,1.3907,1.9951,3131650.33734062,1709294399999
1709294400000,2.011,2.0789,1.7344,1.8216,2474546.28506067,1709337599999
1709337600000,1.8199,1.8776,1.7009,1.855,1039696.30461764,1709380799999
1709380800000,1.854,1.9007,1.7707,1.8125,445833.3037026,1709423999999
1709424000000,1.8059,2.5442,1.798,2.1391,3265327.7159974,1709467199999
1709467200000,2.1524,2.3565,2.1106,2.1836,782456.49758082,1709510399999
1709510400000,2.1944,2.3299,2.1,2.1354,865524.265527,1709553599999
1709553600000,2.1286,2.14,1.9362,2.0213,676565.3660428,1709596799999
1709596800000,2.0188,2.0871,1.9406,2.0525,723240.10361741,1709639999999
1709640000000,2.0509,2.1039,1.723,1.9103,907727.66993327,1709683199999
1709683200000,1.9095,1.9899,1.8675,1.9124,281236.72470163,1709726399999
1709726400000,1.9196,2.0239,1.8583,2.0223,270151.08486949,1709769599999
1709769600000,2.0199,2.0602,1.9332,2.0228,120336.83692806,1709812799999
1709812800000,2.021,2.0718,2.0004,2.0353,147136.60589057,1709855999999
1709856000000,2.0233,2.0793,1.9733,1.9861,99848.48876603,1709899199999
1709899200000,1.9854,1.9856,1.8847,1.9454,222403.96668963,1709942399999
1709942400000,1.949,2.0678,1.9362,2.0544,251490.75341055,1709985599999
1709985600000,2.0544,2.0942,1.9888,2.0737,159756.58239354,1710028799999
1710028800000,2.0791,2.1348,1.9912,2.0227,135180.72897807,1710071999999
1710072000000,2.0185,2.0185,1.9485,2.0097,150889.79588165,1710115199999
1710115200000,2.0052,2.1077,1.9476,2.0737,201583.67668308,1710158399999
1710158400000,2.0732,2.1091,1.9827,2.063,257611.81339026,1710201599999
1710201600000,2.0638,2.1459,1.9931,1.9992,54525.27647017,1710244799999
1710244800000,1.9939,2.0325,1.9005,2.0037,194133.46756348,1710287999999
1710288000000,2.0037,2.0495,1.9888,1.9984,192228.21426126,1710331199999
1710331200000,2.002,2.0092,1.9462,1.9774,67910.34095747,1710374399999
1710374400000,1.9795,1.9837,1.8948,1.9006,110354.84078872,1710417599999
1710417600000,1.8991,1.9168,1.821,1.906,188487.44861478,1710460799999
1710460800000,1.9145,1.9389,1.6996,1.7627,410932.02675003,1710503999999
1710504000000,1.7605,1.827,1.7489,1.8072,57165.99034128,1710547199999
1710547200000,1.8116,1.9109,1.8065,1.8174,27985.99204601,1710590399999
1710590400000,1.8064,1.8115,1.6651,1.6974,151734.59666185,1710633599999
1710633600000,1.6966,1.7258,1.6272,1.6826,68434.1823146,1710676799999
