openTime,open,high,low,close,volume,closeTime
1730361600000,50.613,51.059,49.496,50.393,8198.21015389,1730390399999
1730390400000,50.343,50.367,48.415,48.977,1687.8527765,1730419199999
1730419200000,48.926,48.97,46.434,46.689,601.3081465,1730447999999
1730448000000,46.656,48.22,45.672,46.396,2037.8939869,1730476799999
1730476800000,46.358,47.008,45.133,45.278,2605.16703087,1730505599999
1730505600000,45.213,46.655,45.213,46.432,349.29536669,1730534399999
1730534400000,46.468,46.468,43.85,44.13,788.76196707,1730563199999
1730563200000,44.235,44.743,44.042,44.487,221.62505962,1730591999999
1730592000000,44.712,44.755,43.57,43.75,568.74984605,1730620799999
1730620800000,43.762,44.067,42.168,42.947,1292.14925004,1730649599999
1730649600000,43.102,44.998,42.688,44.54,3290.77155949,1730678399999
1730678400000,44.625,46.594,44.054,44.968,1198.6381677,1730707199999
1730707200000,45.161,46.6,44.266,44.571,1129.33061119,1730735999999
1730736000000,44.501,44.921,43.283,44.016,520.63691916,1730764799999
1730764800000,44.096,44.196,42.975,43.265,95.74944946,1730793599999
1730793600000,43.157,44.391,42.438,43.561,471.22491059,1730822399999
1730822400000,43.639,43.685,41.671,42.424,820.42117061,1730851199999
1730851200000,42.332,48.718,42.332,47.571,2059.25764525,1730879999999
1730880000000,47.855,50.843,45.985,50.448,1592.64654763,1730908799999
1730908800000,50.225,52.77,49.421,52.63,2329.52323747,1730937599999
1730937600000,52.77,55.0,51.771,52.746,847.10498525,1730966399999
1730966400000,52.999,54.828,52.9,54.6,1987.40605449,1730995199999
1730995200000,54.982,56.454,54.025,55.185,1893.90198359,1731023999999
1731024000000,56.449,56.457,53.518,54.051,416.02681271,1731052799999
1731052800000,54.185,54.566,52.888,53.31,1604.16404193,1731081599999
1731081600000,53.262,53.296,50.376,50.871,1858.34789047,1731110399999
1731110400000,50.741,54.164,50.615,53.341,980.35934665,1731139199999
1731139200000,53.223,56.0,52.063,52.076,1491.15255915,1731167999999
1731168000000,52.032,54.118,50.977,53.923,2127.96373768,1731196799999
1731196800000,53.731,55.597,53.261,54.438,832.84664761,1731225599999
1731225600000,54.444,55.534,53.417,54.252,3017.60976438,1731254399999
1731254400000,54.306,55.179,49.891,53.45,2538.89576538,1731283199999
1731283200000,53.619,69.265,53.619,57.776,11145.80384455,1731311999999
1731312000000,57.714,61.63,56.791,60.265,8625.14845621,1731340799999
1731340800000,60.188,66.926,59.378,61.499,20647.69366945,1731369599999
1731369600000,61.419,62.189,59.822,62.189,2947.07525393,1731398399999
