openTime,open,high,low,close,volume,closeTime
1775570400000,2.7E-7,2.7E-7,2.6674E-7,2.6674E-7,2.505473538E9,1775577599999
1775577600000,2.706E-7,2.706E-7,2.706E-7,2.706E-7,2.9600795E7,1775584799999
1775584800000,2.6941E-7,2.725E-7,2.6941E-7,2.725E-7,2.9398218E7,1775591999999
1775592000000,2.6941E-7,2.6941E-7,2.6941E-7,2.6941E-7,6.8282164E7,1775599199999
1775599200000,2.7153E-7,2.7767E-7,2.7153E-7,2.7767E-7,4.18683246E8,1775606399999
1775613600000,2.706E-7,2.706E-7,2.67E-7,2.67E-7,1.33066341E9,1775620799999
1775620800000,2.722E-7,2.7795E-7,2.7206E-7,2.7794E-7,1.214840029E9,1775627999999
1775628000000,2.7794E-7,2.7802E-7,2.7414E-7,2.7414E-7,2.107606605E9,1775635199999
1775635200000,2.7827E-7,2.8074E-7,2.7041E-7,2.7042E-7,4.16780872E9,1775642399999
1775642400000,2.7793E-7,2.8001E-7,2.7E-7,2.7E-7,2.403869917E9,1775649599999
1775649600000,2.7673E-7,2.8088E-7,2.7337E-7,2.7337E-7,1.332889894E9,1775656799999
1775656800000,2.7337E-7,2.7337E-7,2.7059E-7,2.7059E-7,2.318040618E9,1775663999999
1775664000000,2.7648E-7,2.7959E-7,2.7648E-7,2.7959E-7,5.88558852E8,1775671199999
1775678400000,2.7875E-7,2.7959E-7,2.7875E-7,2.7959E-7,7.38941703E8,1775685599999
1775685600000,2.7959E-7,2.8001E-7,2.7482E-7,2.7482E-7,3.084554123E9,1775692799999
1775692800000,2.8E-7,2.8086E-7,2.7432E-7,2.7435E-7,1.324228866E9,1775699999999
1775700000000,2.7435E-7,2.7868E-7,2.7435E-7,2.7436E-7,1.32295465E8,1775707199999
1775707200000,2.7435E-7,2.7653E-7,2.7397E-7,2.7406E-7,3.130637315E9,1775714399999
1775714400000,2.7396E-7,2.7399E-7,2.7396E-7,2.7399E-7,8.10499045E8,1775721599999
1775721600000,2.7966E-7,2.7967E-7,2.7395E-7,2.74E-7,3.167766193E9,1775728799999
