openTime,open,high,low,close,volume,closeTime
1649836800000,2.9358,2.9977,2.877,2.9777,4731.10647724,1649865599999
1649865600000,2.968,3.0129,2.9647,3.0015,4600.99712593,1649894399999
1649894400000,3.0362,3.0524,3.0118,3.0261,877.94832755,1649923199999
1649923200000,3.0426,3.0773,2.9009,2.9009,2727.50121015,1649951999999
1649952000000,2.9024,2.9147,2.848,2.8903,1378.72067242,1649980799999
1649980800000,2.8977,2.9157,2.8332,2.8895,594.33937712,1650009599999
1650009600000,2.8866,2.8919,2.82,2.8675,4087.44304458,1650038399999
1650038400000,2.8702,2.9022,2.8572,2.8925,185.28701465,1650067199999
1650067200000,2.9826,3.0357,2.9214,2.9604,5325.25862956,1650095999999
1650096000000,2.9614,2.9882,2.9029,2.9029,1162.87390126,1650124799999
1650124800000,2.8811,2.9392,2.8792,2.9204,255.78847792,1650153599999
1650153600000,2.9334,2.9334,2.8807,2.9062,703.96363813,1650182399999
1650182400000,2.9202,2.9259,2.9036,2.9259,355.37886379,1650211199999
1650211200000,2.9537,2.9537,2.7795,2.7973,1959.70407538,1650239999999
1650240000000,2.8196,2.8598,2.6743,2.7,713.3814531,1650268799999
1650268800000,2.7077,2.7404,2.6775,2.7109,1705.22607293,1650297599999
1650297600000,2.68,2.8533,2.68,2.849,1613.04983824,1650326399999
1650326400000,2.8923,2.9269,2.8793,2.8793,1777.07708317,1650355199999
1650355200000,2.871,2.9797,2.871,2.9221,4915.81251871,1650383999999
1650384000000,2.9219,2.9633,2.8972,2.9189,2131.28195292,1650412799999
1650412800000,2.9491,2.9964,2.9163,2.9653,8012.75530549,1650441599999
1650441600000,2.9712,3.1099,2.9584,3.0152,12404.48066489,1650470399999
1650470400000,2.9847,3.0407,2.9195,3.0232,13276.09239413,1650499199999
1650499200000,3.0367,3.0702,2.9508,2.9798,5314.64769444,1650527999999
1650528000000,2.9853,3.0056,2.9262,2.9868,4027.49073264,1650556799999
1650556800000,2.9816,2.9816,2.7675,2.806,4805.72132136,1650585599999
1650585600000,2.822,2.8807,2.822,2.8341,1970.10629848,1650614399999
1650614400000,2.832,2.8447,2.7757,2.7811,3823.83691488,1650643199999
1650643200000,2.7796,2.8322,2.773,2.8144,2599.05736975,1650671999999
1650672000000,2.7876,2.7896,2.7432,2.7631,1651.73185504,1650700799999
