openTime,open,high,low,close,volume,closeTime
1780934400000,0.12269,0.12365,0.12269,0.12272,1498.21832678,1780937999999
1780938000000,0.1225,0.12319,0.12212,0.12319,1784.4680743,1780941599999
1780941600000,0.12326,0.12326,0.12247,0.12301,1648.66072533,1780945199999
1780945200000,0.12273,0.12298,0.12224,0.12225,6745.98993651,1780948799999
1780948800000,0.12217,0.12298,0.12205,0.12292,2128.19206631,1780952399999
1780952400000,0.12305,0.12392,0.123,0.123,3976.78432643,1780955999999
1780956000000,0.12269,0.1229,0.12223,0.12271,967.73873944,1780959599999
1780959600000,0.12287,0.12287,0.12186,0.12186,1245.85005946,1780963199999
1780963200000,0.12205,0.12205,0.11964,0.11964,258.10855611,1780966799999
1780966800000,0.12005,0.12005,0.12005,0.12005,64.52070093,1780970399999
1780970400000,0.12013,0.12013,0.11888,0.1193,1097.1748481,1780973999999
1780974000000,0.11968,0.12027,0.11968,0.11997,212.2347021,1780977599999
1780977600000,0.12125,0.12278,0.12125,0.12278,31684.06282531,1780981199999
1780981200000,0.12255,0.12255,0.12247,0.12247,128.92786816,1780984799999
1780992000000,0.12152,0.12152,0.12091,0.1211,1081.91365816,1780995599999
1780995600000,0.12112,0.12134,0.12112,0.12134,1017.3284365,1780999199999
1780999200000,0.1203,0.12107,0.1203,0.12035,18790.21807465,1781002799999
1781002800000,0.12069,0.12069,0.12069,0.12069,64.49530389,1781006399999
1781006400000,0.1222,0.1222,0.1222,0.1222,64.5340421,1781009999999
1781010000000,0.12099,0.12099,0.12093,0.12093,129.0071062,1781013599999
1781013600000,0.12004,0.12004,0.11912,0.11912,107.4983038,1781017199999
1781020800000,0.11898,0.11928,0.11885,0.11928,193.82322692,1781024399999
1781024400000,0.12045,0.1205,0.12045,0.1205,128.98740186,1781027999999
1781028000000,0.12142,0.12142,0.12069,0.12069,129.18526405,1781031599999
1781031600000,0.12114,0.12114,0.12044,0.12044,129.02564921,1781035199999
1781035200000,0.12093,0.12147,0.12093,0.12147,193.68687582,1781038799999
1781038800000,0.12163,0.12163,0.12123,0.12123,129.08571898,1781042399999
1781042400000,0.12092,0.12092,0.12092,0.12092,64.4363014,1781045999999
