openTime,open,high,low,close,volume,closeTime
1712217600000,4.6493,4.7812,4.6479,4.7494,29771.93204353,1712231999999
1712232000000,4.7498,5.089,4.7416,4.9968,374157.59916732,1712246399999
1712246400000,4.9793,5.0688,4.901,4.99,112200.4445037,1712260799999
1712260800000,4.9862,4.9994,4.781,4.8437,44386.55574598,1712275199999
1712275200000,4.8087,4.8838,4.63,4.761,19709.21346479,1712289599999
1712289600000,4.7428,4.7735,4.5219,4.5656,18781.78608977,1712303999999
1712304000000,4.5567,4.6529,4.4568,4.4893,17034.73125959,1712318399999
1712318400000,4.5144,4.829,4.4643,4.829,31917.29664862,1712332799999
1712332800000,4.8202,5.0577,4.7996,4.987,49064.88710895,1712347199999
1712347200000,4.983,5.0871,4.8703,4.9749,40413.08077096,1712361599999
1712361600000,4.9682,5.023,4.7988,4.8464,20197.74366059,1712375999999
1712376000000,4.84,5.0103,4.7807,4.9494,52597.30817566,1712390399999
1712390400000,4.9458,5.2714,4.8966,5.0985,165155.78956762,1712404799999
1712404800000,5.0852,5.1164,4.9141,5.0314,47664.63052049,1712419199999
1712419200000,5.0328,5.0677,4.9698,5.0243,14837.49836428,1712433599999
1712433600000,5.0235,5.1351,5.0,5.0263,22019.11471425,1712447999999
1712448000000,5.0174,5.1908,4.942,5.1381,30098.05663018,1712462399999
1712462400000,5.1475,5.3848,5.1096,5.1508,91688.10389035,1712476799999
1712476800000,5.1617,5.2331,5.1025,5.1864,20818.48115568,1712491199999
1712491200000,5.1898,5.4193,5.1549,5.2678,43304.94454933,1712505599999
1712505600000,5.281,5.4165,5.16,5.1836,41298.60796198,1712519999999
1712520000000,5.1819,5.3149,5.1268,5.2885,31557.2954399,1712534399999
1712534400000,5.2725,5.3715,5.1489,5.2244,41352.63873766,1712548799999
1712548800000,5.198,5.3568,5.1223,5.3501,30780.47507043,1712563199999
1712563200000,5.344,5.5312,5.3181,5.4321,74680.72779814,1712577599999
1712577600000,5.4355,5.4691,5.2684,5.3105,45480.21919645,1712591999999
1712592000000,5.3384,5.3699,5.2824,5.3212,26564.33535741,1712606399999
1712606400000,5.3347,6.0652,5.3004,5.8856,178851.2068505,1712620799999
1712620800000,5.867,6.1862,5.7912,5.9968,94426.63140339,1712635199999
1712635200000,6.0072,6.0955,5.6541,5.7482,96165.80106239,1712649599999
1712649600000,5.7374,5.7923,5.569,5.6669,30970.35850917,1712663999999
1712664000000,5.654,5.6848,5.3599,5.4394,51298.09423206,1712678399999
1712678400000,5.4336,5.4571,5.22,5.298,89992.62245162,1712692799999
1712692800000,5.2904,5.3036,5.0311,5.0915,83994.70772023,1712707199999
1712707200000,5.0862,5.2241,4.9295,5.0526,76065.57737333,1712721599999
1712721600000,5.0278,5.1601,5.0214,5.0708,57247.52740993,1712735999999
1712736000000,5.0511,5.3221,5.0098,5.1844,65533.35781005,1712750399999
1712750400000,5.1753,5.6,4.8481,5.537,80304.00162121,1712764799999
1712764800000,5.542,5.6761,5.3692,5.4487,48697.50012461,1712779199999
1712779200000,5.4663,5.4663,5.3,5.3486,24435.37598145,1712793599999
1712793600000,5.3,5.3159,5.1812,5.2106,43820.09004352,1712807999999
1712808000000,5.1922,5.2508,5.1637,5.1734,30006.66152796,1712822399999
1712822400000,5.187,5.2422,5.1,5.1171,26118.80304551,1712836799999
1712836800000,5.0999,5.1991,4.964,5.0298,47835.70583703,1712851199999
1712851200000,5.019,5.0288,4.8869,4.9237,31860.49728528,1712865599999
1712865600000,4.9399,4.9577,4.8399,4.8872,8289.11111977,1712879999999
1712880000000,4.8564,5.0372,4.8564,5.0372,9001.47031351,1712894399999
1712894400000,5.0118,5.0339,4.7716,4.8094,9933.419931,1712908799999
1712908800000,4.8176,4.864,4.73,4.7896,27341.4848441,1712923199999
1712923200000,4.774,4.7748,4.5347,4.6212,41779.16333962,1712937599999
1712937600000,4.6322,4.7819,3.4664,3.9688,193797.60717344,1712951999999
1712952000000,3.9767,4.1622,3.9631,4.1436,24407.39651837,1712966399999
1712966400000,4.1114,4.1479,3.9121,4.1199,21437.65608184,1712980799999
1712980800000,4.1188,4.1407,4.0563,4.1256,5960.48366116,1712995199999
1712995200000,4.1048,4.3835,4.0618,4.2793,18973.55731013,1713009599999
1713009600000,4.2789,4.3588,4.1297,4.1401,8179.33757881,1713023999999
1713024000000,4.0969,4.1135,3.4614,3.5047,31473.62758854,1713038399999
1713038400000,3.5498,3.9763,3.0563,3.899,32530.42051778,1713052799999
1713052800000,3.8697,3.8908,3.6076,3.7162,3471.19727687,1713067199999
1713067200000,3.7704,3.9592,3.7704,3.8634,9197.64223585,1713081599999
1713081600000,3.8542,3.881,3.5294,3.5885,19856.58940394,1713095999999
1713096000000,3.5973,3.6851,3.4829,3.5848,15072.18852478,1713110399999
1713110400000,3.6673,3.7921,3.493,3.7353,59483.54924391,1713124799999
1713124800000,3.7108,4.0515,3.6078,3.9985,49596.85561295,1713139199999
1713139200000,3.9494,3.9494,3.8283,3.8283,7299.69163384,1713153599999
1713153600000,3.7746,4.0872,3.7463,4.0381,28149.12736666,1713167999999
1713168000000,4.0219,4.0408,3.8658,3.8661,6408.32049858,1713182399999
1713182400000,3.8479,3.9064,3.6193,3.7075,29607.43725019,1713196799999
1713196800000,3.6928,3.7195,3.4747,3.5881,23930.61802809,1713211199999
1713211200000,3.6019,3.6436,3.5128,3.6374,3721.62028574,1713225599999
1713225600000,3.6182,3.7253,3.5605,3.6083,5536.92863154,1713239999999
1713240000000,3.6224,3.7161,3.485,3.6729,10211.59208935,1713254399999
1713254400000,3.6666,3.67,3.4595,3.5819,8965.15233708,1713268799999
1713268800000,3.6221,3.6509,3.4075,3.4116,12698.20935318,1713283199999
1713283200000,3.4377,3.6186,3.3845,3.5774,6919.4816565,1713297599999
1713297600000,3.5748,3.6715,3.5738,3.6103,3088.92892112,1713311999999
1713312000000,3.5815,3.5924,3.5473,3.5579,6518.85477674,1713326399999
1713326400000,3.5672,3.653,3.5197,3.5399,7218.62585431,1713340799999
1713340800000,3.5268,3.5275,3.3447,3.351,7773.18827701,1713355199999
1713355200000,3.3272,3.3528,3.1663,3.2356,43815.89228282,1713369599999
