openTime,open,high,low,close,volume,closeTime
1746597600000,0.91396,1.04,0.87872,0.88961,801292.17276,1746619199999
1746619200000,0.88998,0.90095,0.82835,0.85719,394937.41277,1746640799999
1746640800000,0.8579,0.91993,0.82208,0.90328,421485.34418,1746662399999
1746662400000,0.90628,0.97798,0.8788,0.9435,220821.88835,1746683999999
1746684000000,0.94393,0.99159,0.94393,0.96915,227301.17484,1746705599999
1746705600000,0.97087,1.0499,0.96244,1.0378,316454.17578,1746727199999
1746727200000,1.0431,1.1127,1.0335,1.1041,195295.12697,1746748799999
1746748800000,1.0969,1.1062,1.0446,1.0657,120624.27603,1746770399999
1746770400000,1.0655,1.2269,1.0652,1.1935,371671.36875,1746791999999
1746792000000,1.195,1.2332,1.1371,1.1748,286530.82951,1746813599999
1746813600000,1.1802,1.2916,1.1715,1.2183,395867.47391,1746835199999
1746835200000,1.2172,1.2475,1.1746,1.2357,154510.88686,1746856799999
1746856800000,1.2341,1.2599,1.1555,1.1646,282857.45866,1746878399999
1746878400000,1.1683,1.1937,1.1502,1.1717,151471.14705,1746899999999
1746900000000,1.1704,1.273,1.1562,1.2618,211367.34742,1746921599999
1746921600000,1.2591,1.2738,1.1697,1.1855,292145.10201,1746943199999
1746943200000,1.1867,1.2113,1.1309,1.2113,194279.23045,1746964799999
1746964800000,1.2142,1.2231,1.135,1.1643,336931.83946,1746986399999
1746986400000,1.1655,1.1992,1.1303,1.1977,186494.00382,1747007999999
1747008000000,1.1985,1.2464,1.1787,1.2088,261598.22158,1747029599999
1747029600000,1.2098,1.2908,1.1959,1.2319,427104.29882,1747051199999
1747051200000,1.2357,1.324,1.1808,1.187,378467.39198,1747072799999
1747072800000,1.1836,1.2633,1.159,1.2407,450314.69436,1747094399999
1747094400000,1.2422,1.2422,1.1252,1.1472,246302.75065,1747115999999
1747116000000,1.1495,1.2055,1.1457,1.1912,348755.21538,1747137599999
1747137600000,1.194,1.2419,1.1537,1.2359,616220.72224,1747159199999
1747159200000,1.2377,1.3192,1.22,1.2835,1659270.53614,1747180799999
1747180800000,1.2844,1.2873,1.2283,1.2823,943449.59672,1747202399999
1747202400000,1.2805,1.3119,1.2171,1.2731,1052491.03928,1747223999999
1747224000000,1.2741,1.3004,1.1787,1.2143,1370307.91538,1747245599999
1747245600000,1.214,1.2293,1.1703,1.1833,646776.61509,1747267199999
1747267200000,1.1854,1.1992,1.1377,1.1432,692373.5564,1747288799999
1747288800000,1.1489,1.1638,1.1135,1.1496,598782.8844,1747310399999
1747310400000,1.146,1.2179,1.0925,1.2054,822592.19385,1747331999999
1747332000000,1.1993,1.2011,1.1283,1.1642,812173.7859,1747353599999
1747353600000,1.1599,1.1903,1.1355,1.1487,354533.71171,1747375199999
1747375200000,1.1503,1.1615,1.1065,1.1435,566821.88781,1747396799999
1747396800000,1.1436,1.1735,1.1068,1.1098,927331.55174,1747418399999
1747418400000,1.109,1.1361,1.0587,1.0664,661515.79603,1747439999999
1747440000000,1.0683,1.0865,1.0385,1.0491,771716.92036,1747461599999
1747461600000,1.0488,1.0681,1.0416,1.0592,374428.90475,1747483199999
1747483200000,1.0592,1.0822,1.0351,1.0633,371065.05003,1747504799999
1747504800000,1.0651,1.0939,1.0642,1.0796,319579.43132,1747526399999
1747526400000,1.0782,1.1392,1.0667,1.1392,288192.83433,1747547999999
1747548000000,1.1384,1.1626,1.1324,1.1382,479703.62675,1747569599999
1747569600000,1.1363,1.2067,1.128,1.1476,592303.38693,1747591199999
1747591200000,1.148,1.2123,1.104,1.2099,750586.86744,1747612799999
1747612800000,1.2135,1.2291,1.1028,1.1145,781162.69884,1747634399999
1747634400000,1.1151,1.1151,1.04,1.066,874965.46391,1747655999999
1747656000000,1.0618,1.1356,1.0328,1.1132,786148.04962,1747677599999
1747677600000,1.1081,1.1154,1.0523,1.0762,759611.05906,1747699199999
1747699200000,1.076,1.1244,1.0596,1.0926,568295.34097,1747720799999
1747720800000,1.0931,1.103,1.0636,1.0807,595869.71122,1747742399999
1747742400000,1.0779,1.1386,1.0675,1.1358,473012.43752,1747763999999
1747764000000,1.1352,1.1729,1.0971,1.1501,1729362.58213,1747785599999
1747785600000,1.1512,1.2,1.1294,1.1824,574826.31905,1747807199999
1747807200000,1.1768,1.1882,1.1306,1.1452,282577.71059,1747828799999
1747828800000,1.1443,1.2657,1.1259,1.1844,1413546.75367,1747850399999
1747850400000,1.183,1.2747,1.1744,1.2385,734498.21319,1747871999999
1747872000000,1.2387,1.3217,1.2329,1.2756,672920.24833,1747893599999
1747893600000,1.275,1.3898,1.2677,1.359,398181.82757,1747915199999
1747915200000,1.3584,1.3855,1.3457,1.3692,239695.85167,1747936799999
1747936800000,1.3628,1.402,1.3361,1.3787,255519.48292,1747958399999
1747958400000,1.3707,1.4436,1.361,1.3911,200538.467,1747979999999
1747980000000,1.389,1.4514,1.3473,1.3508,341789.02027,1748001599999
1748001600000,1.3548,1.4387,1.3012,1.3514,1263921.06083,1748023199999
1748023200000,1.3551,1.3641,1.2729,1.2926,304791.06169,1748044799999
