openTime,open,high,low,close,volume,closeTime
1780934400000,0.67862,0.67862,0.67862,0.67862,6.5809E-4,1780937999999
1780938000000,0.67619,0.68234,0.67567,0.68234,1577.33037044,1780941599999
1780941600000,0.68306,0.68338,0.68257,0.68338,343.20273721,1780945199999
1780945200000,0.6845,0.68578,0.68438,0.68438,19823.40427105,1780948799999
1780948800000,0.67843,0.67843,0.67843,0.67843,147.39914213,1780952399999
1780952400000,0.68587,0.6864,0.68528,0.6864,1300.80975099,1780955999999
1780956000000,0.67917,0.67917,0.6743,0.6743,5451.20442624,1780959599999
1780959600000,0.67009,0.67095,0.67009,0.67048,358.29443158,1780963199999
1780963200000,0.67273,0.67273,0.65708,0.65838,43519.96522235,1780966799999
1780966800000,0.66103,0.66334,0.65762,0.66334,25363.09772276,1780970399999
1780970400000,0.66133,0.66133,0.66133,0.66133,1051.02,1780973999999
1780974000000,0.66067,0.66067,0.65874,0.65874,1081.72528891,1780977599999
1780977600000,0.66245,0.67031,0.66245,0.6691,19819.42611482,1780981199999
1780981200000,0.66819,0.67275,0.6679,0.67275,1933.29097334,1780984799999
1780984800000,0.6715,0.6715,0.66972,0.66972,1971.19000402,1780988399999
1780988400000,0.66972,0.67276,0.66613,0.66613,12800.20629503,1780991999999
1780992000000,0.67106,0.67133,0.6705,0.67087,341.5652425,1780995599999
1780995600000,0.66713,0.67,0.66483,0.66498,1131.66573027,1780999199999
1780999200000,0.66357,0.6636,0.66357,0.6636,5785.58881508,1781002799999
1781002800000,0.66011,0.66304,0.65995,0.66304,6043.27065951,1781006399999
1781006400000,0.66779,0.66892,0.66779,0.66844,4501.87535806,1781009999999
1781010000000,0.67087,0.67355,0.66672,0.67355,26838.15116611,1781013599999
1781013600000,0.66828,0.66828,0.64966,0.64966,833.82473103,1781017199999
1781017200000,0.65879,0.66078,0.65879,0.66078,332.35591166,1781020799999
1781020800000,0.64627,0.65297,0.64396,0.64992,3487.75630888,1781024399999
1781024400000,0.65231,0.66381,0.6515,0.66029,955.66675405,1781027999999
1781028000000,0.66139,0.66696,0.66022,0.66614,36.10520458,1781031599999
1781031600000,0.66658,0.66658,0.66452,0.66514,633.59980962,1781035199999
1781035200000,0.67049,0.67355,0.6682,0.67041,2392.84090527,1781038799999
1781042400000,0.66273,0.66507,0.66273,0.66507,2166.57934739,1781045999999
1781046000000,0.66088,0.66295,0.66036,0.66222,16295.83814416,1781049599999
1781049600000,0.66362,0.66362,0.66156,0.66162,453.36739931,1781053199999
1781053200000,0.66406,0.66484,0.66062,0.66062,753.20719244,1781056799999
1781056800000,0.6645,0.6645,0.65154,0.65351,2855.02495285,1781060399999
1781060400000,0.65491,0.65734,0.65469,0.65734,7338.8651996,1781063999999
1781064000000,0.65572,0.65692,0.65419,0.65419,6561.10994684,1781067599999
1781067600000,0.65022,0.65071,0.64903,0.65071,999.51464471,1781071199999
1781071200000,0.65152,0.6532,0.648,0.6532,1094.34267681,1781074799999
1781074800000,0.65702,0.65702,0.65685,0.65685,24.28020508,1781078399999
1781078400000,0.65083,0.65083,0.64905,0.64912,5856.94,1781081999999
1781082000000,0.6471,0.6471,0.6467,0.6467,1088.27518701,1781085599999
1781085600000,0.64549,0.64897,0.64527,0.64897,2852.1296238,1781089199999
1781089200000,0.64202,0.64202,0.64202,0.64202,0.01425721,1781092799999
1781092800000,0.65268,0.65606,0.65182,0.6536,36402.9757715,1781096399999
1781096400000,0.65671,0.66195,0.65671,0.66195,3816.24268999,1781099999999
1781100000000,0.6577,0.6577,0.6492,0.6492,6561.5883316,1781103599999
1781103600000,0.65066,0.65576,0.65066,0.65418,4881.16153666,1781107199999
1781107200000,0.65494,0.65494,0.65071,0.65071,8760.0418939,1781110799999
1781110800000,0.65068,0.65068,0.64076,0.64339,22655.57793512,1781114399999
1781114400000,0.64549,0.64731,0.64115,0.64253,10447.17135043,1781117999999
1781118000000,0.64682,0.64682,0.637,0.63845,2917.34198808,1781121599999
1781121600000,0.63404,0.6394,0.6336,0.63651,7720.38435965,1781125199999
1781125200000,0.62723,0.63616,0.62701,0.63044,6256.92840605,1781128799999
1781128800000,0.62774,0.63192,0.62573,0.62968,9412.3425488,1781132399999
1781132400000,0.62795,0.63802,0.62795,0.6365,27438.0751295,1781135999999
1781136000000,0.64117,0.64216,0.63899,0.64086,5624.7371279,1781139599999
1781139600000,0.64118,0.64976,0.64118,0.64976,13366.84003354,1781143199999
1781143200000,0.64799,0.64799,0.63979,0.64229,6604.47884669,1781146799999
