openTime,open,high,low,close,volume,closeTime
1762416000000,0.171,0.17895,0.16713,0.17331,1631935.38346,1762444799999
1762444800000,0.17385,0.17599,0.16428,0.17129,1058021.95498,1762473599999
1762473600000,0.172,0.18343,0.17189,0.18096,386795.0435,1762502399999
1762502400000,0.18041,0.18086,0.16493,0.1759,227561.59865,1762531199999
1762531200000,0.17637,0.18899,0.17576,0.18304,136956.15913,1762559999999
1762560000000,0.18467,0.19606,0.17864,0.18553,107902.16824,1762588799999
1762588800000,0.18355,0.18703,0.17248,0.17423,192325.41501,1762617599999
1762617600000,0.17234,0.17775,0.17004,0.17547,146485.66773,1762646399999
1762646400000,0.1721,0.17273,0.1647,0.17188,30413.49728,1762675199999
1762675200000,0.17068,0.17699,0.16568,0.17699,42775.0261,1762703999999
1762704000000,0.17437,0.17936,0.17156,0.17556,112476.12556,1762732799999
1762732800000,0.17633,0.17979,0.16712,0.17528,17524.49149,1762761599999
1762761600000,0.17402,0.18158,0.17374,0.17406,154255.78146,1762790399999
1762790400000,0.17347,0.17777,0.17244,0.17602,109541.50703,1762819199999
1762819200000,0.17678,0.17678,0.16856,0.16859,39274.94482,1762847999999
1762848000000,0.1699,0.17309,0.16697,0.16824,81382.23007,1762876799999
1762876800000,0.16808,0.16999,0.16106,0.16261,123059.25046,1762905599999
1762905600000,0.16146,0.16509,0.16,0.16395,7866.26157,1762934399999
1762934400000,0.16421,0.17368,0.16294,0.16294,26627.9547,1762963199999
1762963200000,0.16191,0.16214,0.15774,0.15897,47142.70102,1762991999999
1762992000000,0.15984,0.16871,0.15984,0.16053,29057.96563,1763020799999
1763020800000,0.16301,0.16381,0.15957,0.16141,25082.02684,1763049599999
1763049600000,0.15926,0.15994,0.14803,0.15162,21589.99878,1763078399999
1763078400000,0.15347,0.15348,0.144,0.14658,9253.27477,1763107199999
1763107200000,0.14646,0.14646,0.14,0.1445,80253.45181,1763135999999
1763136000000,0.14725,0.14725,0.1395,0.14235,34380.06854,1763164799999
1763164800000,0.14337,0.15068,0.14291,0.14898,51447.38553,1763193599999
1763193600000,0.14405,0.15285,0.14284,0.14688,64437.24379,1763222399999
1763222400000,0.14569,0.14577,0.14371,0.14577,35816.32698,1763251199999
1763251200000,0.14569,0.14723,0.14203,0.14203,20076.36648,1763279999999
1763280000000,0.14323,0.14581,0.1378,0.1378,41791.93882,1763308799999
1763308800000,0.13875,0.14047,0.1329,0.13482,176037.86477,1763337599999
1763337600000,0.13578,0.13579,0.13326,0.13326,5782.56386,1763366399999
1763366400000,0.13469,0.13805,0.13064,0.13352,41138.3114,1763395199999
1763395200000,0.13219,0.13527,0.12486,0.12889,39620.29857,1763423999999
