openTime,open,high,low,close,volume,closeTime
1768550400000,0.71583,0.73027,0.6802,0.70745,111515.95902,1768564799999
1768564800000,0.69881,0.72126,0.66978,0.68999,133877.55295,1768579199999
1768579200000,0.68998,0.74,0.65164,0.71668,169790.44961,1768593599999
1768593600000,0.69689,0.73817,0.65519,0.67489,111215.69189,1768607999999
1768608000000,0.6664,0.718,0.65969,0.6993,24638.38479,1768622399999
1768622400000,0.69926,0.718,0.67867,0.69655,24585.39904,1768636799999
1768636800000,0.70013,0.73149,0.69468,0.71773,99156.3732,1768651199999
1768651200000,0.71343,0.7481,0.6685,0.69842,179964.51617,1768665599999
1768665600000,0.68947,0.70654,0.67762,0.69446,52185.19797,1768679999999
1768680000000,0.69522,0.72994,0.676,0.70787,56279.84754,1768694399999
1768694400000,0.70168,0.79954,0.69523,0.78195,111315.16171,1768708799999
1768708800000,0.78405,0.9393,0.74263,0.92063,417058.03802,1768723199999
1768723200000,0.92181,0.99822,0.90557,0.96464,920133.56474,1768737599999
1768737600000,0.96055,1.0945,0.91437,0.99598,771228.91963,1768751999999
1768752000000,0.99598,1.0447,0.932,1.01402,422874.61513,1768766399999
1768766400000,1.01038,1.1111,0.99386,1.0555,408815.41057,1768780799999
1768780800000,1.05687,1.10044,0.924,0.93878,571759.43689,1768795199999
1768795200000,0.93513,1.02392,0.92021,0.93062,388876.26397,1768809599999
1768809600000,0.93693,1.05239,0.91996,1.04745,287435.96806,1768823999999
1768824000000,1.04449,1.28066,0.99844,1.20909,509758.81469,1768838399999
1768838400000,1.21275,1.21859,1.09,1.12427,267666.80598,1768852799999
1768852800000,1.1232,1.14629,0.93091,0.98764,380151.64454,1768867199999
1768867200000,0.98895,1.04536,0.95197,1.02476,44286.10432,1768881599999
1768881600000,1.02894,1.06553,0.97513,0.98825,93853.80224,1768895999999
1768896000000,0.99258,1.01153,0.89587,0.97956,170190.62911,1768910399999
1768910400000,0.97953,0.98288,0.92641,0.96,124652.81951,1768924799999
1768924800000,0.95145,0.97671,0.93014,0.95555,99789.48639,1768939199999
1768939200000,0.951,0.99722,0.94417,0.9701,77791.26074,1768953599999
1768953600000,0.96478,0.96478,0.82191,0.8446,50630.67576,1768967999999
1768968000000,0.84178,0.87299,0.82911,0.83045,90674.00969,1768982399999
1768982400000,0.82852,0.8467,0.81765,0.82795,65833.25594,1768996799999
1768996800000,0.82989,0.89903,0.78619,0.89315,145550.72009,1769011199999
1769011200000,0.88684,0.99678,0.86017,0.97484,202233.08748,1769025599999
1769025600000,0.96751,1.0027,0.95347,0.98008,110602.92726,1769039999999
1769040000000,0.96871,1.09682,0.95559,1.03749,117860.62962,1769054399999
1769054400000,1.04419,1.06086,0.98041,1.01976,84958.67747,1769068799999
1769068800000,1.02089,1.08624,0.99923,1.00205,185271.18334,1769083199999
1769083200000,0.99822,1.0336,0.93592,0.947,142417.9066,1769097599999
1769097600000,0.94544,0.95807,0.86543,0.89144,95321.49506,1769111999999
1769112000000,0.89465,0.89489,0.8543,0.8543,29790.06537,1769126399999
1769126400000,0.85003,0.90579,0.84625,0.86549,22797.24336,1769140799999
1769140800000,0.86112,0.86729,0.84093,0.85224,38455.47392,1769155199999
1769155200000,0.84876,0.8824,0.82899,0.8534,93624.85982,1769169599999
1769169600000,0.85,0.86002,0.8359,0.85,36598.68119,1769183999999
1769184000000,0.84515,0.84515,0.80036,0.81397,39097.31262,1769198399999
1769198400000,0.80184,0.82374,0.78651,0.82332,66479.22227,1769212799999
1769212800000,0.81634,0.81634,0.75288,0.78673,30613.19211,1769227199999
1769227200000,0.78345,0.79181,0.77295,0.77938,6095.97321,1769241599999
1769241600000,0.77592,0.792,0.76396,0.77622,23234.8359,1769255999999
1769256000000,0.78478,0.85263,0.77668,0.8348,58900.01476,1769270399999
1769270400000,0.83683,0.88623,0.82092,0.86436,83292.19204,1769284799999
1769284800000,0.85686,0.89438,0.85481,0.86282,105777.52795,1769299199999
1769299200000,0.85981,0.86313,0.82,0.83347,41165.54717,1769313599999
1769313600000,0.83358,0.83358,0.79894,0.8,28744.45844,1769327999999
1769328000000,0.802,0.802,0.76252,0.76688,46676.2499,1769342399999
1769342400000,0.75782,0.76495,0.70714,0.718,93670.96363,1769356799999
1769356800000,0.71511,0.72507,0.68124,0.68561,71527.43787,1769371199999
1769371200000,0.68777,0.72831,0.67,0.68147,195806.52396,1769385599999
1769385600000,0.6936,0.71255,0.65481,0.66598,67878.44573,1769399999999
1769400000000,0.67202,0.71426,0.66792,0.69899,62811.85194,1769414399999
1769414400000,0.69947,0.70674,0.66485,0.6743,65579.09306,1769428799999
1769428800000,0.6743,0.69209,0.66674,0.67789,32269.3012,1769443199999
1769443200000,0.67778,0.69279,0.67121,0.6792,38566.37002,1769457599999
1769457600000,0.67946,0.69691,0.67745,0.68094,54792.75209,1769471999999
1769472000000,0.68352,0.71375,0.65002,0.71375,93725.68812,1769486399999
1769486400000,0.70981,0.71067,0.67813,0.68139,28123.00923,1769500799999
1769500800000,0.67947,0.68761,0.66935,0.68046,27489.39474,1769515199999
1769515200000,0.67591,0.67787,0.6592,0.66161,19206.0204,1769529599999
1769529600000,0.66463,0.67076,0.65001,0.66459,57693.36735,1769543999999
1769544000000,0.66045,0.78536,0.66004,0.7546,305096.69889,1769558399999
1769558400000,0.76034,0.82484,0.71362,0.77697,176709.70533,1769572799999
1769572800000,0.789,0.88,0.7599,0.83378,306476.50329,1769587199999
1769587200000,0.83398,0.86318,0.80885,0.84,162809.52419,1769601599999
1769601600000,0.8457,0.8457,0.80398,0.8316,73149.91172,1769615999999
1769616000000,0.83887,0.859,0.77597,0.80244,108080.63583,1769630399999
1769630400000,0.80025,0.82716,0.76552,0.76663,56294.9819,1769644799999
1769644800000,0.76386,0.77428,0.71581,0.71581,6081.02519,1769659199999
1769659200000,0.71336,0.72669,0.7,0.71719,50232.1204,1769673599999
1769673600000,0.71125,0.71599,0.68334,0.69619,73432.37286,1769687999999
1769688000000,0.69305,0.70154,0.66511,0.70154,49898.59051,1769702399999
1769702400000,0.69501,0.70753,0.68065,0.68277,41064.50756,1769716799999
1769716800000,0.68,0.694,0.65504,0.67554,28028.51816,1769731199999
1769731200000,0.66901,0.69993,0.66625,0.69626,9504.19242,1769745599999
1769745600000,0.69463,0.70798,0.681,0.69787,12961.71319,1769759999999
1769760000000,0.69789,0.73818,0.695,0.7089,38311.80179,1769774399999
1769774400000,0.71959,0.74329,0.69927,0.715,41441.9105,1769788799999
1769788800000,0.71516,0.73822,0.70344,0.71298,45860.7325,1769803199999
1769803200000,0.71969,0.73091,0.69155,0.71811,73200.69883,1769817599999
1769817600000,0.71122,0.73253,0.70636,0.70636,6701.84721,1769831999999
1769832000000,0.70803,0.70804,0.69007,0.69673,15215.10242,1769846399999
1769846400000,0.69351,0.7275,0.66663,0.71755,75196.77303,1769860799999
1769860800000,0.71095,0.71126,0.64312,0.65865,72394.40744,1769875199999
1769875200000,0.65452,0.67654,0.61,0.62662,93919.80717,1769889599999
1769889600000,0.62662,0.63698,0.5951,0.61747,32137.08435,1769903999999
1769904000000,0.6174,0.83141,0.6174,0.76718,264741.34498,1769918399999
1769918400000,0.77101,0.79479,0.74641,0.77714,51049.44909,1769932799999
1769932800000,0.78426,0.795,0.74727,0.76812,111976.33178,1769947199999
1769947200000,0.76013,0.76013,0.66491,0.68108,80611.56983,1769961599999
1769961600000,0.68133,0.7419,0.67343,0.71122,57460.09568,1769975999999
1769976000000,0.70735,0.72728,0.68615,0.69766,80326.21812,1769990399999
1769990400000,0.69298,0.70676,0.66197,0.67971,10852.64444,1770004799999
1770004800000,0.66641,0.6768,0.6507,0.67504,19129.96654,1770019199999
1770019200000,0.67669,0.68983,0.665,0.67483,35499.83676,1770033599999
1770033600000,0.6732,0.67849,0.66353,0.67809,27590.66135,1770047999999
1770048000000,0.68482,0.70402,0.65181,0.67367,98492.18846,1770062399999
1770062400000,0.67561,0.68626,0.66948,0.68264,18326.75113,1770076799999
1770076800000,0.68393,0.77683,0.67484,0.76212,79132.37802,1770091199999
1770091200000,0.77254,0.796,0.7402,0.75464,78969.83124,1770105599999
1770105600000,0.75203,0.78547,0.74801,0.76533,49542.27599,1770119999999
