openTime,open,high,low,close,volume,closeTime
1781589600000,1.5257,1.5344,1.4311,1.4582,80531.634112,1781611199999
1781611200000,1.4581,1.4748,1.399,1.412,123547.65389,1781632799999
1781632800000,1.412,1.4405,1.4083,1.4228,71449.827113,1781654399999
1781654400000,1.4267,1.4286,1.4098,1.4185,14331.918719,1781675999999
1781676000000,1.4169,1.4653,1.397,1.4262,77484.225298,1781697599999
1781697600000,1.4249,1.4487,1.4142,1.4383,31800.819424,1781719199999
1781719200000,1.4145,1.4458,1.4011,1.4458,23203.975623,1781740799999
1781740800000,1.4481,1.4638,1.431,1.4381,14019.709418,1781762399999
1781762400000,1.4402,1.4463,1.4238,1.4272,9828.326099,1781783999999
1781784000000,1.4303,1.4518,1.4063,1.4175,14942.455064,1781805599999
1781805600000,1.4212,1.4485,1.4212,1.4485,8654.080058,1781827199999
1781827200000,1.4486,1.4758,1.424,1.4325,12115.496331,1781848799999
1781848800000,1.4392,1.4392,1.3999,1.3999,10533.128237,1781870399999
1781870400000,1.3993,1.41,1.3676,1.3827,14628.585743,1781891999999
1781892000000,1.38,1.3983,1.3682,1.3947,8198.393191,1781913599999
1781913600000,1.391,1.3918,1.3621,1.3851,14140.531274,1781935199999
1781935200000,1.3857,1.3974,1.3807,1.3932,4290.407715,1781956799999
1781956800000,1.4019,1.4236,1.4019,1.4082,4167.164549,1781978399999
1781978400000,1.4064,1.4252,1.4064,1.4219,2046.426222,1781999999999
1782000000000,1.431,1.4384,1.431,1.4332,3322.792186,1782021599999
1782021600000,1.4374,1.4797,1.4369,1.4667,31300.721293,1782043199999
1782043200000,1.4732,1.4916,1.4719,1.4719,9059.387977,1782064799999
1782064800000,1.4787,1.4787,1.4286,1.4347,27798.875578,1782086399999
1782086400000,1.431,1.4322,1.4155,1.4184,16540.724261,1782107999999
1782108000000,1.4183,1.4586,1.4163,1.4439,3494.893091,1782129599999
1782129600000,1.4491,1.4716,1.4421,1.4643,42909.039132,1782151199999
1782151200000,1.4731,1.5011,1.473,1.4815,5517.305839,1782172799999
1782172800000,1.463,1.51,1.4302,1.51,21618.031985,1782194399999
1782194400000,1.5107,1.55,1.3273,1.3802,174950.162974,1782215999999
1782216000000,1.3818,1.3966,1.3379,1.3843,189149.74043,1782237599999
1782237600000,1.3836,1.4077,1.3602,1.3822,138980.509722,1782259199999
1782259200000,1.385,1.3871,1.3589,1.3697,56272.310928,1782280799999
1782280800000,1.3704,1.4254,1.3621,1.4196,162033.467412,1782302399999
1782302400000,1.4144,1.4374,1.3383,1.3448,181250.623819,1782323999999
1782324000000,1.3428,1.4027,1.3427,1.3928,82019.13354,1782345599999
1782345600000,1.3917,1.4066,1.3868,1.3993,5813.93392,1782367199999
1782367200000,1.4018,1.4229,1.3853,1.39,8009.794186,1782388799999
1782388800000,1.3932,1.3932,1.3328,1.3778,11088.633379,1782410399999
1782410400000,1.3715,1.3761,1.3657,1.3761,2488.977687,1782431999999
1782432000000,1.3741,1.3805,1.3617,1.3755,1841.368713,1782453599999
1782453600000,1.3912,1.4015,1.3533,1.3533,3712.661084,1782475199999
1782475200000,1.3431,1.3796,1.3338,1.3672,8568.39788,1782496799999
1782496800000,1.3634,1.373,1.3568,1.3641,2880.625175,1782518399999
1782518400000,1.3683,1.3791,1.3525,1.364,6991.617283,1782539999999
1782540000000,1.3698,1.3932,1.3698,1.3771,6177.051238,1782561599999
1782561600000,1.3777,1.3884,1.3712,1.3759,2970.44064,1782583199999
1782583200000,1.3725,1.3846,1.3656,1.3736,1635.39265,1782604799999
1782604800000,1.3768,1.3769,1.3565,1.3574,17448.92638,1782626399999
1782626400000,1.3631,1.3746,1.3532,1.3736,3399.731293,1782647999999
1782648000000,1.3672,1.3694,1.3551,1.3666,8391.755346,1782669599999
1782669600000,1.3633,1.4133,1.3569,1.3963,21233.772911,1782691199999
1782691200000,1.3902,1.417,1.3776,1.4032,5001.832858,1782712799999
1782712800000,1.4045,1.4283,1.3825,1.3989,3350.865818,1782734399999
1782734400000,1.4,1.4198,1.3914,1.3989,6550.769727,1782755999999
1782756000000,1.4082,1.4219,1.3856,1.3856,3382.96657,1782777599999
1782777600000,1.3845,1.4096,1.368,1.4096,3048.196443,1782799199999
