openTime,open,high,low,close,volume,closeTime
1629072000000,236.4,302.54,234.16,282.88,13261.8112407,1629676799999
1629676800000,283.2,293.99,227.59,252.35,10583.08260495,1630281599999
1630281600000,252.72,362.23,243.09,339.29,42473.16924764,1630886399999
1630886400000,341.6,382.27,236.24,368.34,27705.40466521,1631491199999
1631491200000,371.22,377.22,320.14,342.12,10165.85398564,1632095999999
1632096000000,342.32,342.69,252.82,275.99,15969.1312549,1632700799999
1632700800000,275.99,314.39,264.36,298.19,9344.12683892,1633305599999
1633305600000,297.62,322.03,272.81,289.04,9060.77061973,1633910399999
1633910400000,289.01,325.57,265.91,301.33,11271.3159776,1634515199999
1634515200000,300.95,368.94,293.9,343.82,6672.99572597,1635119999999
1635120000000,344.23,356.36,303.68,319.53,7745.98511372,1635724799999
1635724800000,318.95,444.99,312.0,442.94,10169.64842081,1636329599999
1636329600000,445.0,459.52,344.41,379.94,6387.95602961,1636934399999
1636934400000,380.45,386.12,289.18,329.28,7118.61439881,1637539199999
1637539200000,325.18,325.18,267.33,310.99,6891.03726312,1638143999999
1638144000000,312.48,377.53,226.43,260.61,12880.48927388,1638748799999
1638748800000,254.39,284.34,225.86,269.54,5255.26082606,1639353599999
1639353600000,268.87,272.51,239.59,243.95,3812.59810091,1639958399999
1639958400000,243.36,287.52,230.83,285.49,3364.03042791,1640563199999
1640563200000,285.74,295.26,238.62,261.19,2692.92151516,1641167999999
1641168000000,261.21,274.99,204.47,216.93,4927.18691552,1641772799999
1641772800000,219.16,256.8,203.73,243.25,5761.15021455,1642377599999
1642377600000,243.83,244.17,150.95,168.72,4198.52550358,1642982399999
1642982400000,166.99,167.32,134.65,146.63,5547.39429509,1643587199999
1643587200000,145.53,173.63,137.39,171.12,6531.74084707,1644191999999
1644192000000,171.13,181.99,141.9,143.41,4781.79794856,1644796799999
1644796800000,143.17,160.37,120.2,124.58,4647.6873445,1645401599999
1645401600000,122.72,126.93,94.274,105.3,10127.58822233,1646006399999
1646006400000,104.74,129.3,103.11,110.0,9695.72254582,1646611199999
1646611200000,109.91,126.83,106.41,107.82,5675.843983,1647215999999
1647216000000,107.55,138.83,105.44,138.42,13129.20394832,1647820799999
1647820800000,137.64,159.15,131.38,158.7,9456.17177572,1648425599999
1648425600000,158.16,187.75,148.72,182.36,11869.22804115,1649030399999
1649030400000,182.88,182.88,153.26,155.57,7099.81265548,1649635199999
1649635200000,155.88,165.64,137.38,157.42,4357.77902789,1650239999999
1650240000000,156.27,172.26,144.08,148.33,4949.71016478,1650844799999
1650844800000,147.37,155.13,119.3,125.92,3841.25824218,1651449599999
1651449600000,125.98,136.2,104.32,106.23,5359.87116656,1652054399999
1652054400000,106.64,109.39,58.729,76.941,26253.93038129,1652659199999
1652659200000,77.426,82.766,66.001,76.112,12748.08854841,1653263999999
1653264000000,75.986,83.277,60.383,66.782,7633.75803573,1653868799999
1653868800000,66.505,81.539,62.286,63.403,12584.11122466,1654473599999
1654473600000,63.303,67.993,48.359,49.419,7924.51936044,1655078399999
1655078400000,48.582,55.706,40.871,48.505,22378.36161422,1655683199999
1655683200000,48.011,55.688,46.297,49.477,9563.79180178,1656287999999
1656288000000,49.67,52.478,42.737,47.466,7231.59283967,1656892799999
1656892800000,47.796,52.93,46.422,49.147,4878.98014813,1657497599999
1657497600000,49.15,57.156,45.368,55.029,7292.56768694,1658102399999
1658102400000,55.866,68.501,55.768,64.079,16489.04313087,1658707199999
1658707200000,63.411,66.965,54.618,62.413,7286.56513173,1659311999999
1659312000000,62.304,67.762,58.197,64.503,9363.93486639,1659916799999
1659916800000,64.54,66.615,56.274,57.506,12139.9730173,1660521599999
1660521600000,57.374,59.01,45.615,50.598,7902.97066074,1661126399999
1661126400000,50.587,51.103,44.222,45.785,8424.10305495,1661731199999
1661731200000,45.802,51.798,45.364,50.502,4665.60815395,1662335999999
1662336000000,51.082,54.124,45.994,51.73,4307.34713038,1662940799999
1662940800000,51.405,53.566,38.969,39.527,6386.05400229,1663545599999
1663545600000,39.507,44.221,37.9,41.448,11025.00515352,1664150399999
1664150400000,41.832,46.997,41.368,41.368,18292.00780455,1664755199999
1664755200000,41.514,45.213,41.2,44.72,2672.90460614,1665359999999
1665360000000,44.771,45.331,37.5,39.915,3628.72450517,1665964799999
1665964800000,39.66,40.515,34.054,35.318,9581.22296857,1666569599999
1666569600000,35.349,37.212,33.966,36.667,15199.35797881,1667174399999
1667174400000,36.784,40.063,32.575,36.354,26731.28199725,1667779199999
1667779200000,36.469,37.045,22.177,22.511,20216.35407451,1668383999999
1668384000000,22.389,24.677,21.129,22.672,8701.19976551,1668988799999
1668988800000,22.78,26.105,21.987,24.885,8854.08744772,1669593599999
1669593600000,24.986,55.0,24.0,28.046,50238.63746571,1670198399999
1670198400000,27.873,30.345,27.444,28.18,17113.948422,1670803199999
1670803200000,27.987,28.014,22.605,24.136,10375.21736038,1671407999999
1671408000000,23.865,24.3,22.736,23.433,3638.58191639,1672012799999
1672012800000,23.541,24.455,20.651,21.055,7069.28811278,1672617599999
1672617600000,20.998,23.821,20.214,23.821,13020.60272427,1673222399999
1673222400000,23.817,31.152,23.593,28.84,11386.22641153,1673827199999
1673827200000,28.855,34.283,28.049,32.102,30346.12686113,1674431999999
