openTime,open,high,low,close,volume,closeTime
1676376000000,2.2046,2.6,2.1281,2.4014,558447.57935475,1676397599999
1676397600000,2.391,2.44,2.3388,2.3983,73081.75802829,1676419199999
1676419200000,2.3787,2.4064,2.34,2.3836,13169.71963784,1676440799999
1676440800000,2.3887,2.5945,2.3519,2.5599,233136.26315585,1676462399999
1676462400000,2.5629,2.6298,2.4984,2.5592,212916.11650974,1676483999999
1676484000000,2.5491,2.6694,2.5134,2.6574,116380.21383273,1676505599999
1676505600000,2.6674,2.7493,2.5891,2.6028,58674.96315734,1676527199999
1676527200000,2.6026,2.6234,2.4815,2.5504,72146.52381415,1676548799999
1676548800000,2.5254,2.78,2.5009,2.7335,107429.89157001,1676570399999
1676570400000,2.7389,2.7993,2.4007,2.4367,88083.52291759,1676591999999
1676592000000,2.4359,2.585,2.42,2.5649,27081.26666207,1676613599999
1676613600000,2.5648,2.7027,2.5588,2.6845,60830.6410073,1676635199999
1676635200000,2.6909,2.9447,2.6347,2.8134,126737.75272702,1676656799999
1676656800000,2.7824,2.8956,2.739,2.8384,55600.64474111,1676678399999
1676678400000,2.8246,2.9675,2.7487,2.943,44731.19806236,1676699999999
1676700000000,2.941,2.941,2.7801,2.8624,74294.3148979,1676721599999
1676721600000,2.8664,3.0355,2.8578,3.0353,113467.53619623,1676743199999
1676743200000,3.0319,3.1188,2.9595,3.0344,189474.97889624,1676764799999
1676764800000,3.0328,3.0394,2.9614,3.0291,45753.03399776,1676786399999
1676786400000,3.0257,3.0296,2.8901,2.9434,49430.8247151,1676807999999
1676808000000,2.9355,2.955,2.764,2.7859,80400.89017299,1676829599999
1676829600000,2.8106,2.8524,2.7187,2.761,61516.8037065,1676851199999
1676851200000,2.7787,2.8539,2.6899,2.8353,16019.37047576,1676872799999
1676872800000,2.8251,2.864,2.7444,2.843,19038.94758053,1676894399999
1676894400000,2.8411,2.8411,2.6569,2.6935,62173.56407116,1676915999999
1676916000000,2.6637,2.7418,2.6542,2.7347,25405.34217827,1676937599999
1676937600000,2.7421,2.8142,2.7099,2.7634,6204.52329786,1676959199999
1676959200000,2.7581,2.7851,2.5315,2.5541,64204.87463051,1676980799999
1676980800000,2.5539,2.6569,2.5101,2.5768,41024.01284328,1677002399999
1677002400000,2.5662,2.6425,2.5384,2.6258,25969.53679253,1677023999999
1677024000000,2.6232,2.6255,2.4857,2.5543,21799.13215704,1677045599999
1677045600000,2.5669,2.6828,2.4263,2.6825,33696.05675901,1677067199999
1677067200000,2.6659,2.7329,2.5288,2.6351,70033.1292991,1677088799999
1677088800000,2.634,2.7713,2.6278,2.7523,28351.20474621,1677110399999
1677110400000,2.7287,2.8971,2.7235,2.857,90850.97145849,1677131999999
1677132000000,2.8878,2.9652,2.8217,2.8721,102497.81322764,1677153599999
1677153600000,2.8734,3.0296,2.8079,2.8633,139172.33009878,1677175199999
1677175200000,2.8748,2.8748,2.7321,2.8054,46001.51132576,1677196799999
1677196800000,2.8198,2.8827,2.7406,2.7636,11683.0536582,1677218399999
1677218400000,2.7832,2.8292,2.7012,2.7435,33771.18810721,1677239999999
1677240000000,2.7444,2.8333,2.625,2.7609,98521.44625009,1677261599999
1677261600000,2.7793,2.8152,2.6091,2.7297,28589.04999162,1677283199999
1677283200000,2.746,2.751,2.5563,2.5563,9261.3346836,1677304799999
1677304800000,2.581,2.694,2.5626,2.6497,55145.22114831,1677326399999
1677326400000,2.6525,2.7054,2.608,2.6568,24587.60224497,1677347999999
1677348000000,2.658,2.7883,2.5642,2.7748,32263.49359334,1677369599999
1677369600000,2.7911,2.9035,2.7591,2.8326,29582.72606048,1677391199999
1677391200000,2.8239,2.9215,2.8012,2.9015,52682.58208849,1677412799999
1677412800000,2.9164,2.9572,2.8464,2.9284,53858.86758148,1677434399999
1677434400000,2.9326,3.0121,2.9184,2.9466,80044.97495045,1677455999999
1677456000000,2.9328,2.9497,2.8575,2.9453,12591.99164728,1677477599999
1677477600000,2.9211,2.9534,2.8149,2.9324,26351.07456084,1677499199999
1677499200000,2.9267,3.0966,2.9049,3.0533,126148.19334855,1677520799999
1677520800000,3.064,3.1,2.9646,3.0727,79777.33595417,1677542399999
1677542400000,3.0579,3.0579,2.937,2.9804,78006.75172339,1677563999999
1677564000000,2.9847,3.0076,2.8673,2.8981,42084.41043647,1677585599999
1677585600000,2.9003,3.0042,2.845,2.893,68603.07480646,1677607199999
1677607200000,2.8896,2.9723,2.824,2.8311,42321.64401099,1677628799999
1677628800000,2.826,2.9874,2.8,2.9395,16320.08793947,1677650399999
1677650400000,2.9376,2.9429,2.8628,2.87,23823.66365627,1677671999999
1677672000000,2.8756,2.9049,2.7907,2.817,24343.86670621,1677693599999
1677693600000,2.8155,2.8486,2.7908,2.8372,36888.33723432,1677715199999
1677715200000,2.8193,2.8787,2.7146,2.7212,37400.29717001,1677736799999
1677736800000,2.7142,2.753,2.6989,2.7482,28257.78994755,1677758399999
1677758400000,2.7511,2.9,2.6855,2.7776,108857.76632607,1677779999999
