openTime,open,high,low,close,volume,closeTime
1558504800000,1.1464,1.2194,1.1425,1.2194,33876.36466678,1558526399999
1558526400000,1.2192,1.3267,1.1654,1.2889,112271.93417712,1558547999999
1558548000000,1.2947,1.3263,1.0558,1.1017,40885.5745816,1558569599999
1558569600000,1.1131,1.1359,1.0501,1.0727,11166.59585276,1558591199999
1558591200000,1.073,1.1511,1.0474,1.1436,12319.23965142,1558612799999
1558612800000,1.147,1.2223,1.14,1.148,17264.21769198,1558634399999
1558634400000,1.1436,1.2216,1.14,1.1901,27899.53412443,1558655999999
1558656000000,1.1986,1.2802,1.1965,1.2222,60267.05071764,1558677599999
1558677600000,1.2099,1.2244,1.1493,1.1636,51619.61401604,1558699199999
1558699200000,1.1684,1.1925,1.1072,1.156,15855.53306079,1558720799999
1558720800000,1.1477,1.1979,1.1401,1.1603,6678.03429271,1558742399999
1558742400000,1.1401,1.1419,1.14,1.1401,1306.55493768,1558763999999
1558764000000,1.1401,1.1401,1.0332,1.0431,61508.36405429,1558785599999
1558785600000,1.0468,1.0508,0.98555,1.0267,48709.18846849,1558807199999
1558807200000,1.0192,1.0639,1.0005,1.0018,16218.45771921,1558828799999
1558828800000,1.0118,1.0593,1.0112,1.0347,3973.52218506,1558850399999
1558850400000,1.0056,1.0277,0.94794,0.94857,46044.00323269,1558871999999
1558872000000,0.95556,0.97617,0.93234,0.9499,40352.32264876,1558893599999
1558893600000,0.94546,0.98802,0.93744,0.9757,78805.47786355,1558915199999
1558915200000,0.98302,1.1378,0.98302,1.1026,44546.36744401,1558936799999
1558936800000,1.1095,1.1304,1.0534,1.0694,27829.34479675,1558958399999
1558958400000,1.0477,1.0525,0.99138,1.0091,16423.95034329,1558979999999
1558980000000,1.0095,1.124,1.0095,1.0685,38267.25835584,1559001599999
1559001600000,1.0863,1.0863,1.0301,1.0359,11490.71750324,1559023199999
1559023200000,1.03,1.1161,1.025,1.1117,19017.91736568,1559044799999
1559044800000,1.1178,1.155,1.0448,1.1442,119160.84542569,1559066399999
1559066400000,1.1353,1.1999,1.1245,1.1558,106997.35338429,1559087999999
1559088000000,1.1387,1.1431,1.0351,1.0475,20312.56925411,1559109599999
1559109600000,1.0486,1.1035,1.0486,1.0901,18654.28104291,1559131199999
1559131200000,1.0814,1.1205,1.0694,1.0694,9591.79313799,1559152799999
1559152800000,1.0631,1.0733,1.0358,1.0469,67646.66884188,1559174399999
1559174400000,1.0495,1.0533,1.0245,1.0307,22940.85303374,1559195999999
1559196000000,1.0272,1.0962,1.0259,1.0958,77362.18972684,1559217599999
1559217600000,1.0913,1.0913,1.0252,1.0316,37347.66065242,1559239199999
1559239200000,1.0296,1.0426,0.81711,0.90646,156000.1283888,1559260799999
1559260800000,0.90146,0.92996,0.84954,0.87472,13498.8870659,1559282399999
1559282400000,0.86982,0.88445,0.84962,0.85346,21428.78486157,1559303999999
1559304000000,0.8558,0.91538,0.8558,0.88099,23888.74797133,1559325599999
1559325600000,0.88347,0.90878,0.87993,0.90878,15033.61608535,1559347199999
1559347200000,0.92551,0.94122,0.88383,0.88383,17890.24933647,1559368799999
1559368800000,0.87895,0.90657,0.87463,0.89478,16217.51719302,1559390399999
1559390400000,0.89257,0.89582,0.86472,0.88271,18168.96812679,1559411999999
1559412000000,0.88357,0.8866,0.86203,0.86218,11588.24767981,1559433599999
1559433600000,0.87673,0.87711,0.84321,0.85776,39486.00934807,1559455199999
1559455200000,0.85794,0.88393,0.85503,0.88393,16995.94229115,1559476799999
1559476800000,0.885,0.94947,0.86783,0.92,37421.61435418,1559498399999
1559498400000,0.91151,0.92603,0.90316,0.91393,6657.63115103,1559519999999
1559520000000,0.89984,0.90302,0.88246,0.8863,12144.19256766,1559541599999
1559541600000,0.86981,0.8905,0.85006,0.88933,10179.69111893,1559563199999
1559563200000,0.87732,0.89618,0.84865,0.85775,4347.81193363,1559584799999
1559584800000,0.86395,0.87071,0.80408,0.80408,1395.41971366,1559606399999
1559606400000,0.8,0.8,0.7511,0.76596,5531.9876797,1559627999999
1559628000000,0.76097,0.79763,0.75292,0.79415,21838.03474639,1559649599999
1559649600000,0.79121,0.8246,0.7741,0.77639,18514.13337402,1559671199999
1559671200000,0.78421,0.78527,0.74832,0.77161,6290.18959552,1559692799999
1559692800000,0.80179,0.90901,0.80179,0.85893,296440.81450278,1559714399999
1559714400000,0.85743,0.91599,0.84309,0.8913,165953.4556277,1559735999999
1559736000000,0.89203,0.96,0.86252,0.94363,201324.40361436,1559757599999
1559757600000,0.94867,0.97229,0.92221,0.96763,94379.84793444,1559779199999
1559779200000,0.96179,0.9994,0.95817,0.99845,20011.18755111,1559800799999
1559800800000,0.99941,1.0381,0.9872,1.0239,70055.70556428,1559822399999
1559822400000,1.02,1.1285,0.97442,0.98397,277864.64677848,1559843999999
1559844000000,0.98485,1.0102,0.9354,0.99322,63766.4829296,1559865599999
1559865600000,0.9868,1.0766,0.96021,1.0491,23851.26533953,1559887199999
1559887200000,1.0513,1.0679,1.0371,1.05,19096.87798746,1559908799999
1559908800000,1.05,1.1151,1.0229,1.0755,28556.87293226,1559930399999
1559930400000,1.0876,1.095,1.0327,1.0509,10055.47649316,1559951999999
1559952000000,1.0344,1.049,1.0245,1.049,1444.16180469,1559973599999
1559973600000,1.04,1.0621,1.027,1.0488,5018.18236948,1559995199999
1559995200000,1.0423,1.05,0.99646,0.99775,4545.05744544,1560016799999
1560016800000,1.0065,1.0264,0.99928,1.0165,15404.02693123,1560038399999
1560038400000,1.012,1.012,0.97223,0.98698,8109.99664994,1560059999999
1560060000000,0.98614,0.99423,0.97917,0.98996,8500.72027763,1560081599999
1560081600000,0.98531,0.98531,0.90176,0.91901,33627.02408549,1560103199999
1560103200000,0.92284,0.95246,0.91729,0.94547,51365.22709709,1560124799999
1560124800000,0.93956,0.99332,0.91884,0.96868,9321.83030701,1560146399999
1560146400000,0.96975,1.0082,0.95658,1.0082,29801.45324297,1560167999999
1560168000000,1.005,1.0128,0.98608,0.98829,16890.98960692,1560189599999
1560189600000,0.9857,1.02,0.9857,1.02,4164.84067173,1560211199999
1560211200000,1.0199,1.0411,1.0015,1.0129,56152.90012213,1560232799999
1560232800000,1.0137,1.0452,0.9807,0.98803,14728.72778184,1560254399999
1560254400000,0.99575,1.0176,0.9701,0.99639,31407.68991628,1560275999999
1560276000000,0.99856,1.0055,0.98096,0.99611,19625.9969925,1560297599999
1560297600000,0.98706,0.99634,0.98706,0.98805,737.69753028,1560319199999
1560319200000,0.98381,0.98605,0.97172,0.97779,7484.02634553,1560340799999
1560340800000,0.98327,1.0288,0.97682,1.0098,50404.01795915,1560362399999
1560362400000,1.013,1.0193,1.0006,1.0193,1796.41244744,1560383999999
1560384000000,1.0108,1.0122,1.0039,1.0039,44.80691396,1560405599999
1560405600000,1.0056,1.0273,1.0056,1.0194,5421.87413871,1560427199999
1560427200000,1.024,1.7499,0.99688,1.55,167971.48756121,1560448799999
1560448800000,1.5593,1.75,1.4835,1.6449,438133.22613626,1560470399999
1560470400000,1.656,1.6823,1.3966,1.4414,47188.25310384,1560491999999
1560492000000,1.4498,1.4637,1.3387,1.3837,81118.35122401,1560513599999
1560513600000,1.3725,1.6479,1.35,1.5363,156451.02419986,1560535199999
1560535200000,1.5151,1.5151,1.4085,1.4581,33195.16573093,1560556799999
1560556800000,1.4662,1.5698,1.4342,1.545,18472.03266451,1560578399999
1560578400000,1.5463,1.6177,1.5463,1.5658,36761.77134944,1560599999999
1560600000000,1.5723,1.5863,1.4942,1.5316,21955.56436627,1560621599999
1560621600000,1.5162,1.5529,1.5066,1.5417,8298.66445696,1560643199999
1560643200000,1.5695,1.5953,1.548,1.5536,6015.10979356,1560664799999
1560664800000,1.5668,1.5853,1.5,1.502,44411.87347021,1560686399999
1560686400000,1.5001,1.5001,1.4269,1.4371,26551.27843462,1560707999999
1560708000000,1.4579,1.55,1.4558,1.4878,15300.58408731,1560729599999
1560729600000,1.5135,1.5135,1.4866,1.4958,4932.99757293,1560751199999
1560751200000,1.5105,1.7447,1.4957,1.6858,66354.278013,1560772799999
1560772800000,1.6982,1.7645,1.6719,1.722,122149.15457963,1560794399999
1560794400000,1.7408,1.8542,1.6747,1.7446,58895.62311256,1560815999999
1560816000000,1.7639,1.8003,1.7122,1.7484,8506.53492223,1560837599999
1560837600000,1.7535,1.7899,1.5848,1.6003,34065.23502767,1560859199999
1560859200000,1.6004,1.6707,1.5732,1.6279,25375.03022719,1560880799999
1560880800000,1.6219,1.6724,1.6009,1.6069,6532.71726014,1560902399999
1560902400000,1.6451,1.65,1.6155,1.6397,3087.20373649,1560923999999
1560924000000,1.6372,1.6974,1.6369,1.6791,24178.10195294,1560945599999
1560945600000,1.6757,1.677,1.6206,1.6447,16712.26385624,1560967199999
