openTime,open,high,low,close,volume,closeTime
1718870400000,0.29232,0.29232,0.28586,0.28586,341.2377649,1718884799999
1718884800000,0.2924,0.4444,0.2924,0.38846,3420439.57546775,1718899199999
1718899200000,0.3833,0.48366,0.38121,0.42627,3717318.65319566,1718913599999
1718913600000,0.42221,0.4301,0.38261,0.40001,1131299.65438413,1718927999999
1718928000000,0.40003,0.4133,0.383,0.40536,254756.31495204,1718942399999
1718942400000,0.4013,0.414,0.36333,0.38983,781364.72626342,1718956799999
1718956800000,0.38983,0.39457,0.3608,0.37347,642562.25647694,1718971199999
1718971200000,0.37348,0.37595,0.33499,0.33548,788638.78614815,1718985599999
1718985600000,0.34067,0.36451,0.33004,0.35931,783432.63658139,1718999999999
1719000000000,0.35876,0.36036,0.33001,0.34033,192345.6175453,1719014399999
1719014400000,0.34068,0.34588,0.33025,0.3368,45339.93603911,1719028799999
1719028800000,0.3368,0.34946,0.3308,0.33618,134425.05497547,1719043199999
1719043200000,0.33662,0.34112,0.32,0.32305,262236.19144527,1719057599999
1719057600000,0.32305,0.32865,0.30838,0.31076,208332.05922427,1719071999999
1719072000000,0.31001,0.33716,0.3067,0.32895,372300.14052762,1719086399999
1719086400000,0.3256,0.3297,0.31567,0.31744,121454.63019124,1719100799999
1719100800000,0.315,0.33281,0.31134,0.33123,55798.55516144,1719115199999
1719115200000,0.32729,0.33335,0.3144,0.3177,62309.15970726,1719129599999
1719129600000,0.32169,0.34005,0.31759,0.32546,109192.58502944,1719143999999
1719144000000,0.32547,0.4224,0.32546,0.40755,2239996.6729961,1719158399999
1719158400000,0.3988,0.4348,0.36051,0.40291,1974327.49898872,1719172799999
1719172800000,0.40287,0.405,0.36859,0.38098,688261.94998079,1719187199999
1719187200000,0.38899,0.3954,0.36153,0.37881,256296.5643251,1719201599999
1719201600000,0.37881,0.40442,0.36226,0.38514,764089.15911722,1719215999999
1719216000000,0.39095,0.462,0.38868,0.4221,2068440.65699004,1719230399999
1719230400000,0.4241,0.4486,0.38511,0.41104,1947882.26034782,1719244799999
1719244800000,0.41339,0.4248,0.38306,0.39872,1221784.76552487,1719259199999
1719259200000,0.39841,0.41,0.38923,0.394,489168.9268126,1719273599999
1719273600000,0.39508,0.40234,0.38625,0.38946,187951.11092817,1719287999999
1719288000000,0.39362,0.43329,0.38678,0.41625,709432.59605054,1719302399999
1719302400000,0.41629,0.42553,0.39751,0.40514,787256.16642152,1719316799999
1719316800000,0.40686,0.41078,0.38834,0.3963,552450.52398087,1719331199999
1719331200000,0.395,0.4098,0.3904,0.39924,465557.11411337,1719345599999
1719345600000,0.39924,0.41147,0.39522,0.39522,213362.45341179,1719359999999
1719360000000,0.39433,0.39621,0.3866,0.3919,75901.12925855,1719374399999
1719374400000,0.39189,0.3975,0.38741,0.39299,239854.67785179,1719388799999
1719388800000,0.39003,0.397,0.37808,0.38391,439821.85427941,1719403199999
1719403200000,0.38578,0.38746,0.36614,0.37514,230409.85571861,1719417599999
1719417600000,0.37693,0.3873,0.36666,0.38453,356825.158502,1719431999999
1719432000000,0.38451,0.39,0.37,0.37618,200131.04027706,1719446399999
1719446400000,0.37749,0.38359,0.37466,0.38085,34741.27307156,1719460799999
1719460800000,0.37868,0.38599,0.37344,0.37918,85460.44833327,1719475199999
1719475200000,0.3767,0.3797,0.36053,0.36605,232748.22415491,1719489599999
1719489600000,0.36604,0.36946,0.35274,0.35656,259001.04787154,1719503999999
1719504000000,0.35525,0.3603,0.34134,0.34961,177585.27490101,1719518399999
1719518400000,0.34961,0.35937,0.3415,0.35494,289732.10484939,1719532799999
1719532800000,0.35325,0.35781,0.35131,0.35448,56521.62820797,1719547199999
1719547200000,0.35643,0.3675,0.35143,0.35395,179369.64532147,1719561599999
1719561600000,0.35387,0.38387,0.3366,0.35294,508985.18574153,1719575999999
1719576000000,0.34833,0.36063,0.34475,0.35103,262644.92015233,1719590399999
1719590400000,0.35103,0.35409,0.345,0.34603,201146.48979243,1719604799999
1719604800000,0.34772,0.34772,0.33981,0.34206,102560.4232924,1719619199999
1719619200000,0.34177,0.34531,0.33697,0.33932,66703.49757348,1719633599999
1719633600000,0.33728,0.34075,0.33534,0.3384,67559.14752241,1719647999999
1719648000000,0.34113,0.3691,0.33,0.33401,323463.77472784,1719662399999
1719662400000,0.33398,0.34379,0.33055,0.3425,97022.43294684,1719676799999
1719676800000,0.3406,0.34339,0.33754,0.34014,42260.36348593,1719691199999
1719691200000,0.34209,0.35199,0.33288,0.33929,107295.40695537,1719705599999
1719705600000,0.33976,0.33983,0.33429,0.33429,24007.490307,1719719999999
1719720000000,0.33293,0.33905,0.33,0.33273,220105.52738394,1719734399999
1719734400000,0.33413,0.3346,0.31436,0.31891,129068.08963082,1719748799999
1719748800000,0.32021,0.32433,0.31566,0.32051,68583.5076009,1719763199999
1719763200000,0.32009,0.32436,0.31566,0.3203,75064.92382957,1719777599999
1719777600000,0.3203,0.33372,0.31955,0.32727,81746.1896194,1719791999999
1719792000000,0.32472,0.35786,0.32437,0.32971,90628.78732959,1719806399999
1719806400000,0.32951,0.34581,0.32579,0.3368,195085.94997566,1719820799999
1719820800000,0.33596,0.33969,0.32448,0.33337,209234.42950764,1719835199999
1719835200000,0.33317,0.35705,0.33137,0.34332,547625.61741902,1719849599999
1719849600000,0.34508,0.35558,0.33349,0.34114,457290.9615822,1719863999999
1719864000000,0.34194,0.34725,0.33764,0.34623,114709.60392628,1719878399999
1719878400000,0.34364,0.35237,0.342,0.34911,70184.38106074,1719892799999
1719892800000,0.34761,0.36,0.34389,0.3475,193804.60013956,1719907199999
1719907200000,0.34706,0.34907,0.33286,0.33538,126948.24713586,1719921599999
1719921600000,0.33389,0.33571,0.32302,0.32519,140917.13235012,1719935999999
1719936000000,0.32657,0.32768,0.32089,0.32294,62412.97743911,1719950399999
1719950400000,0.32473,0.32663,0.32177,0.3247,28736.4854463,1719964799999
1719964800000,0.32481,0.32753,0.321,0.32451,10232.81902705,1719979199999
1719979200000,0.3243,0.3305,0.32152,0.32265,56578.02690004,1719993599999
1719993600000,0.32251,0.32535,0.31119,0.31881,89887.77557972,1720007999999
1720008000000,0.31482,0.32061,0.30999,0.31315,91509.71751999,1720022399999
1720022400000,0.31394,0.39191,0.31122,0.38549,2170149.18472372,1720036799999
1720036800000,0.38691,0.40612,0.31504,0.32241,2214309.659235,1720051199999
1720051200000,0.32696,0.32696,0.31302,0.31352,164314.15484653,1720065599999
1720065600000,0.31644,0.32055,0.30766,0.30962,471001.39351427,1720079999999
1720080000000,0.30949,0.36241,0.30348,0.36241,946228.43594091,1720094399999
1720094400000,0.3624,0.375,0.3165,0.32202,2524023.60522308,1720108799999
1720108800000,0.32229,0.3346,0.32112,0.33343,532382.31770765,1720123199999
1720123200000,0.33293,0.33293,0.32126,0.3225,236903.32540237,1720137599999
1720137600000,0.32005,0.33,0.3091,0.31646,116077.30927415,1720151999999
1720152000000,0.31462,0.34129,0.30358,0.30842,661890.33940483,1720166399999
