openTime,open,high,low,close,volume,closeTime
1758888000000,1.3467,2.0,1.1282,1.2575,3695211.64059,1758909599999
1758909600000,1.2581,1.3712,1.1579,1.2392,1535816.48645,1758931199999
1758931200000,1.2332,1.3442,1.1696,1.186,794634.27986,1758952799999
1758952800000,1.1859,1.2986,1.1585,1.1729,823167.91676,1758974399999
1758974400000,1.1731,1.2022,1.0218,1.045,1192718.44797,1758995999999
1758996000000,1.0477,1.0883,0.9782,1.046,526111.9843,1759017599999
1759017600000,1.0461,1.0734,0.949,0.949,128909.88624,1759039199999
1759039200000,0.9527,0.9731,0.9245,0.9418,781803.44028,1759060799999
1759060800000,0.9418,0.954,0.8935,0.933,526605.01912,1759082399999
1759082400000,0.9403,0.9693,0.9164,0.9607,270385.19666,1759103999999
1759104000000,0.9564,0.9564,0.8325,0.8605,285365.05035,1759125599999
1759125600000,0.8587,0.8738,0.782,0.7879,675304.77149,1759147199999
1759147200000,0.7881,0.7881,0.6605,0.687,1160421.21628,1759168799999
1759168800000,0.6885,0.72,0.6714,0.701,727973.52114,1759190399999
1759190400000,0.71,0.7129,0.5362,0.5729,912133.3531,1759211999999
1759212000000,0.572,0.586,0.5338,0.538,1148243.60561,1759233599999
1759233600000,0.538,0.5437,0.4645,0.47,1805256.80985,1759255199999
1759255200000,0.472,0.52,0.464,0.5199,924478.81251,1759276799999
1759276800000,0.518,0.5499,0.4741,0.477,602404.10175,1759298399999
1759298400000,0.476,0.532,0.462,0.5181,786356.2951,1759319999999
1759320000000,0.5184,0.5481,0.5097,0.533,733590.61771,1759341599999
1759341600000,0.532,0.5569,0.4992,0.523,772919.79718,1759363199999
1759363200000,0.523,0.5641,0.523,0.5316,306467.10518,1759384799999
1759384800000,0.5336,0.5593,0.525,0.5392,535706.41345,1759406399999
1759406400000,0.5371,0.5431,0.4828,0.5123,405991.94206,1759427999999
1759428000000,0.5144,0.5296,0.5075,0.526,101830.2166,1759449599999
1759449600000,0.527,0.54,0.5158,0.538,59992.29146,1759471199999
1759471200000,0.5318,0.537,0.5099,0.5186,93708.59747,1759492799999
1759492800000,0.5185,0.5928,0.5185,0.5539,1689428.48067,1759514399999
1759514400000,0.552,0.5779,0.5496,0.5571,474454.56413,1759535999999
1759536000000,0.5585,0.597,0.5585,0.5748,509628.2291,1759557599999
1759557600000,0.5723,0.5842,0.534,0.5389,592938.50651,1759579199999
1759579200000,0.5415,0.544,0.5076,0.5149,304332.89386,1759600799999
1759600800000,0.5128,0.5256,0.5086,0.5226,326453.35911,1759622399999
1759622400000,0.52,0.5297,0.4996,0.5149,173327.63052,1759643999999
1759644000000,0.5155,0.5317,0.505,0.5096,310952.36193,1759665599999
1759665600000,0.5127,0.5202,0.501,0.5087,92912.32462,1759687199999
1759687200000,0.5082,0.5116,0.5,0.5071,77182.75294,1759708799999
1759708800000,0.511,0.514,0.4881,0.4897,41608.25257,1759730399999
1759730400000,0.4914,0.5011,0.4914,0.4953,103416.96678,1759751999999
1759752000000,0.4953,0.5138,0.495,0.5094,303369.36278,1759773599999
1759773600000,0.5089,0.518,0.507,0.5141,120509.89914,1759795199999
