openTime,open,high,low,close,volume,closeTime
1780934400000,1.3644,1.3836,1.3444,1.3637,1383.71596363,1780937999999
1780938000000,1.3637,1.3833,1.3478,1.3531,962.77153939,1780941599999
1780941600000,1.3759,1.4,1.3759,1.3986,1531.69556825,1780945199999
1780945200000,1.3984,1.4,1.3708,1.3708,1403.75796178,1780948799999
1780948800000,1.3708,1.373,1.3285,1.3464,4276.03838439,1780952399999
1780952400000,1.3368,1.3509,1.3045,1.3381,1798.24254285,1780955999999
1780956000000,1.3332,1.3436,1.3332,1.3332,78.7669677,1780959599999
1780959600000,1.3333,1.3368,1.33,1.33,200.43647681,1780963199999
1780963200000,1.3288,1.3315,1.3127,1.3215,2304.5,1780966799999
1780966800000,1.3238,1.3371,1.3074,1.3205,888.07364726,1780970399999
1780970400000,1.3183,1.3372,1.3,1.3,1018.08284438,1780973999999
1780977600000,1.2982,1.3571,1.2955,1.355,1373.46418136,1780981199999
1780981200000,1.3353,1.3777,1.3353,1.3777,1361.5754607,1780984799999
1780984800000,1.361,1.361,1.3305,1.3464,967.29636507,1780988399999
1780988400000,1.3346,1.3492,1.3327,1.3476,736.88466589,1780991999999
1780992000000,1.3489,1.3508,1.3411,1.3503,139.43199473,1780995599999
1780995600000,1.3336,1.34,1.3336,1.34,10.26284847,1780999199999
1780999200000,1.3305,1.3305,1.2878,1.2878,1315.15895216,1781002799999
1781002800000,1.3166,1.3166,1.3166,1.3166,3.79708384,1781006399999
1781006400000,1.3172,1.32,1.2914,1.3042,1844.92140496,1781009999999
1781010000000,1.3068,1.3115,1.3068,1.3076,116.94342399,1781013599999
1781013600000,1.307,1.307,1.2449,1.268,707.95558208,1781017199999
1781017200000,1.2687,1.279,1.2687,1.279,38.8934709,1781020799999
1781020800000,1.2815,1.2913,1.268,1.2815,381.26,1781024399999
1781024400000,1.2913,1.3042,1.2871,1.3042,104.64847682,1781027999999
1781028000000,1.2837,1.2837,1.2837,1.2837,2.5488377,1781031599999
1781031600000,1.2926,1.2926,1.2867,1.2867,57.31024634,1781035199999
1781035200000,1.2889,1.2889,1.266,1.287,1037.51092655,1781038799999
1781038800000,1.2874,1.2874,1.2784,1.2809,29.75,1781042399999
1781042400000,1.2671,1.2676,1.2671,1.2676,9.48093134,1781045999999
1781049600000,1.266,1.266,1.2328,1.2448,493.43068622,1781053199999
1781053200000,1.2453,1.2453,1.2428,1.2428,28.0,1781056799999
1781056800000,1.2219,1.2312,1.2051,1.2136,180.4816959,1781060399999
1781060400000,1.2181,1.2357,1.2181,1.2357,119.71,1781063999999
1781064000000,1.2329,1.2362,1.2159,1.2362,554.34690631,1781067599999
1781067600000,1.2281,1.2299,1.2189,1.2189,182.81925407,1781071199999
1781071200000,1.2312,1.2388,1.2253,1.2388,215.90325598,1781074799999
1781074800000,1.228,1.2382,1.2206,1.2359,565.17916966,1781078399999
1781078400000,1.2302,1.2333,1.2252,1.2269,396.71586316,1781081999999
1781082000000,1.2302,1.2401,1.2133,1.2265,303.37500684,1781085599999
1781085600000,1.2258,1.2258,1.2061,1.218,848.76887026,1781089199999
1781089200000,1.2153,1.2409,1.2081,1.2409,274.01670534,1781092799999
1781092800000,1.2269,1.2409,1.219,1.2379,359.58382201,1781096399999
1781096400000,1.2409,1.2658,1.2409,1.2658,228.11800916,1781099999999
1781100000000,1.2658,1.2774,1.2658,1.2774,28.0,1781103599999
1781103600000,1.2785,1.2785,1.2785,1.2785,70.59,1781107199999
1781107200000,1.2785,1.2913,1.2785,1.2913,27.16,1781110799999
1781110800000,1.2709,1.2709,1.2548,1.2548,92.12847668,1781114399999
1781114400000,1.2534,1.2572,1.2288,1.2546,620.89290014,1781117999999
1781118000000,1.2644,1.2743,1.2287,1.2287,934.02209188,1781121599999
1781121600000,1.2309,1.2355,1.2309,1.2322,90.76,1781125199999
1781125200000,1.2287,1.2359,1.2061,1.2359,330.22826243,1781128799999
1781128800000,1.2185,1.2209,1.2126,1.2199,245.78852954,1781132399999
1781132400000,1.2082,1.2409,1.2,1.2011,2471.01071147,1781135999999
1781136000000,1.2187,1.2409,1.1912,1.2405,1568.07381372,1781139599999
1781143200000,1.2348,1.2348,1.2201,1.2201,28.0,1781146799999
1781146800000,1.2409,1.2421,1.2409,1.2421,28.0,1781150399999
1781150400000,1.2485,1.2555,1.2485,1.2555,713.65355614,1781153999999
1781154000000,1.2526,1.2584,1.2526,1.2584,28.0,1781157599999
1781157600000,1.2658,1.2837,1.2455,1.2837,1142.48294145,1781161199999
1781161200000,1.2534,1.2597,1.248,1.248,440.69666598,1781164799999
1781164800000,1.2578,1.2578,1.2552,1.2552,28.0,1781168399999
1781168400000,1.261,1.2686,1.261,1.2686,186.57349608,1781171999999
1781172000000,1.2492,1.2492,1.2484,1.2484,13.32884375,1781175599999
1781175600000,1.2525,1.2547,1.2525,1.2525,32.1566,1781179199999
1781179200000,1.2564,1.2564,1.2287,1.2344,481.94960746,1781182799999
1781182800000,1.2416,1.2424,1.221,1.2388,1309.19781389,1781186399999
1781186400000,1.2398,1.2458,1.236,1.236,169.90467679,1781189999999
1781190000000,1.2406,1.2435,1.2166,1.2241,1072.22838806,1781193599999
1781193600000,1.238,1.2502,1.2338,1.2502,86.3120438,1781197199999
1781197200000,1.2494,1.2494,1.2494,1.2494,10.55,1781200799999
1781200800000,1.2533,1.2603,1.2533,1.2603,438.67090115,1781204399999
1781204400000,1.2545,1.2545,1.213,1.2409,1109.63057894,1781207999999
1781208000000,1.2443,1.2475,1.2399,1.2421,269.85767973,1781211599999
1781211600000,1.2486,1.253,1.2045,1.2403,967.60109714,1781215199999
1781215200000,1.2383,1.2533,1.2168,1.2217,1664.50536714,1781218799999
1781218800000,1.2287,1.2423,1.2214,1.2423,730.68400905,1781222399999
1781222400000,1.2384,1.2392,1.2364,1.2392,125.23120213,1781225999999
1781226000000,1.2356,1.2785,1.2356,1.2674,626.11287113,1781229599999
1781244000000,1.2425,1.2425,1.241,1.241,104.40866012,1781247599999
1781247600000,1.2465,1.2565,1.2444,1.2565,1003.97701621,1781251199999
1781262000000,1.255,1.2617,1.255,1.2617,118.80759286,1781265599999
1781265600000,1.2558,1.2558,1.2558,1.2558,937.78025129,1781269199999
1781272800000,1.2547,1.3042,1.2547,1.2821,1399.68551591,1781276399999
1781276400000,1.2965,1.314,1.2965,1.3108,931.61137364,1781279999999
1781280000000,1.3089,1.315,1.3019,1.315,258.5891443,1781283599999
1781283600000,1.3144,1.3172,1.3093,1.3172,75.8852656,1781287199999
1781287200000,1.3155,1.3397,1.3,1.3185,1975.36902299,1781290799999
1781290800000,1.2976,1.2976,1.2914,1.2914,501.22983502,1781294399999
1781294400000,1.2865,1.2888,1.266,1.266,240.79465595,1781297999999
1781298000000,1.2805,1.2805,1.2792,1.2792,22.92,1781301599999
1781301600000,1.2803,1.2803,1.2745,1.2773,39.37360381,1781305199999
1781312400000,1.2935,1.2935,1.2786,1.2786,87.85001932,1781315999999
1781316000000,1.2977,1.3022,1.2977,1.3022,303.58304372,1781319599999
1781319600000,1.2976,1.3002,1.2976,1.3002,92.78804968,1781323199999
1781323200000,1.3042,1.3172,1.3015,1.3172,249.71258108,1781326799999
1781326800000,1.316,1.3186,1.2786,1.2786,524.04397365,1781330399999
1781330400000,1.2786,1.2786,1.2786,1.2786,15.81464847,1781333999999
1781334000000,1.2787,1.2787,1.2775,1.2775,226.86666408,1781337599999
