openTime,open,high,low,close,volume,closeTime
1683590400000,6.0497,6.0892,5.9921,6.046,1054.37048371,1683633599999
1683633600000,6.0652,6.4541,5.9135,5.9293,49744.50353846,1683676799999
1683676800000,5.926,6.0122,5.8884,5.9787,10269.95521128,1683719999999
1683720000000,5.9587,6.151,5.8246,6.0335,13272.40620017,1683763199999
1683763200000,6.0109,6.0207,5.8821,5.9943,6447.5349537,1683806399999
1683806400000,5.9656,6.006,5.6823,5.8229,5956.78506699,1683849599999
1683849600000,5.8531,5.8532,5.5998,5.7775,5426.71529756,1683892799999
1683892800000,5.7566,5.9282,5.6975,5.8933,2012.13006993,1683935999999
1683936000000,5.8611,5.8885,5.8256,5.8664,2852.16272883,1683979199999
1683979200000,5.872,5.8971,5.8176,5.8285,1189.68278218,1684022399999
1684022400000,5.8566,5.8998,5.8352,5.889,1318.64656331,1684065599999
1684065600000,5.8687,6.0245,5.849,5.9864,1820.31338111,1684108799999
1684108800000,5.9137,6.0443,5.8763,6.0121,2025.69790291,1684151999999
1684152000000,5.9551,6.1294,5.9268,6.1084,6563.51728076,1684195199999
1684195200000,6.0264,6.1772,5.9786,6.0089,2997.06978565,1684238399999
1684238400000,6.0039,6.0595,5.9296,6.0125,2863.76053413,1684281599999
1684281600000,5.9976,6.1441,5.9331,6.029,1784.0850179,1684324799999
1684324800000,6.0189,6.2343,5.978,6.1016,2893.37210402,1684367999999
1684368000000,6.1261,6.1892,6.075,6.1552,1919.70210966,1684411199999
1684411200000,6.1476,6.1675,6.0099,6.0243,2213.31968341,1684454399999
1684454400000,6.1123,6.1449,6.0194,6.0504,2265.41083055,1684497599999
1684497600000,6.0616,6.1841,5.9979,6.1399,353.36421016,1684540799999
1684540800000,6.0706,6.1699,6.0175,6.1185,1207.34406924,1684583999999
1684584000000,6.0775,6.1731,6.0731,6.1608,1293.57039737,1684627199999
1684627200000,6.135,6.1632,6.0072,6.0095,3222.08810151,1684670399999
1684670400000,6.0339,6.0576,5.9105,5.9814,901.75005738,1684713599999
1684713600000,5.9652,5.9657,5.7854,5.8396,1390.46962219,1684756799999
1684756800000,5.8432,5.9624,5.7683,5.9624,2513.2953325,1684799999999
1684800000000,5.9422,6.0355,5.9242,5.9587,1542.21694071,1684843199999
1684843200000,5.9877,6.1086,5.95,6.0104,2662.82714414,1684886399999
1684886400000,5.9994,5.9994,5.8489,5.8817,1317.90268142,1684929599999
1684929600000,5.8401,5.9221,5.75,5.8743,1598.07210112,1684972799999
1684972800000,5.7929,5.936,5.7929,5.9099,741.18833258,1685015999999
1685016000000,5.9401,5.9983,5.8764,5.9885,387.41291567,1685059199999
1685059200000,5.9915,6.0237,5.8366,5.8366,336.76094771,1685102399999
1685102400000,5.8702,6.033,5.8337,5.9428,701.81362724,1685145599999
1685145600000,5.9621,6.0038,5.8591,5.9771,975.24299647,1685188799999
1685188800000,5.9786,6.0267,5.94,6.0136,647.90159177,1685231999999
1685232000000,5.9543,6.0934,5.9543,6.0734,1092.46712471,1685275199999
1685275200000,6.0588,6.176,6.0133,6.1294,348.42296175,1685318399999
1685318400000,6.1599,6.1791,6.0619,6.1172,1060.58359185,1685361599999
1685361600000,6.1896,6.2046,6.0284,6.1157,1458.26879704,1685404799999
1685404800000,6.1164,6.15,6.0591,6.0916,408.58159209,1685447999999
