openTime,open,high,low,close,volume,closeTime
1765015200000,2.0745,2.0749,2.0745,2.0747,267.80730886,1765022399999
1765022400000,2.0699,2.0802,2.0699,2.0802,262.97630835,1765029599999
1765029600000,2.1027,2.107,2.0876,2.0967,986.19780208,1765036799999
1765036800000,2.1037,2.1037,2.0834,2.0936,3368.65436484,1765043999999
1765044000000,2.0922,2.0922,2.0691,2.0691,878.49996136,1765051199999
1765051200000,2.0736,2.0779,2.0688,2.0779,337.61736051,1765058399999
1765058400000,2.0781,2.0781,2.0686,2.0686,148.57212933,1765065599999
1765087200000,2.0765,2.0779,2.0622,2.0622,1431.13642341,1765094399999
1765094400000,2.0514,2.0514,2.0514,2.0514,103.23345282,1765101599999
1765101600000,2.0605,2.0727,2.059,2.0727,2210.78876445,1765108799999
1765108800000,2.0735,2.0735,2.0582,2.0582,4436.327,1765115999999
1765116000000,2.0446,2.0452,2.0032,2.0285,8949.5354732,1765123199999
1765123200000,2.0631,2.1108,2.042,2.1107,13650.26942674,1765130399999
1765130400000,2.1126,2.1191,2.0993,2.1068,3500.53867251,1765137599999
1765137600000,2.1176,2.1176,2.0491,2.0524,9422.264043,1765144799999
1765144800000,2.0396,2.0416,2.0188,2.0193,5195.01250437,1765151999999
1765159200000,2.0615,2.0615,2.0615,2.0615,364.8,1765166399999
1765166400000,2.0739,2.0739,2.0723,2.0723,940.958923,1765173599999
1765180800000,2.1187,2.1215,2.1136,2.1136,4777.12001873,1765187999999
1765188000000,2.11,2.11,2.0927,2.1019,602.3878626,1765195199999
1765195200000,2.0992,2.0992,2.0794,2.0847,7977.88250609,1765202399999
1765202400000,2.0834,2.0994,2.0467,2.0467,19914.05593173,1765209599999
1765209600000,2.0505,2.0717,2.0441,2.0441,3686.40017908,1765216799999
1765216800000,2.0578,2.0578,2.0304,2.0304,130.02545154,1765223999999
1765224000000,2.0477,2.072,2.046,2.072,1143.79466025,1765231199999
1765238400000,2.0574,2.0574,2.0574,2.0574,274.09510805,1765245599999
1765245600000,2.034,2.034,2.0243,2.0243,1303.22676295,1765252799999
1765252800000,2.0362,2.0385,2.0077,2.0077,14799.40815156,1765259999999
1765260000000,1.989,1.989,1.9604,1.9604,973.60050338,1765267199999
1765267200000,1.9736,1.9736,1.9676,1.973,1025.25331224,1765274399999
1765274400000,1.9654,1.9743,1.959,1.9743,5520.58762415,1765281599999
1765281600000,1.9833,1.9875,1.98,1.98,1726.16767677,1765288799999
1765288800000,1.9826,2.0763,1.9719,2.0543,37547.0739844,1765295999999
1765296000000,2.0723,2.1209,2.0723,2.0828,15864.58984753,1765303199999
1765303200000,2.086,2.086,2.0687,2.0772,3686.29556857,1765310399999
1765310400000,2.0439,2.0439,1.9873,2.0036,30414.97698848,1765317599999
1765317600000,2.0118,2.0291,2.0118,2.0291,336.49898546,1765324799999
1765324800000,2.0305,2.0312,1.9855,1.9855,3946.39123051,1765331999999
1765332000000,1.987,1.9904,1.9813,1.9836,709.1561925,1765339199999
1765339200000,1.9864,2.0139,1.9842,2.0139,3170.80950456,1765346399999
1765346400000,2.0084,2.0084,2.0036,2.0053,111.98709628,1765353599999
1765353600000,2.0032,2.011,2.0032,2.011,244.2649228,1765360799999
1765360800000,2.0127,2.0127,2.0127,2.0127,4.14865604,1765367999999
