openTime,open,high,low,close,volume,closeTime
1781064000000,2.7441E-6,2.7441E-6,2.744E-6,2.744E-6,9963182.0,1781067599999
1781204400000,2.7989E-6,2.7989E-6,2.7989E-6,2.7989E-6,5423858.0,1781207999999
1781247600000,2.799E-6,2.799E-6,2.799E-6,2.799E-6,1801802.0,1781251199999
1781280000000,2.7429E-6,2.7429E-6,2.7429E-6,2.7429E-6,1010314.0,1781283599999
1781362800000,2.7429E-6,2.8538E-6,2.7429E-6,2.8538E-6,1.5748626E7,1781366399999
1781370000000,2.7967E-6,2.7967E-6,2.7967E-6,2.7967E-6,1801802.0,1781373599999
1781388000000,2.8107E-6,2.8107E-6,2.8107E-6,2.8107E-6,6518717.0,1781391599999
1781413200000,2.8248E-6,2.8248E-6,2.8248E-6,2.8248E-6,6.4925376E7,1781416799999
1781445600000,2.7967E-6,2.7967E-6,2.7967E-6,2.7967E-6,3920769.0,1781449199999
1781470800000,2.8526E-6,2.8979E-6,2.8526E-6,2.8979E-6,3.9520062E7,1781474399999
1781481600000,2.9097E-6,2.9097E-6,2.9097E-6,2.9097E-6,5595581.0,1781485199999
1781521200000,2.9389E-6,2.9679E-6,2.9389E-6,2.9679E-6,1.2105877E7,1781524799999
1781535600000,2.9977E-6,3.0273E-6,2.9977E-6,3.0273E-6,1.28017E7,1781539199999
1781575200000,2.9377E-6,2.9377E-6,2.9085E-6,2.9085E-6,4.12422E7,1781578799999
1781596800000,2.9965E-6,2.9965E-6,2.9965E-6,2.9965E-6,5998202.0,1781600399999
1781600400000,2.9366E-6,2.9366E-6,2.9366E-6,2.9366E-6,5998206.0,1781603999999
1781611200000,3.0273E-6,3.0273E-6,2.9668E-6,2.9668E-6,635481.0,1781614799999
1781636400000,2.9816E-6,2.9816E-6,2.9668E-6,2.9668E-6,5.5024668E7,1781639999999
1781755200000,2.9075E-6,2.9075E-6,2.9075E-6,2.9075E-6,5970478.0,1781758799999
1781776800000,2.9075E-6,2.9075E-6,2.9075E-6,2.9075E-6,30003.0,1781780399999
1781780400000,2.8494E-6,2.8494E-6,2.8494E-6,2.8494E-6,5092618.0,1781783999999
1782183600000,2.8494E-6,2.8494E-6,2.7924E-6,2.7924E-6,2813692.0,1782187199999
1782190800000,2.7924E-6,2.7924E-6,2.7924E-6,2.7924E-6,3465674.0,1782194399999
1782194400000,2.7366E-6,2.7366E-6,2.7366E-6,2.7366E-6,5545827.0,1782197999999
1782489600000,2.6819E-6,2.6819E-6,2.6819E-6,2.6819E-6,5629500.0,1782493199999
1782572400000,2.6283E-6,2.6283E-6,2.6283E-6,2.6283E-6,5730211.0,1782575999999
1782943200000,2.5757E-6,2.5757E-6,2.5242E-6,2.5242E-6,1.1656002E7,1782946799999
1782993600000,2.4535E-6,2.4535E-6,2.4535E-6,2.4535E-6,4781389.0,1782997199999
1783076400000,2.5222E-6,2.5222E-6,2.5222E-6,2.5222E-6,4521566.0,1783079999999
1783108800000,2.5928E-6,2.62E-6,2.5928E-6,2.62E-6,1.20164E7,1783112399999
1783112400000,2.62E-6,2.6654E-6,2.62E-6,2.6654E-6,4542848.0,1783115999999
1783360800000,2.6654E-6,2.8E-6,2.3E-6,2.5529E-6,6.48785596E8,1783364399999
1783364400000,2.7272E-6,2.9589E-6,2.35E-6,2.35E-6,1.794870209E9,1783367999999
1783368000000,2.7166E-6,2.792E-6,2.23E-6,2.4E-6,5.185494578E9,1783371599999
1783371600000,2.4335E-6,2.79E-6,2.4335E-6,2.79E-6,7.4675046E7,1783375199999
1783389600000,2.7119E-6,2.7119E-6,2.7119E-6,2.7119E-6,4862269.0,1783393199999
1783425600000,2.636E-6,2.7119E-6,2.636E-6,2.7119E-6,7630484.0,1783429199999
1783443600000,2.7878E-6,2.7878E-6,2.7678E-6,2.7678E-6,5.3016466E7,1783447199999
1783447200000,2.6485E-6,2.7899E-6,2.5622E-6,2.7899E-6,2.7393293E7,1783450799999
1783450800000,2.5603E-6,2.79E-6,2.0001E-6,2.4031E-6,1.66647751E8,1783454399999
1783454400000,2.7034E-6,2.79E-6,2.2983E-6,2.5964E-6,1.116246542E9,1783457999999
1783461600000,2.7262E-6,2.7458E-6,2.5964E-6,2.5964E-6,9.07165586E8,1783465199999
1783497600000,2.5963E-6,2.5963E-6,2.5963E-6,2.5963E-6,4796456.0,1783501199999
1783501200000,2.5963E-6,2.5963E-6,2.5963E-6,2.5963E-6,1.0E8,1783504799999
1783519200000,2.669E-6,2.7976E-6,2.28E-6,2.5182E-6,5.899215612E9,1783522799999
1783522800000,2.5886E-6,2.5886E-6,2.4478E-6,2.4501E-6,1.6027220782E10,1783526399999
1783526400000,2.5726E-6,2.9552E-6,2.3794E-6,2.5126E-6,2.8578492833E10,1783529999999
1783530000000,2.6382E-6,2.7486E-6,2.5126E-6,2.5126E-6,4.6775975602E10,1783533599999
1783533600000,2.6382E-6,2.7486E-6,2.5126E-6,2.5126E-6,4.4148266944E10,1783537199999
1783537200000,2.6382E-6,2.7486E-6,2.5126E-6,2.6593E-6,5.09857641E10,1783540799999
1783540800000,2.5651E-6,2.7156E-6,2.5354E-6,2.6618E-6,9.604532274E9,1783544399999
1783544400000,2.6616E-6,2.6658E-6,2.5382E-6,2.6638E-6,1.997484502E10,1783547999999
1783548000000,2.6674E-6,2.6686E-6,2.5404E-6,2.6038E-6,3.811955239E9,1783551599999
1783551600000,2.6426E-6,2.6594E-6,2.5776E-6,2.6118E-6,5.138866011E9,1783555199999
1783555200000,2.6379E-6,2.6464E-6,2.5724E-6,2.5908E-6,1.4661478901E10,1783558799999
1783558800000,2.6307E-6,2.652E-6,2.568E-6,2.5814E-6,1.0326125071E10,1783562399999
1783562400000,2.6195E-6,2.652E-6,2.5533E-6,2.619E-6,1.3295616779E10,1783565999999
1783566000000,2.6192E-6,2.6703E-6,2.5485E-6,2.648E-6,3.4554127955E10,1783569599999
1783569600000,2.568E-6,2.6619E-6,2.5492E-6,2.5806E-6,8.0991458693E10,1783573199999
1783573200000,2.6613E-6,2.672E-6,2.5689E-6,2.5997E-6,6.3929265069E10,1783576799999
1783580400000,2.626E-6,2.626E-6,2.6259E-6,2.6259E-6,1.0E8,1783583999999
1783584000000,2.6245E-6,2.6311E-6,2.6245E-6,2.6285E-6,3.362753E8,1783587599999
1783587600000,2.6287E-6,2.6287E-6,2.6172E-6,2.6172E-6,2.931593E8,1783591199999
1783591200000,2.6508E-6,2.6508E-6,2.6211E-6,2.6211E-6,6.76506114E8,1783594799999
1783594800000,2.6171E-6,2.6171E-6,2.6171E-6,2.6171E-6,5.0E7,1783598399999
1783598400000,2.6185E-6,2.6185E-6,2.6185E-6,2.6185E-6,5.0E7,1783601999999
1783602000000,2.6185E-6,2.6185E-6,2.6185E-6,2.6185E-6,1.2834745E7,1783605599999
1783612800000,2.593E-6,2.5934E-6,2.593E-6,2.5934E-6,2081236.0,1783616399999
1783620000000,2.6264E-6,2.6264E-6,2.6264E-6,2.6264E-6,6.5342116E7,1783623599999
1783623600000,2.614E-6,2.614E-6,2.614E-6,2.614E-6,5.2957069E7,1783627199999
1783630800000,2.6194E-6,2.6194E-6,2.6194E-6,2.6194E-6,4974669.0,1783634399999
1783641600000,2.6052E-6,2.6052E-6,2.6052E-6,2.6052E-6,1.91923844E8,1783645199999
1783670400000,2.6886E-6,2.6886E-6,2.6886E-6,2.6886E-6,4633746.0,1783673999999
1783674000000,2.6982E-6,2.6982E-6,2.6982E-6,2.6982E-6,1.2481278E7,1783677599999
1783677600000,2.6965E-6,2.6965E-6,2.6965E-6,2.6965E-6,8226500.0,1783681199999
1783684800000,2.704E-6,2.704E-6,2.704E-6,2.704E-6,1.149931E7,1783688399999
1783688400000,2.7487E-6,2.7487E-6,2.7487E-6,2.7487E-6,4467453.0,1783691999999
1783692000000,2.7421E-6,2.7421E-6,2.7421E-6,2.7421E-6,2512328.0,1783695599999
1783699200000,2.8123E-6,2.8257E-6,2.8066E-6,2.8257E-6,4.5448165E7,1783702799999
