openTime,open,high,low,close,volume,closeTime
1709208000000,2.387,2.4067,2.1454,2.2109,1342426.51911949,1709251199999
1709251200000,2.2192,2.3327,2.072,2.104,997904.00231312,1709294399999
1709294400000,2.1036,2.126,1.9904,2.1047,1341540.75560974,1709337599999
1709337600000,2.1097,2.1172,1.8605,1.9506,1139681.097017,1709380799999
1709380800000,1.9517,2.0717,1.9411,1.9903,683986.77521374,1709423999999
1709424000000,1.9978,2.2358,1.8137,2.1477,1346867.36990026,1709467199999
1709467200000,2.1481,2.2769,2.0947,2.1871,687887.95845195,1709510399999
1709510400000,2.1878,2.1899,1.9967,2.06,557502.79719651,1709553599999
1709553600000,2.054,2.0874,1.9349,1.9808,647277.13039709,1709596799999
1709596800000,1.9846,2.0766,1.9049,2.0238,730915.21273241,1709639999999
1709640000000,2.0218,2.054,1.7112,1.893,1205707.43191332,1709683199999
1709683200000,1.9099,2.0061,1.8426,1.9396,358152.41340424,1709726399999
1709726400000,1.9457,1.9845,1.8734,1.9786,368365.75435127,1709769599999
1709769600000,1.9731,2.0969,1.9253,2.0224,578529.68928587,1709812799999
1709812800000,2.0219,2.1261,1.9815,2.112,617132.57370469,1709855999999
1709856000000,2.1143,2.225,1.9924,2.0158,711767.08216476,1709899199999
1709899200000,2.0151,2.06,1.9305,2.0237,686600.11481578,1709942399999
1709942400000,2.0422,2.2859,2.014,2.2399,648398.79197848,1709985599999
1709985600000,2.2399,2.39,2.1569,2.3289,504569.30635715,1710028799999
1710028800000,2.3258,2.5496,2.237,2.313,622823.21914551,1710071999999
1710072000000,2.317,2.4411,2.2514,2.3123,511981.95631773,1710115199999
1710115200000,2.3079,2.465,2.2373,2.282,298945.15871272,1710158399999
1710158400000,2.2814,2.3118,2.2006,2.2622,516211.82712925,1710201599999
1710201600000,2.2683,2.3617,2.1146,2.1756,372415.87325193,1710244799999
1710244800000,2.1725,2.257,2.0582,2.2387,355174.69875638,1710287999999
1710288000000,2.2515,2.3294,2.2198,2.3062,408353.21839459,1710331199999
1710331200000,2.3035,2.3245,2.2,2.268,453493.74314161,1710374399999
1710374400000,2.2726,2.3124,2.15,2.2298,287608.50384288,1710417599999
1710417600000,2.2305,2.4255,2.1222,2.3878,528588.8801701,1710460799999
1710460800000,2.3982,2.414,1.9809,2.0902,511900.99681992,1710503999999
1710504000000,2.0793,2.1558,2.0439,2.1275,231234.65020634,1710547199999
1710547200000,2.1203,2.3064,2.1072,2.1796,273310.96183346,1710590399999
1710590400000,2.175,2.2015,1.9098,1.9563,209744.72406512,1710633599999
1710633600000,1.9582,2.0005,1.8372,1.9626,183741.80890831,1710676799999
1710676800000,1.9662,2.0611,1.905,2.0065,136292.76101654,1710719999999
1710720000000,1.9967,2.0263,1.87,1.8906,133622.18800224,1710763199999
1710763200000,1.8847,1.8956,1.77,1.81,170905.67994172,1710806399999
1710806400000,1.8209,1.8225,1.4862,1.5928,698146.46193612,1710849599999
1710849600000,1.5883,1.74,1.5433,1.6103,427763.10104621,1710892799999
1710892800000,1.62,1.6802,1.525,1.6597,212006.33820934,1710935999999
1710936000000,1.658,1.8,1.5575,1.7775,283020.26724285,1710979199999
1710979200000,1.7666,1.8601,1.74,1.8378,194907.84697249,1711022399999
1711022400000,1.8468,1.8696,1.7294,1.7626,245884.94772901,1711065599999
1711065600000,1.7611,1.8247,1.7034,1.7369,103989.01383214,1711108799999
1711108800000,1.7543,1.7689,1.6885,1.7369,167710.75553883,1711151999999
1711152000000,1.7327,1.8074,1.7193,1.7517,71512.38550317,1711195199999
1711195200000,1.75,1.7594,1.702,1.7026,138956.65530413,1711238399999
1711238400000,1.7107,1.7369,1.6709,1.7086,49209.87550805,1711281599999
1711281600000,1.7103,1.7718,1.6885,1.7587,138565.93755118,1711324799999
1711324800000,1.7559,1.8221,1.7386,1.7802,82628.18676287,1711367999999
1711368000000,1.7874,1.8828,1.7874,1.8635,244034.43736035,1711411199999
1711411200000,1.8576,1.9518,1.8576,1.8801,268613.26286347,1711454399999
1711454400000,1.8775,1.9775,1.842,1.9598,438840.51307121,1711497599999
1711497600000,1.9502,2.1196,1.9024,1.9787,228617.09590281,1711540799999
1711540800000,1.981,2.0316,1.8943,1.9397,191443.89072566,1711583999999
1711584000000,1.942,2.1784,1.942,2.0018,397833.80588976,1711627199999
1711627200000,1.9968,1.999,1.9412,1.9741,115713.94317606,1711670399999
1711670400000,1.9776,1.9891,1.8623,1.909,90884.31474192,1711713599999
1711713600000,1.9111,1.9186,1.8165,1.8392,94157.84870439,1711756799999
1711756800000,1.8383,1.8754,1.8178,1.8706,71271.2461977,1711799999999
1711800000000,1.8717,1.8724,1.7881,1.7989,79549.3568499,1711843199999
1711843200000,1.7971,1.8408,1.7891,1.8113,45946.3748831,1711886399999
1711886400000,1.8127,1.8425,1.804,1.8376,74382.7642338,1711929599999
1711929600000,1.8364,1.8364,1.64,1.7254,146976.8230881,1711972799999
1711972800000,1.7283,1.7566,1.6858,1.7346,104478.86859723,1712015999999
1712016000000,1.7288,1.7818,1.5971,1.6218,234031.44042007,1712059199999
1712059200000,1.6282,1.6537,1.5952,1.6072,86810.23754764,1712102399999
1712102400000,1.6063,1.6695,1.5411,1.6297,52981.2157017,1712145599999
1712145600000,1.6063,1.6691,1.5325,1.5777,84773.48145937,1712188799999
1712188800000,1.5742,1.5937,1.51,1.5483,34434.74580395,1712231999999
1712232000000,1.5442,1.6567,1.5434,1.5812,127036.68842797,1712275199999
1712275200000,1.5822,1.5844,1.4456,1.4456,82756.45534614,1712318399999
1712318400000,1.4473,1.5095,1.437,1.4766,76843.70985538,1712361599999
1712361600000,1.4665,1.5333,1.4665,1.5012,46825.08275728,1712404799999
1712404800000,1.5001,1.5603,1.4966,1.5402,60478.34906359,1712447999999
1712448000000,1.5365,1.5748,1.5298,1.5659,17071.55522555,1712491199999
1712491200000,1.5611,1.58,1.5,1.5257,65311.01318284,1712534399999
1712534400000,1.5241,1.582,1.4776,1.5682,98063.596021,1712577599999
1712577600000,1.5709,1.5959,1.5446,1.5648,65356.47484697,1712620799999
1712620800000,1.5638,1.5689,1.51,1.5455,49927.45821349,1712663999999
1712664000000,1.5489,1.5489,1.4305,1.4382,89857.53749645,1712707199999
1712707200000,1.43,1.4469,1.3482,1.3909,102502.09624503,1712750399999
1712750400000,1.3912,1.4148,1.33,1.4065,87078.59953759,1712793599999
1712793600000,1.4098,1.4376,1.38,1.3852,78486.51867029,1712836799999
1712836800000,1.3841,1.4012,1.3147,1.3282,117609.8647562,1712879999999
1712880000000,1.3278,1.3569,1.2735,1.2898,74993.80941659,1712923199999
1712923200000,1.2875,1.2934,0.909,1.0934,888077.7434874,1712966399999
1712966400000,1.0908,1.0908,1.0346,1.0483,685623.97463247,1713009599999
1713009600000,1.0467,1.0609,0.72562,0.85801,1249248.65009476,1713052799999
1713052800000,0.85976,0.92533,0.80032,0.87895,138271.3374033,1713095999999
1713096000000,0.88013,0.9655,0.85505,0.93779,195184.97078684,1713139199999
1713139200000,0.937,1.0047,0.90499,0.97796,104542.30294331,1713182399999
1713182400000,0.97565,1.0122,0.85335,0.90682,220363.30909752,1713225599999
1713225600000,0.91314,0.9468,0.87,0.937,68787.1604085,1713268799999
1713268800000,0.9338,0.95567,0.874,0.93835,57454.61025577,1713311999999
1713312000000,0.93106,0.937,0.87,0.87119,102051.73683798,1713355199999
1713355200000,0.87404,0.93057,0.834,0.91424,73735.98382553,1713398399999
1713398400000,0.9094,0.9277,0.86158,0.90775,56241.59889707,1713441599999
1713441600000,0.90954,0.94138,0.88689,0.91828,115897.32949814,1713484799999
1713484800000,0.9094,0.93103,0.81792,0.92835,98658.50023867,1713527999999
1713528000000,0.92043,0.98777,0.9004,0.93903,105860.33603517,1713571199999
1713571200000,0.937,0.97218,0.9185,0.94235,48351.71150195,1713614399999
1713614400000,0.93918,1.05,0.93274,1.0247,128129.98768995,1713657599999
1713657600000,1.018,1.0307,0.99844,1.0116,98353.15095503,1713700799999
1713700800000,1.0048,1.0111,0.9595,0.98334,36530.34178461,1713743999999
1713744000000,0.99478,1.0475,0.9752,1.0012,42644.99168693,1713787199999
1713787200000,1.0028,1.0127,0.9655,1.0058,142085.01250653,1713830399999
1713830400000,0.99518,1.0148,0.94,0.94654,62811.24212789,1713873599999
1713873600000,0.94654,1.0314,0.94654,0.981,193553.20329777,1713916799999
