openTime,open,high,low,close,volume,closeTime
1754114400000,7.2958,7.2959,7.1805,7.1945,73.01148155,1754135999999
1754136000000,7.2808,7.2809,7.1356,7.1456,478.22825775,1754157599999
1754157600000,7.0365,7.1769,7.0365,7.1759,291.38642656,1754179199999
1754179200000,7.2124,7.2124,7.2124,7.2124,1.38234152,1754200799999
1754200800000,7.1287,7.2655,7.1287,7.2463,103.13753314,1754222399999
1754222400000,7.2404,7.2404,7.2404,7.2404,24.78071359,1754243999999
1754244000000,7.2087,7.3138,7.2087,7.3138,113.37156278,1754265599999
1754265600000,7.3001,7.3001,7.3001,7.3001,0.78355092,1754287199999
1754287200000,7.3375,7.3375,7.3375,7.3375,124.35880357,1754308799999
1754308800000,7.3077,7.3077,7.3077,7.3077,25.25609329,1754330399999
1754330400000,7.5819,7.5873,7.5819,7.5873,32.91764095,1754351999999
1754352000000,7.9,7.9471,7.776,7.776,35.90514554,1754373599999
1754373600000,7.7368,7.8279,7.4378,7.8279,2790.58695834,1754395199999
1754395200000,7.8522,8.1383,7.8,7.918,6779.10685081,1754416799999
1754416800000,7.8869,7.936,7.697,7.9091,1346.69104769,1754438399999
1754438400000,7.8747,7.9868,7.8747,7.9868,395.82574498,1754459999999
1754460000000,7.9925,8.0864,7.9465,8.0764,323.06568285,1754481599999
1754481600000,7.9407,7.9614,7.7967,7.7967,159.96156795,1754503199999
1754503200000,7.7005,7.744,7.6102,7.7179,150.6619034,1754524799999
1754524800000,7.6383,7.6383,7.584,7.584,26.26369273,1754546399999
1754546400000,7.6374,7.6374,7.49,7.4959,285.30585472,1754567999999
1754568000000,7.5005,7.5005,6.5981,6.6199,12885.18287575,1754589599999
1754589600000,6.5816,6.921,6.5692,6.8565,12602.3486133,1754611199999
1754611200000,6.87,6.9152,6.6762,6.8266,7643.5210359,1754632799999
1754632800000,6.8509,6.9518,6.8171,6.8555,9433.20797948,1754654399999
1754654400000,6.8814,6.9101,6.7587,6.8559,5363.8988548,1754675999999
1754676000000,6.8735,7.25,6.8595,7.2057,3807.26985101,1754697599999
1754697600000,7.211,7.7237,7.211,7.4658,5389.70019386,1754719199999
1754719200000,7.4714,7.503,7.2897,7.3773,2342.30163935,1754740799999
1754740800000,7.4312,7.8859,7.3994,7.7,3873.7917946,1754762399999
