openTime,open,high,low,close,volume,closeTime
1785848400000,0.1,0.14,0.0951,0.122795,5360698.6999,1785851999999
1785852000000,0.122857,0.124789,0.100975,0.105377,2204090.9473,1785855599999
1785855600000,0.104632,0.110208,0.1,0.102057,771320.7383,1785859199999
1785859200000,0.103964,0.106258,0.096157,0.1032,672440.7342,1785862799999
1785862800000,0.102271,0.107,0.097555,0.099051,397917.8411,1785866399999
1785866400000,0.099681,0.103718,0.099681,0.099925,197373.0736,1785869999999
1785870000000,0.099925,0.101495,0.098001,0.099451,217140.5748,1785873599999
1785873600000,0.099226,0.104987,0.099226,0.101999,237782.6964,1785877199999
1785877200000,0.102,0.10543,0.09952,0.10386,186825.9318,1785880799999
1785880800000,0.10386,0.11,0.10306,0.10806,240783.9835,1785884399999
1785884400000,0.109184,0.112,0.099,0.108141,147967.8759,1785887999999
1785888000000,0.106068,0.109216,0.093139,0.096514,101652.5922,1785891599999
1785891600000,0.095619,0.100521,0.088299,0.09429,181989.4476,1785895199999
1785895200000,0.094286,0.101462,0.093936,0.099418,77081.9042,1785898799999
1785898800000,0.099418,0.1,0.092677,0.096,105723.5061,1785902399999
1785902400000,0.095999,0.096,0.092506,0.094218,160774.572,1785905999999
1785906000000,0.094218,0.0953,0.0925,0.093441,143996.7771,1785909599999
1785909600000,0.093427,0.096856,0.0925,0.093001,274065.3841,1785913199999
1785913200000,0.093001,0.094086,0.087276,0.090449,351586.8048,1785916799999
1785916800000,0.088371,0.090487,0.085451,0.089605,251181.6048,1785920399999
1785920400000,0.09,0.090154,0.085022,0.086769,255950.6455,1785923999999
1785924000000,0.087498,0.090154,0.087498,0.089412,209037.2169,1785927599999
1785927600000,0.088208,0.093433,0.088207,0.09,158858.258,1785931199999
1785931200000,0.090029,0.100527,0.088815,0.096094,565410.8515,1785934799999
1785934800000,0.096261,0.098093,0.091704,0.094569,347592.2727,1785938399999
1785938400000,0.093982,0.094938,0.0917,0.093152,214277.5727,1785941999999
1785942000000,0.093415,0.096146,0.093025,0.095234,198109.7564,1785945599999
1785945600000,0.094752,0.095234,0.0917,0.091948,103276.0307,1785949199999
1785949200000,0.091958,0.093437,0.091514,0.092753,79065.1215,1785952799999
1785952800000,0.093681,0.095789,0.09278,0.094,137065.8673,1785956399999
1785956400000,0.093638,0.094153,0.092,0.09403,87986.2986,1785959999999
1785960000000,0.094282,0.094937,0.092963,0.093329,55567.2446,1785963599999
1785963600000,0.093827,0.094221,0.091001,0.091001,96818.2114,1785967199999
1785967200000,0.091224,0.092333,0.090851,0.092333,44513.5625,1785970799999
1785970800000,0.092107,0.093836,0.091533,0.093275,33049.2767,1785974399999
1785974400000,0.093315,0.095356,0.09244,0.0925,35845.7499,1785977999999
1785978000000,0.092829,0.093384,0.092393,0.092393,14695.5886,1785981599999
1785981600000,0.0926,0.09467,0.092065,0.09467,20943.3608,1785985199999
1785985200000,0.094564,0.094691,0.091953,0.091953,31741.8935,1785988799999
1785988800000,0.093069,0.093256,0.090338,0.092265,89206.0382,1785992399999
1785992400000,0.091467,0.092648,0.089,0.090339,85482.5022,1785995999999
1785996000000,0.09108,0.09108,0.088635,0.089869,105116.5828,1785999599999
1785999600000,0.090198,0.091583,0.088,0.090188,153920.9333,1786003199999
1786003200000,0.089268,0.089555,0.081924,0.085317,398323.9329,1786006799999
1786006800000,0.086918,0.087606,0.085634,0.086052,93631.5565,1786010399999
1786010400000,0.087032,0.088206,0.086329,0.088206,42064.2161,1786013999999
1786014000000,0.088039,0.089338,0.087515,0.089338,89013.1386,1786017599999
1786017600000,0.088406,0.088513,0.086122,0.087089,102015.4883,1786021199999
1786021200000,0.086208,0.086883,0.085114,0.085773,92157.2803,1786024799999
1786024800000,0.086084,0.087234,0.085894,0.087212,95311.8629,1786028399999
1786028400000,0.087212,0.087212,0.08594,0.087212,84382.7514,1786031999999
1786032000000,0.086496,0.087212,0.085838,0.086487,71502.6448,1786035599999
1786035600000,0.086533,0.086784,0.085256,0.085627,27856.5138,1786039199999
1786039200000,0.086689,0.086689,0.083288,0.085086,117581.8454,1786042799999
1786042800000,0.084846,0.085746,0.0845,0.085238,57194.9608,1786046399999
1786046400000,0.085419,0.087123,0.084869,0.087123,72748.1201,1786049999999
