openTime,open,high,low,close,volume,closeTime
1741780800000,0.49353,0.6394,0.4895,0.53542,6590234.78023136,1741823999999
1741824000000,0.5394,0.59887,0.51195,0.53517,3192183.45800961,1741867199999
1741867200000,0.53436,0.53681,0.48406,0.49558,2087374.51479103,1741910399999
1741910400000,0.49367,0.50289,0.46457,0.47,1034905.84508176,1741953599999
1741953600000,0.46963,0.53491,0.46618,0.51496,2485829.89688993,1741996799999
1741996800000,0.52397,0.69799,0.5062,0.67996,5055574.76557444,1742039999999
1742040000000,0.67788,0.81,0.64684,0.75472,8139609.55762675,1742083199999
1742083200000,0.75389,0.79918,0.70882,0.74492,2611600.35248074,1742126399999
1742126400000,0.74594,0.83964,0.71003,0.71435,3510176.02382642,1742169599999
1742169600000,0.7109,0.71701,0.6337,0.64043,1988700.14327869,1742212799999
1742212800000,0.63967,0.69348,0.63923,0.65947,2158855.27176266,1742255999999
1742256000000,0.65394,0.65805,0.59436,0.61707,1025418.46050675,1742299199999
1742299200000,0.61914,0.65596,0.60858,0.63127,853601.99211847,1742342399999
1742342400000,0.63059,0.70698,0.59645,0.6284,1779990.28182212,1742385599999
1742385600000,0.62829,0.67899,0.611,0.66437,1732756.4853735,1742428799999
1742428800000,0.66773,0.6846,0.62054,0.62195,434150.84042677,1742471999999
1742472000000,0.62335,0.64331,0.596,0.61576,995395.08375096,1742515199999
1742515200000,0.62047,0.6303,0.56484,0.56982,381434.32724055,1742558399999
1742558400000,0.57083,0.59421,0.53758,0.54058,427696.75353298,1742601599999
1742601600000,0.54094,0.56735,0.54094,0.55809,610215.22884009,1742644799999
1742644800000,0.55597,0.57587,0.54711,0.56039,600830.1418755,1742687999999
1742688000000,0.55833,0.59448,0.54161,0.55137,376536.123805,1742731199999
1742731200000,0.55316,0.55733,0.52853,0.53827,270747.48256109,1742774399999
1742774400000,0.53854,0.56995,0.527,0.54759,369325.15393239,1742817599999
1742817600000,0.54448,0.57028,0.5381,0.56261,459848.3340143,1742860799999
1742860800000,0.57,0.65787,0.55508,0.6272,2515318.36893128,1742903999999
1742904000000,0.62518,0.62882,0.58518,0.61092,729536.04066418,1742947199999
1742947200000,0.60222,0.60222,0.57159,0.58776,374995.30656354,1742990399999
1742990400000,0.58913,0.59497,0.54141,0.54389,771271.13943414,1743033599999
1743033600000,0.54329,0.57646,0.54322,0.54362,184351.88599335,1743076799999
1743076800000,0.54421,0.56134,0.51621,0.52585,808250.02340032,1743119999999
1743120000000,0.52261,0.5295,0.5009,0.51226,165474.00756605,1743163199999
1743163200000,0.51175,0.51725,0.49068,0.49875,45140.23825273,1743206399999
1743206400000,0.49773,0.49773,0.47776,0.48494,126578.37749755,1743249599999
1743249600000,0.48606,0.53312,0.48606,0.51937,787099.05795521,1743292799999
1743292800000,0.51154,0.51536,0.48461,0.49351,118515.23032995,1743335999999
1743336000000,0.49157,0.52377,0.48382,0.48382,434565.91196182,1743379199999
1743379200000,0.48573,0.49367,0.45362,0.46245,84554.7908116,1743422399999
1743422400000,0.47127,0.48936,0.46866,0.46875,71483.3825947,1743465599999
1743465600000,0.46886,0.48306,0.45608,0.4677,146525.21364279,1743508799999
1743508800000,0.46982,0.48481,0.44448,0.45343,164273.17615631,1743551999999
1743552000000,0.4466,0.4466,0.40645,0.41308,155201.46647426,1743595199999
1743595200000,0.41286,0.42126,0.38144,0.38482,150481.980315,1743638399999
1743638400000,0.38804,0.40432,0.37969,0.38355,99795.36924581,1743681599999
1743681600000,0.37626,0.3891,0.37081,0.37508,79452.50803693,1743724799999
1743724800000,0.37641,0.39009,0.35973,0.36509,139615.96861758,1743767999999
1743768000000,0.36198,0.38373,0.36198,0.37867,143104.12454389,1743811199999
1743811200000,0.37905,0.39368,0.37348,0.37776,81797.58860642,1743854399999
1743854400000,0.37671,0.37722,0.36116,0.36853,64097.85371992,1743897599999
1743897600000,0.37052,0.37299,0.33903,0.34191,171913.7623721,1743940799999
