openTime,open,high,low,close,volume,closeTime
1780934400000,0.0012273,0.0012273,0.0012255,0.0012255,26227.0583,1780937999999
1780938000000,0.0012164,0.0012212,0.0012155,0.0012212,540230.4222,1780941599999
1780941600000,0.0012288,0.0012288,0.0012288,0.0012288,19108.4176,1780945199999
1780945200000,0.0012198,0.0012198,0.0012196,0.0012196,91604.7206,1780948799999
1780948800000,0.0012202,0.0012202,0.0012201,0.0012201,148165.0512,1780952399999
1780952400000,0.0012234,0.0012283,0.0012234,0.0012283,270871.7924,1780955999999
1780956000000,0.0012188,0.0012189,0.0012188,0.0012189,60452.5691,1780959599999
1780963200000,0.0011846,0.0011846,0.0011846,0.0011846,82715.0505,1780966799999
1780966800000,0.0011884,0.0011935,0.0011884,0.0011935,167933.9324,1780970399999
1780970400000,0.0011891,0.0011891,0.0011849,0.0011849,92168.4918,1780973999999
1780974000000,0.0011912,0.0011936,0.0011894,0.0011936,587161.9753,1780977599999
1780977600000,0.0012084,0.0012245,0.0012058,0.0012235,6083014.6635,1780981199999
1780981200000,0.0012275,0.0012297,0.0012265,0.0012265,488712.3816,1780984799999
1780984800000,0.0012256,0.0012273,0.0012203,0.0012203,2307898.2361,1780988399999
1780988400000,0.0012197,0.0012275,0.0012169,0.0012193,337637.7502,1780991999999
1780992000000,0.0012145,0.0012145,0.0012107,0.0012107,220531.5769,1780995599999
1780995600000,0.0012027,0.0012027,0.0012027,0.0012027,0.0262,1780999199999
1780999200000,0.0012038,0.0012087,0.0012038,0.0012087,232113.9675,1781002799999
1781002800000,0.0012033,0.0012033,0.0012033,0.0012033,56885.8303,1781006399999
1781006400000,0.0012054,0.0012054,0.0012053,0.0012053,178637.6758,1781009999999
1781013600000,0.0012093,0.0012093,0.0011847,0.0011847,3312586.8115,1781017199999
1781017200000,0.0011931,0.0011931,0.0011798,0.0011798,7479399.1519,1781020799999
1781020800000,0.0011788,0.0011794,0.0011683,0.0011743,4709897.8994,1781024399999
1781024400000,0.0011785,0.0011902,0.0011785,0.0011902,2466325.5084,1781027999999
1781028000000,0.0011889,0.0011889,0.0011889,0.0011889,56885.8303,1781031599999
1781031600000,0.0011884,0.0011894,0.0011884,0.0011894,157093.1694,1781035199999
1781035200000,0.0011991,0.0011991,0.0011991,0.0011991,4995.9889,1781038799999
1781038800000,0.0011979,0.0011979,0.0011949,0.0011949,262730.5223,1781042399999
1781046000000,0.0011892,0.0011892,0.0011892,0.0011892,84090.1446,1781049599999
1781049600000,0.0011807,0.0011807,0.0011781,0.0011781,141321.6834,1781053199999
1781053200000,0.0011798,0.0011798,0.0011798,0.0011798,199955.0934,1781056799999
1781056800000,0.0011598,0.0011598,0.0011598,0.0011598,85796.4147,1781060399999
1781064000000,0.0011689,0.0011689,0.0011689,0.0011689,85506.6267,1781067599999
1781067600000,0.0011637,0.0011637,0.0011617,0.0011617,287396.2965,1781071199999
1781071200000,0.0011642,0.0011659,0.0011642,0.0011659,942868.467,1781074799999
1781078400000,0.0011639,0.0011669,0.0011638,0.0011669,204273.7793,1781081999999
1781082000000,0.0011521,0.0011521,0.0011489,0.001152,735455.9072,1781085599999
1781085600000,0.0011571,0.0011571,0.0011558,0.0011558,1277199.4527,1781089199999
1781089200000,0.001151,0.001151,0.001151,0.001151,115567.4144,1781092799999
1781092800000,0.0011613,0.0011669,0.0011613,0.0011621,1829188.266,1781096399999
1781096400000,0.0011632,0.0011811,0.0011632,0.0011811,2410108.5429,1781099999999
1781100000000,0.0011699,0.0011749,0.0011638,0.0011703,2979617.306,1781103599999
1781103600000,0.0011743,0.0011764,0.0011743,0.0011747,3915727.8994,1781107199999
1781107200000,0.0011701,0.0011701,0.0011701,0.0011701,42842.4921,1781110799999
1781110800000,0.0011577,0.0011577,0.0011483,0.0011489,743240.0908,1781114399999
1781114400000,0.0011507,0.0011507,0.0011507,0.0011507,85143.6566,1781117999999
1781121600000,0.0011389,0.0011495,0.0011389,0.0011415,4719348.5055,1781125199999
1781125200000,0.0011437,0.0011437,0.0011294,0.0011294,208854.6016,1781128799999
1781128800000,0.0011259,0.0011284,0.0011228,0.0011284,5858165.6271,1781132399999
1781132400000,0.0011375,0.0011421,0.0011341,0.001142,5892782.0699,1781135999999
1781136000000,0.0011467,0.0011467,0.0011467,0.0011467,261241.0093,1781139599999
1781143200000,0.0011493,0.0011493,0.0011486,0.0011486,173809.3044,1781146799999
1781146800000,0.0011583,0.0011804,0.0011583,0.0011804,2.18563029142E7,1781150399999
1781150400000,0.0011797,0.0011996,0.0011775,0.0011989,8104798.3506,1781153999999
1781154000000,0.0011979,0.0011979,0.0011936,0.0011936,584524.498,1781157599999
1781157600000,0.0011873,0.0011874,0.0011873,0.0011874,84067.5243,1781161199999
1781161200000,0.0011803,0.0011803,0.0011767,0.0011767,141100.4792,1781164799999
1781164800000,0.0011909,0.0011909,0.0011909,0.0011909,83970.1066,1781168399999
1781168400000,0.0011811,0.0011836,0.0011811,0.0011836,906474.704,1781171999999
1781172000000,0.0011785,0.0011785,0.0011785,0.0011785,84790.0452,1781175599999
1781175600000,0.0011796,0.0011796,0.0011788,0.0011788,90333.8975,1781179199999
1781179200000,0.001178,0.001178,0.0011662,0.0011725,383911.6158,1781182799999
1781186400000,0.0011713,0.0011713,0.0011713,0.0011713,85479.1936,1781189999999
1781190000000,0.0011664,0.0011766,0.0011664,0.0011766,329141.4266,1781193599999
1781193600000,0.0011799,0.0011799,0.001174,0.001174,229347.3401,1781197199999
1781197200000,0.0011847,0.0011906,0.0011847,0.0011887,6315843.1654,1781200799999
1781200800000,0.0012009,0.0012108,0.001195,0.001195,8870132.8124,1781204399999
1781204400000,0.0011895,0.0011945,0.0011895,0.0011944,3855140.4788,1781207999999
1781208000000,0.0011885,0.0011885,0.0011807,0.0011807,294086.5816,1781211599999
1781211600000,0.0011889,0.0011889,0.0011889,0.0011889,1713970.8974,1781215199999
1781215200000,0.0011889,0.0011889,0.0011861,0.0011861,283563.8599,1781218799999
1781226000000,0.0011729,0.0011729,0.0011729,0.0011729,147282.2384,1781229599999
1781229600000,0.0011718,0.0011718,0.0011718,0.0011718,85338.795,1781233199999
1781233200000,0.0011726,0.0011726,0.0011708,0.0011715,102437.8819,1781236799999
1781236800000,0.0011692,0.0011736,0.0011692,0.0011735,132760.1502,1781240399999
1781240400000,0.0011689,0.0011689,0.0011635,0.0011635,150348.9073,1781243999999
1781244000000,0.0011625,0.0011625,0.00115,0.0011553,177074.2613,1781247599999
1781251200000,0.0011713,0.0011713,0.0011707,0.0011707,171845.8934,1781254799999
1781254800000,0.0011747,0.0011747,0.0011747,0.0011747,42728.5206,1781258399999
1781258400000,0.001177,0.001177,0.0011717,0.0011717,565751.705,1781261999999
1781262000000,0.0011756,0.0011756,0.0011752,0.0011752,106662.6863,1781265599999
1781265600000,0.0011772,0.0011772,0.0011715,0.0011715,1693327.6369,1781269199999
1781269200000,0.0011727,0.0011727,0.0011727,0.0011727,84574.0599,1781272799999
1781272800000,0.0011724,0.0011766,0.0011724,0.0011766,251228.5505,1781276399999
1781276400000,0.0011844,0.0011844,0.0011671,0.0011671,3061326.9084,1781279999999
1781280000000,0.0011703,0.0011703,0.0011703,0.0011703,3560.9365,1781283599999
1781283600000,0.0011674,0.0011674,0.0011674,0.0011674,42753.1266,1781287199999
1781287200000,0.001166,0.0011688,0.001166,0.0011687,99239.4424,1781290799999
1781290800000,0.0011685,0.0011685,0.0011684,0.0011684,465340.7024,1781294399999
1781298000000,0.0011604,0.0011661,0.0011604,0.001166,1928074.3072,1781301599999
1781301600000,0.00116,0.00116,0.00116,0.00116,86206.8965,1781305199999
1781305200000,0.0011599,0.0011599,0.001155,0.001155,2616919.7422,1781308799999
1781308800000,0.001162,0.0011628,0.001161,0.0011627,449691.6264,1781312399999
1781312400000,0.0011703,0.0011703,0.0011703,0.0011703,85455.4776,1781315999999
1781316000000,0.0011726,0.0011726,0.0011726,0.0011726,85280.573,1781319599999
1781319600000,0.0011615,0.0011615,0.0011615,0.0011615,57025.135,1781323199999
1781326800000,0.0011609,0.0011616,0.0011609,0.0011616,61325.1213,1781330399999
1781330400000,0.0011673,0.0011673,0.0011673,0.0011673,172920.7078,1781333999999
1781341200000,0.0011774,0.0011774,0.0011774,0.0011774,37719.1652,1781344799999
1781348400000,0.00118,0.00118,0.0011796,0.0011796,60442.9333,1781351999999
1781352000000,0.0011943,0.0011943,0.0011926,0.0011926,3445695.5613,1781355599999
1781355600000,0.0011891,0.0011891,0.0011889,0.0011889,503588.6999,1781359199999
1781359200000,0.0011879,0.0011879,0.0011879,0.0011879,5134.0856,1781362799999
1781362800000,0.0011986,0.0012036,0.0011986,0.0012025,5329446.6031,1781366399999
1781366400000,0.0011926,0.001197,0.0011925,0.001197,272153.6835,1781369999999
1781370000000,0.0011924,0.0011998,0.0011918,0.0011997,429926.747,1781373599999
1781377200000,0.0011944,0.0011944,0.0011882,0.0011922,5440454.5701,1781380799999
1781380800000,0.0011903,0.0011904,0.0011903,0.0011904,169741.8675,1781384399999
1781384400000,0.0012016,0.0012016,0.0012016,0.0012016,83222.3701,1781387999999
1781388000000,0.0012008,0.0012388,0.0012005,0.0012337,3.276517790199999E7,1781391599999
1781391600000,0.0012228,0.0012239,0.0012149,0.0012155,5504217.5661,1781395199999
1781395200000,0.0012136,0.0012167,0.0012116,0.0012116,2926579.8012,1781398799999
1781398800000,0.0012167,0.0012167,0.0012167,0.0012167,217854.5914,1781402399999
1781402400000,0.0012115,0.0012124,0.0012115,0.0012124,2336926.9698,1781405999999
1781409600000,0.0012069,0.0012069,0.0011991,0.0011991,107723.0493,1781413199999
1781413200000,0.0011924,0.0011983,0.0011924,0.0011983,4788540.6264,1781416799999
1781420400000,0.0011991,0.0011991,0.0011946,0.0011946,3042035.7523,1781423999999
1781424000000,0.0011975,0.001201,0.0011975,0.001201,92146.7487,1781427599999
1781427600000,0.0011948,0.0012062,0.0011948,0.0012059,1.0024966184E7,1781431199999
1781431200000,0.0012138,0.0012138,0.0012093,0.0012103,18169.2761,1781434799999
1781434800000,0.0012033,0.0012037,0.0012032,0.0012037,755058.8201,1781438399999
1781438400000,0.0012056,0.0012056,0.0011992,0.0011992,332656.4472,1781441999999
1781442000000,0.001196,0.0011965,0.001196,0.0011965,263319.402,1781445599999
1781445600000,0.0011914,0.0011914,0.0011819,0.0011819,3884325.1264,1781449199999
1781449200000,0.0011839,0.0011889,0.0011838,0.0011874,1.80149694833E7,1781452799999
1781452800000,0.0011917,0.001196,0.0011917,0.001196,290763.5549,1781456399999
1781456400000,0.001189,0.0011899,0.0011877,0.0011877,4041306.6258,1781459999999
1781460000000,0.001182,0.001182,0.001182,0.001182,16962.775,1781463599999
1781463600000,0.0011843,0.0011914,0.0011842,0.0011881,1850686.1184,1781467199999
1781467200000,0.0011983,0.0011983,0.0011954,0.0011954,130978.2893,1781470799999
1781470800000,0.0011944,0.0012192,0.0011943,0.0012191,250456.8592,1781474399999
1781474400000,0.0012203,0.0012219,0.0012138,0.0012218,8063040.2956,1781477999999
1781485200000,0.0012139,0.0012179,0.0012116,0.0012179,26263.574,1781488799999
1781499600000,0.0012305,0.0012305,0.0012305,0.0012305,40552.6208,1781503199999
1781503200000,0.001225,0.0012274,0.0012249,0.0012274,444487.7094,1781506799999
1781506800000,0.0012268,0.0012268,0.0012225,0.0012225,770507.9712,1781510399999
1781510400000,0.0012209,0.0012288,0.0012209,0.001227,1341369.193,1781513999999
1781514000000,0.0012265,0.0012265,0.0012264,0.0012264,163569.6727,1781517599999
1781517600000,0.0012298,0.001239,0.0012248,0.001239,2489634.8156,1781521199999
1781521200000,0.0012366,0.0012538,0.0012366,0.0012419,320820.7559,1781524799999
1781524800000,0.0012376,0.0012472,0.0012376,0.0012472,2515339.5346,1781528399999
1781528400000,0.0012512,0.001264,0.0012512,0.001264,2569717.1906,1781531999999
1781532000000,0.001257,0.0012618,0.001257,0.0012577,1829976.1456,1781535599999
1781535600000,0.0012496,0.0012661,0.0012495,0.0012661,159638.7414,1781539199999
1781539200000,0.0012607,0.0012624,0.001255,0.0012565,9240994.7428,1781542799999
1781542800000,0.0012481,0.0012503,0.0012441,0.0012474,8361309.1015,1781546399999
1781546400000,0.0012487,0.0012565,0.0012454,0.0012543,5695513.392,1781549999999
1781550000000,0.0012475,0.00126,0.0012462,0.0012498,4039172.2172,1781553599999
1781553600000,0.001246,0.001246,0.0012409,0.0012409,317410.9803,1781557199999
1781557200000,0.0012381,0.0012387,0.001238,0.0012386,317151.2014,1781560799999
1781560800000,0.0012463,0.0012684,0.0012452,0.0012512,1.77096175113E7,1781564399999
1781564400000,0.0012541,0.0012742,0.0012541,0.0012719,1.9462242159E7,1781567999999
1781568000000,0.0012727,0.0012754,0.0012518,0.0012518,1.03843658284E7,1781571599999
