openTime,open,high,low,close,volume,closeTime
1627992000000,28.955,30.218,28.419,29.325,13488.42330243,1628013599999
1628013600000,29.261,29.482,28.588,28.588,5142.73574942,1628035199999
1628035200000,28.755,28.974,28.294,28.512,1138.34457867,1628056799999
1628056800000,28.558,29.017,28.071,28.997,2367.07590041,1628078399999
1628078400000,28.995,30.662,28.954,30.018,9365.73324034,1628099999999
1628100000000,30.045,30.981,30.038,30.264,3725.81234915,1628121599999
1628121600000,30.265,31.706,30.002,31.04,2033.37242332,1628143199999
1628143200000,31.112,31.488,30.383,31.113,6368.15495542,1628164799999
1628164800000,31.045,32.299,30.385,31.393,9630.29310364,1628186399999
1628186400000,31.393,31.932,31.047,31.565,4457.40325112,1628207999999
1628208000000,31.642,31.689,30.189,30.762,2304.78523623,1628229599999
1628229600000,30.768,31.56,30.76,31.331,3911.31330593,1628251199999
1628251200000,31.349,34.311,31.122,33.98,13361.7952268,1628272799999
1628272800000,33.989,34.387,33.075,33.494,7532.3965476,1628294399999
1628294400000,33.478,34.041,33.001,33.623,2732.75311225,1628315999999
1628316000000,33.62,34.493,33.012,34.103,10854.11112456,1628337599999
1628337600000,34.052,34.324,31.769,32.279,15055.86989015,1628359199999
1628359200000,32.252,33.599,32.086,33.599,5941.95016452,1628380799999
1628380800000,33.531,33.531,32.249,32.968,2146.26044319,1628402399999
1628402400000,32.981,33.503,32.501,32.501,5475.63331925,1628423999999
1628424000000,32.5,32.984,31.509,31.61,8074.64588858,1628445599999
1628445600000,31.56,32.695,31.283,32.001,3379.84475923,1628467199999
1628467200000,32.043,32.264,30.962,31.696,629.89180835,1628488799999
1628488800000,31.9,33.44,31.448,33.39,5702.75679662,1628510399999
1628510400000,33.351,34.011,33.001,33.7,3923.60088682,1628531999999
1628532000000,33.7,33.954,32.366,32.987,3168.26792694,1628553599999
1628553600000,32.903,34.532,32.683,33.725,1752.34756536,1628575199999
1628575200000,33.734,34.927,33.52,34.72,6174.14146039,1628596799999
1628596800000,34.925,35.604,33.437,34.086,7685.98896042,1628618399999
1628618400000,34.133,35.311,34.0,34.736,6108.39527705,1628639999999
1628640000000,34.821,36.32,34.821,36.029,3426.16872661,1628661599999
1628661600000,36.076,37.943,35.668,36.386,7965.8281956,1628683199999
1628683200000,36.419,38.0,35.0,36.517,7858.11696809,1628704799999
1628704800000,36.604,37.264,35.297,35.536,6297.19351688,1628726399999
1628726400000,35.481,36.9,34.336,34.841,2980.49049826,1628747999999
1628748000000,34.555,35.766,34.298,34.731,5447.44574925,1628769599999
1628769600000,34.656,35.107,33.52,34.634,7531.69737605,1628791199999
1628791200000,34.781,35.345,33.787,35.021,8235.79161717,1628812799999
1628812800000,35.011,36.9,34.965,36.375,2166.69645214,1628834399999
1628834400000,36.307,38.0,34.463,37.055,9810.47680099,1628855999999
1628856000000,37.226,37.715,36.215,37.099,5237.29722282,1628877599999
1628877600000,37.041,38.0,36.686,37.999,3460.00976096,1628899199999
1628899200000,37.845,37.845,36.989,37.5,2496.21551824,1628920799999
1628920800000,37.461,38.05,36.296,37.174,7569.51231262,1628942399999
1628942400000,37.219,37.499,36.594,37.194,3259.40511003,1628963999999
1628964000000,37.083,37.537,36.497,37.444,2934.85164345,1628985599999
1628985600000,37.432,38.679,37.268,38.323,2468.76340695,1629007199999
1629007200000,38.333,40.077,36.772,39.72,7977.10501435,1629028799999
1629028800000,39.705,44.962,39.065,44.005,28778.3441821,1629050399999
1629050400000,43.896,47.039,42.103,45.446,37011.56014721,1629071999999
1629072000000,45.412,54.961,44.318,52.637,37159.79716469,1629093599999
1629093600000,52.633,58.4,46.0,52.529,54285.28032734,1629115199999
1629115200000,52.482,59.09,51.65,55.926,114667.58426189,1629136799999
1629136800000,55.761,56.764,51.618,52.798,46676.98809764,1629158399999
1629158400000,52.628,63.469,52.0,59.189,33080.45763879,1629179999999
1629180000000,59.203,63.94,58.226,59.813,63016.47203492,1629201599999
1629201600000,59.72,62.0,54.1,56.859,48409.81825283,1629223199999
1629223200000,56.744,63.2,48.915,54.785,79119.33303451,1629244799999
