openTime,open,high,low,close,volume,closeTime
1754712000000,0.1439,0.1458,0.1439,0.14562,23993.59176,1754719199999
1754719200000,0.1461,0.14866,0.14398,0.14533,77958.86896,1754726399999
1754726400000,0.14398,0.14533,0.14398,0.14489,15437.87242,1754733599999
1754733600000,0.14445,0.14523,0.144,0.144,1911.17129,1754740799999
1754740800000,0.14269,0.14364,0.14259,0.14317,24003.41827,1754747999999
1754748000000,0.14233,0.14397,0.14232,0.14315,14067.21332,1754755199999
1754755200000,0.14314,0.14367,0.14314,0.14348,1061.97442,1754762399999
1754762400000,0.14201,0.14235,0.13659,0.13872,69918.32919,1754769599999
1754769600000,0.13708,0.13804,0.13422,0.13735,98714.50042,1754776799999
1754776800000,0.13753,0.13789,0.1375,0.13785,9771.72914,1754783999999
1754784000000,0.13802,0.13845,0.1368,0.13826,25252.41744,1754791199999
1754791200000,0.1375,0.1375,0.1375,0.1375,15960.0,1754798399999
1754798400000,0.13845,0.13912,0.13845,0.13874,64618.79084,1754805599999
1754805600000,0.1379,0.1386,0.13569,0.13569,61385.28581,1754812799999
1754812800000,0.13536,0.13879,0.13469,0.13738,14128.51361,1754819999999
1754820000000,0.13819,0.13819,0.13614,0.13614,72144.30068,1754827199999
1754827200000,0.13676,0.13747,0.13615,0.13747,1439.09505,1754834399999
1754834400000,0.1383,0.13932,0.137,0.13726,25304.58426,1754841599999
1754841600000,0.136,0.13686,0.1355,0.13676,49046.45552,1754848799999
1754848800000,0.13662,0.13722,0.13509,0.13509,17331.48816,1754855999999
1754856000000,0.13606,0.13608,0.13259,0.13266,10503.04833,1754863199999
1754863200000,0.13135,0.13375,0.13135,0.13375,21191.36304,1754870399999
1754870400000,0.13296,0.13448,0.13296,0.13448,9389.54532,1754877599999
1754877600000,0.13386,0.13386,0.13316,0.13316,2992.30073,1754884799999
1754884800000,0.13343,0.13363,0.13232,0.13232,18509.4936,1754891999999
1754892000000,0.13127,0.13408,0.13103,0.134,273966.54852,1754899199999
1754899200000,0.13355,0.13355,0.13074,0.13074,39141.58308,1754906399999
1754906400000,0.13148,0.1326,0.129,0.12962,47809.21052,1754913599999
1754913600000,0.12946,0.12993,0.12845,0.12929,26613.91732,1754920799999
1754920800000,0.12967,0.13408,0.12905,0.12944,44037.69818,1754927999999
1754928000000,0.13009,0.1301,0.12833,0.12937,94714.25234,1754935199999
1754935200000,0.12851,0.12994,0.12824,0.12897,119127.47517,1754942399999
1754942400000,0.12855,0.12979,0.12709,0.12709,96843.90344,1754949599999
1754949600000,0.12818,0.12844,0.12539,0.12585,5147.28155,1754956799999
1754956800000,0.12791,0.12807,0.12791,0.12806,12990.70771,1754963999999
1754964000000,0.12728,0.12839,0.12728,0.12839,929.9897,1754971199999
1754971200000,0.12997,0.13027,0.12926,0.13,4664.83137,1754978399999
1754978400000,0.13068,0.13247,0.13,0.13247,39490.91903,1754985599999
1754985600000,0.1344,0.1344,0.12837,0.12837,75463.81156,1754992799999
1754992800000,0.128,0.128,0.12219,0.12269,102220.53851,1754999999999
1755000000000,0.122,0.12245,0.12117,0.12245,21835.2109,1755007199999
1755007200000,0.12629,0.12641,0.12625,0.12641,5420.07637,1755014399999
1755014400000,0.123,0.1245,0.123,0.12401,2055.3182,1755021599999
1755021600000,0.12412,0.12775,0.12412,0.12556,176331.51643,1755028799999
1755028800000,0.12602,0.12675,0.12457,0.12457,30634.49554,1755035999999
1755036000000,0.12357,0.12472,0.11998,0.12118,125400.52232,1755043199999
1755043200000,0.121,0.12241,0.11984,0.11984,11469.7335,1755050399999
1755050400000,0.11983,0.11994,0.11983,0.11994,2526.05021,1755057599999
1755057600000,0.12245,0.12271,0.12173,0.12208,130778.9165,1755064799999
1755064800000,0.12172,0.12334,0.1207,0.12258,120320.53348,1755071999999
1755072000000,0.1224,0.1248,0.12234,0.1242,28066.65611,1755079199999
1755079200000,0.12402,0.12545,0.11948,0.12153,67420.64592,1755086399999
1755086400000,0.12201,0.12627,0.12107,0.12309,219700.06644,1755093599999
1755093600000,0.12246,0.12362,0.12161,0.12297,30404.79916,1755100799999
1755100800000,0.12281,0.12386,0.12,0.12206,35816.7321,1755107999999
1755108000000,0.12181,0.12181,0.11743,0.11899,48297.87737,1755115199999
1755115200000,0.1196,0.122,0.11887,0.11998,74746.87035,1755122399999
1755122400000,0.11998,0.1224,0.11998,0.1224,20962.81115,1755129599999
1755129600000,0.12158,0.12158,0.12062,0.12062,6122.38832,1755136799999
1755136800000,0.12207,0.12301,0.12207,0.12301,10815.22138,1755143999999
1755144000000,0.1229,0.1229,0.12155,0.12155,3844.18128,1755151199999
1755151200000,0.12018,0.12197,0.1201,0.1201,2892.86248,1755158399999
1755158400000,0.11951,0.1203,0.11876,0.11944,65447.53836,1755165599999
1755165600000,0.12,0.12035,0.1175,0.1175,22881.14697,1755172799999
1755172800000,0.11776,0.11873,0.113,0.11873,16193.37542,1755179999999
1755180000000,0.11672,0.11672,0.11425,0.11491,27020.36144,1755187199999
1755187200000,0.1147,0.1151,0.11301,0.11388,42436.59907,1755194399999
1755194400000,0.11407,0.11427,0.11301,0.11301,14165.19131,1755201599999
1755201600000,0.1123,0.11389,0.1113,0.1113,9641.91434,1755208799999
1755208800000,0.11306,0.11306,0.11288,0.11288,91.61454,1755215999999
1755216000000,0.11277,0.11277,0.11277,0.11277,81.0,1755223199999
1755223200000,0.11316,0.11316,0.11306,0.11306,16457.82991,1755230399999
1755237600000,0.11508,0.11508,0.11467,0.11467,7689.87726,1755244799999
1755252000000,0.11939,0.11959,0.11448,0.11448,25636.29405,1755259199999
1755259200000,0.11445,0.11593,0.11445,0.11458,3683.39914,1755266399999
1755266400000,0.11215,0.11244,0.11005,0.11005,116393.04182,1755273599999
1755273600000,0.11,0.11045,0.10776,0.11041,57622.32763,1755280799999
