openTime,open,high,low,close,volume,closeTime
1764835200000,3.2557,3.2557,3.2346,3.241,16.92587431,1764849599999
1764849600000,3.193,3.193,3.193,3.193,1.57140307,1764863999999
1764864000000,3.1194,3.1305,3.1194,3.1305,1048.78085529,1764878399999
1764878400000,3.1768,3.1768,3.1768,3.1768,284.007,1764892799999
1764892800000,3.167,3.1687,3.15,3.15,316.3586656,1764907199999
1764921600000,3.145,3.145,3.093,3.1189,1229.80484382,1764935999999
1764936000000,3.0992,3.0992,3.096,3.096,3.37394929,1764950399999
1764950400000,3.041,3.041,2.9737,2.9737,350.26293402,1764964799999
1764964800000,2.9954,2.9987,2.9843,2.9951,200.32817352,1764979199999
1764993600000,2.9933,2.9933,2.9793,2.9793,20.0,1765007999999
1765051200000,3.0781,3.0781,3.0576,3.0576,8.17531183,1765065599999
1765080000000,3.0439,3.0439,3.0412,3.0412,65.6787503,1765094399999
1765094400000,3.0169,3.0199,3.0169,3.0199,146.4923533,1765108799999
1765108800000,2.9103,2.9103,2.8962,2.8962,1067.59803528,1765123199999
1765123200000,3.041,3.041,3.0398,3.0398,1738.11794803,1765137599999
1765137600000,2.9082,2.9535,2.9082,2.9535,3661.63563334,1765151999999
1765152000000,3.0265,3.038,3.0256,3.038,1029.51591996,1765166399999
1765166400000,3.0408,3.064,3.0395,3.064,831.603,1765180799999
1765180800000,3.1151,3.1192,3.1104,3.1104,131.37238527,1765195199999
1765209600000,3.0595,3.0755,3.0558,3.0669,200.25802614,1765223999999
1765224000000,3.0566,3.0857,3.0566,3.0857,147.5985483,1765238399999
1765238400000,3.0828,3.0828,3.0636,3.0636,4.23407292,1765252799999
1765252800000,3.0465,3.0465,3.0465,3.0465,1.0,1765267199999
1765267200000,3.0712,3.0712,3.0685,3.0685,4.5053,1765281599999
1765281600000,3.0792,3.2065,3.0792,3.2065,4906.11813715,1765295999999
1765296000000,3.2474,3.3527,3.2474,3.3362,452.33522842,1765310399999
1765324800000,3.2081,3.2081,3.2081,3.2081,3.10775848,1765339199999
1765339200000,3.1672,3.1672,3.1672,3.1672,1.57140307,1765353599999
1765353600000,3.1605,3.1977,3.1479,3.1977,266.21966058,1765367999999
1765368000000,3.149,3.1683,3.1457,3.1683,1307.91682887,1765382399999
1765382400000,3.2354,3.2354,3.2354,3.2354,4.03041356,1765396799999
1765396800000,3.2621,3.2621,3.2621,3.2621,1315.72,1765411199999
1765411200000,3.041,3.041,3.041,3.041,1.97204867,1765425599999
1765425600000,2.9554,2.9575,2.9554,2.9575,33.72995773,1765439999999
1765440000000,2.9294,2.9294,2.9294,2.9294,3.87292356,1765454399999
1765454400000,2.9531,2.9531,2.9435,2.9435,2262.18286441,1765468799999
1765468800000,2.9135,2.9227,2.8962,2.9227,107.77023893,1765483199999
1765483200000,3.041,3.1513,3.041,3.1372,1983.09007564,1765497599999
1765512000000,3.072,3.0849,3.0691,3.0849,319.55840612,1765526399999
1765526400000,3.0633,3.1494,3.0633,3.1494,3578.0450117,1765540799999
1765540800000,3.1095,3.1351,2.9696,2.9696,5931.80301942,1765555199999
1765555200000,2.9161,2.9269,2.885,2.9193,217.88908321,1765569599999
1765569600000,2.9599,2.9634,2.9599,2.9634,29.25220032,1765583999999
1765598400000,2.9918,2.9918,2.9918,2.9918,0.32633763,1765612799999
1765612800000,3.041,3.041,3.0196,3.0196,1764.80075417,1765627199999
1765627200000,3.0409,3.0409,3.0057,3.0057,159.33997173,1765641599999
1765641600000,3.0431,3.045,3.0431,3.045,498.15993431,1765655999999
1765684800000,2.9898,2.9898,2.9898,2.9898,0.04102012,1765699199999
1765713600000,2.9793,2.9937,2.9482,2.9482,1589.16393103,1765727999999
1765728000000,2.9319,2.9319,2.9319,2.9319,0.01234646,1765742399999
1765742400000,2.8962,2.9,2.8962,2.9,345.69243906,1765756799999
1765756800000,2.981,2.981,2.981,2.981,4.42746512,1765771199999
1765785600000,2.9947,3.0026,2.9883,2.9975,218.10563584,1765799999999
1765800000000,2.981,2.981,2.8051,2.8175,6051.14335234,1765814399999
1765814400000,2.79,2.79,2.7051,2.7325,422.04394674,1765828799999
1765843200000,2.72,2.72,2.72,2.72,4.0,1765857599999
1765857600000,2.7357,2.7357,2.7357,2.7357,3.47335,1765871999999
1765872000000,2.7332,2.8199,2.7332,2.8121,294.40317992,1765886399999
1765886400000,2.7774,2.7774,2.7774,2.7774,4.224E-4,1765900799999
1765900800000,2.8196,2.8196,2.8132,2.8154,10.03812578,1765915199999
1765929600000,2.8076,2.8609,2.8076,2.8247,14667.44741204,1765943999999
1765972800000,2.811,2.8629,2.811,2.8629,2061.13415389,1765987199999
1765987200000,2.6589,2.6589,2.5995,2.5995,853.82630825,1766001599999
1766001600000,2.621,2.621,2.621,2.621,38.05799313,1766015999999
1766044800000,2.6147,2.6147,2.6147,2.6147,131.83528768,1766059199999
1766059200000,2.6198,2.7583,2.6198,2.7583,63.03085438,1766073599999
1766073600000,2.5018,2.5018,2.5,2.5,13.17109881,1766087999999
1766088000000,2.556,2.6205,2.5277,2.5733,1967.50926503,1766102399999
1766102400000,2.561,2.674,2.561,2.674,1425.43630347,1766116799999
1766116800000,2.7144,2.7556,2.7144,2.7556,1292.96185513,1766131199999
1766131200000,2.6993,2.6993,2.6993,2.6993,3.7,1766145599999
1766145600000,2.7583,2.9829,2.7583,2.9336,3328.72642323,1766159999999
1766160000000,2.9591,3.2889,2.9524,3.1829,48274.44557048,1766174399999
1766174400000,3.2365,3.317,3.2021,3.2541,22624.83909318,1766188799999
1766188800000,3.2749,3.2827,3.1904,3.2739,22749.32714109,1766203199999
1766203200000,3.2665,3.4162,3.2619,3.3346,32267.2263625,1766217599999
1766217600000,3.3453,3.3768,3.3014,3.343,13137.38240554,1766231999999
1766232000000,3.3588,3.3896,3.3136,3.3629,11270.28388233,1766246399999
1766246400000,3.3677,3.3763,3.3,3.3009,8218.39031207,1766260799999
