openTime,open,high,low,close,volume,closeTime
1649232000000,1.195,1.2204,1.1717,1.205,26188.66807775,1649260799999
1649260800000,1.2099,1.2176,1.1495,1.1495,14505.0625615,1649289599999
1649289600000,1.1487,1.1876,1.1356,1.1823,8586.74608073,1649318399999
1649318400000,1.1804,1.196,1.16,1.1627,8447.01987215,1649347199999
1649347200000,1.1711,1.2027,1.165,1.2002,2639.38904456,1649375999999
1649376000000,1.2005,1.2069,1.1818,1.1831,11745.69478498,1649404799999
1649404800000,1.1887,1.1937,1.1359,1.1793,2691.00263706,1649433599999
1649433600000,1.1737,1.1744,1.128,1.128,3848.32630399,1649462399999
1649462400000,1.1393,1.1634,1.1386,1.1628,1511.8211118,1649491199999
1649491200000,1.1617,1.2526,1.1515,1.1563,94712.98178706,1649519999999
1649520000000,1.1575,1.1785,1.1536,1.1715,1305.00949922,1649548799999
1649548800000,1.1737,1.1737,1.153,1.1578,5721.87672975,1649577599999
1649577600000,1.1587,1.1587,1.1423,1.1475,3357.74035196,1649606399999
1649606400000,1.1456,1.1764,1.1186,1.1251,2499.3881308,1649635199999
1649635200000,1.1352,1.1353,1.1088,1.1107,1403.02668311,1649663999999
1649664000000,1.1073,1.1073,1.0119,1.0533,3511.86330243,1649692799999
1649692800000,1.0553,1.0564,1.0096,1.0355,2736.5201266,1649721599999
1649721600000,1.0504,1.0681,1.0466,1.0579,1316.14586713,1649750399999
1649750400000,1.0612,1.0844,1.058,1.065,3099.63865538,1649779199999
1649779200000,1.0649,1.0706,1.0419,1.0705,2865.14609428,1649807999999
1649808000000,1.0687,1.0866,1.0687,1.0789,1289.99166074,1649836799999
1649836800000,1.0857,1.1261,1.0686,1.119,8086.61990777,1649865599999
1649865600000,1.12,1.1302,1.1034,1.1111,4987.66659935,1649894399999
1649894400000,1.1123,1.1547,1.1123,1.1547,1227.02044675,1649923199999
1649923200000,1.1576,1.1663,1.0945,1.0945,5004.97934187,1649951999999
1649952000000,1.0852,1.0947,1.0785,1.0947,1165.97182162,1649980799999
1649980800000,1.0855,1.1109,1.0855,1.0914,201.62155183,1650009599999
1650009600000,1.092,1.0958,1.0849,1.0955,1857.39094323,1650038399999
1650038400000,1.0892,1.0961,1.0863,1.0938,2480.03810191,1650067199999
1650067200000,1.0944,1.0948,1.087,1.0891,256.13403489,1650095999999
1650096000000,1.0868,1.0868,1.0476,1.0687,816.79467203,1650124799999
1650124800000,1.0662,1.0894,1.0662,1.0894,2998.56382522,1650153599999
1650153600000,1.0807,1.0807,1.0736,1.0743,2527.71181777,1650182399999
1650182400000,1.081,1.0832,1.0766,1.0801,408.34152764,1650211199999
1650211200000,1.0794,1.088,1.0794,1.0794,11562.96249437,1650239999999
1650240000000,1.0358,1.2068,1.004,1.1097,139741.36433475,1650268799999
1650268800000,1.1153,1.1807,1.0833,1.0931,269008.00711099,1650297599999
1650297600000,1.0931,1.1327,1.0774,1.1194,67322.97077412,1650326399999
1650326400000,1.1325,1.1439,1.1085,1.132,23767.22071877,1650355199999
1650355200000,1.1271,1.1458,1.1143,1.1321,41739.80514145,1650383999999
1650384000000,1.1334,1.1334,1.1242,1.1308,24402.02080554,1650412799999
1650412800000,1.1213,1.1221,1.1042,1.1115,17951.3488328,1650441599999
1650441600000,1.1144,1.1311,1.0822,1.0877,61013.29919254,1650470399999
