openTime,open,high,low,close,volume,closeTime
1733400000000,2.3203,2.3993,2.225,2.3482,838654.03014862,1733443199999
1733443200000,2.3573,2.497,2.3131,2.3462,234493.86048133,1733486399999
1733486400000,2.3424,2.3665,2.2308,2.3267,166316.87208862,1733529599999
1733529600000,2.3168,2.4098,2.29,2.3388,87137.22096313,1733572799999
1733572800000,2.34,2.4336,2.3245,2.3953,77759.77989236,1733615999999
1733616000000,2.3833,2.4241,2.314,2.3775,87571.22397244,1733659199999
1733659200000,2.365,2.375,2.2957,2.3428,36877.4934517,1733702399999
1733702400000,2.3376,2.3378,2.0843,2.0865,37917.51968335,1733745599999
1733745600000,2.0814,2.1368,1.4673,1.7513,318506.07818123,1733788799999
1733788800000,1.7495,1.7807,1.6032,1.677,186857.35033926,1733831999999
1733832000000,1.6769,1.6831,1.4648,1.5776,195028.99771699,1733875199999
1733875200000,1.5788,1.744,1.55,1.7083,204241.37983306,1733918399999
1733918400000,1.7156,1.8334,1.6794,1.769,313038.37326759,1733961599999
1733961600000,1.7739,1.9421,1.7119,1.7204,205513.7556155,1734004799999
1734004800000,1.7403,1.8149,1.6529,1.6907,130755.45424727,1734047999999
1734048000000,1.7196,1.7589,1.6765,1.7381,44549.84144632,1734091199999
1734091200000,1.7407,1.7407,1.66,1.6982,33762.03715423,1734134399999
1734134400000,1.6931,1.7455,1.6775,1.7121,26409.8679599,1734177599999
1734177600000,1.7023,1.7023,1.5646,1.6133,66615.69329619,1734220799999
1734220800000,1.6039,1.6141,1.5676,1.6023,7877.06801839,1734263999999
1734264000000,1.6033,1.6553,1.5633,1.6359,42548.33101214,1734307199999
1734307200000,1.6375,1.6706,1.5085,1.519,62817.66219257,1734350399999
1734350400000,1.511,1.5846,1.4945,1.531,58412.02891907,1734393599999
1734393600000,1.5166,1.5399,1.4749,1.5372,19301.40026968,1734436799999
1734436800000,1.53,1.5704,1.3909,1.4124,42064.85192717,1734479999999
