openTime,open,high,low,close,volume,closeTime
1754114400000,1.0313,1.0318,1.0274,1.0274,1337.23525755,1754135999999
1754136000000,1.0274,1.0274,0.99984,0.99984,27036.03829289,1754157599999
1754157600000,1.0016,1.0142,0.99462,1.012,1139.61014061,1754179199999
1754179200000,1.0222,1.0252,1.0222,1.0241,472.2268191,1754200799999
1754200800000,1.0268,1.0393,1.0268,1.0393,6835.1787434,1754222399999
1754222400000,1.0348,1.0348,1.0348,1.0348,214.21573211,1754243999999
1754244000000,1.0427,1.0454,1.0427,1.0454,20.16196527,1754265599999
1754265600000,1.0556,1.0556,1.0397,1.0397,2768.8352752,1754287199999
1754287200000,1.0419,1.0468,1.0382,1.0382,1190.72832445,1754308799999
1754308800000,1.0591,1.0694,1.0549,1.0629,1128.32413626,1754330399999
1754330400000,1.0624,1.0749,1.0537,1.0749,688.09034664,1754351999999
1754352000000,1.0717,1.072,1.058,1.0669,1639.17609148,1754373599999
1754373600000,1.0648,1.065,1.0456,1.055,1248.0368173,1754395199999
1754395200000,1.06,1.0614,1.023,1.03,6444.13801137,1754416799999
1754416800000,1.0324,1.0335,1.0121,1.0329,14872.57947533,1754438399999
1754438400000,1.0309,1.0309,1.0045,1.0045,2369.5611365,1754459999999
1754460000000,1.0246,1.033,1.0246,1.0282,40673.99210821,1754481599999
1754481600000,1.0294,1.0417,1.0211,1.0415,17159.88669913,1754503199999
1754503200000,1.0426,1.0491,1.0426,1.0477,5814.15311015,1754524799999
1754524800000,1.0455,1.0578,1.0455,1.0578,6989.13095394,1754546399999
1754546400000,1.0591,1.1592,1.0555,1.1069,172366.1690498,1754567999999
1754568000000,1.1059,1.1059,1.0723,1.073,11977.88176305,1754589599999
1754589600000,1.0765,1.0892,1.071,1.0892,44616.40182055,1754611199999
1754611200000,1.0851,1.0917,1.0851,1.0878,6055.43054211,1754632799999
1754632800000,1.0848,1.1077,1.0848,1.0962,34210.0265326,1754654399999
1754654400000,1.0932,1.1072,1.0896,1.0902,6056.95233061,1754675999999
1754676000000,1.1024,1.1212,1.1024,1.1131,4245.1160392,1754697599999
1754697600000,1.11,1.1376,1.11,1.1376,416.0919179,1754719199999
1754719200000,1.1296,1.1385,1.1296,1.1385,1700.58332201,1754740799999
1754740800000,1.1435,1.1478,1.1336,1.1405,13003.43802856,1754762399999
1754762400000,1.1412,1.1558,1.14,1.1412,16538.47562107,1754783999999
1754784000000,1.1588,1.1624,1.1385,1.154,27053.37455591,1754805599999
1754805600000,1.155,1.1604,1.1075,1.1157,32200.20148476,1754827199999
1754827200000,1.123,1.1353,1.1145,1.1353,30763.99614022,1754848799999
1754848800000,1.1426,1.1447,1.1343,1.1375,30869.90831704,1754870399999
1754870400000,1.1439,1.1614,1.1439,1.1515,33253.78035778,1754891999999
1754892000000,1.1515,1.1552,1.105,1.105,16987.9032278,1754913599999
1754913600000,1.1024,1.1181,1.0865,1.1117,27950.96502045,1754935199999
1754935200000,1.105,1.1134,1.0777,1.0777,1629.02770266,1754956799999
1754956800000,1.0998,1.0998,1.0899,1.0899,69.18963948,1754978399999
1754978400000,1.0899,1.1646,1.0899,1.1532,20367.76203889,1754999999999
1755000000000,1.14,1.3431,1.1152,1.1807,459562.48441607,1755021599999
1755021600000,1.179,1.1957,1.1345,1.1364,117726.3164707,1755043199999
1755043200000,1.1415,1.1449,1.125,1.1405,18700.02280458,1755064799999
1755064800000,1.1355,1.1702,1.1307,1.1645,64134.15721326,1755086399999
1755086400000,1.1584,1.1822,1.1432,1.1505,41404.37738919,1755107999999
1755108000000,1.15,1.1588,1.1397,1.1588,2425.88216124,1755129599999
1755129600000,1.1651,1.1726,1.1571,1.1636,5874.930421,1755151199999
1755151200000,1.1593,1.1593,1.126,1.126,18553.61281662,1755172799999
