openTime,open,high,low,close,volume,closeTime
1734523200000,2.6115,2.7831,2.44,2.4518,200803.32013216,1734566399999
1734566400000,2.445,2.623,2.2618,2.5916,102922.89159551,1734609599999
1734609600000,2.5835,2.618,2.0338,2.2019,71262.1158982,1734652799999
1734652800000,2.2025,2.262,1.9249,1.9777,127910.96553133,1734695999999
1734696000000,1.9719,2.738,1.9719,2.7194,195943.19131414,1734739199999
1734739200000,2.7128,2.7416,2.5571,2.6062,125912.15882881,1734782399999
1734782400000,2.5966,2.627,2.3636,2.3914,64940.68033802,1734825599999
1734825600000,2.3835,2.4629,2.2897,2.3553,19239.58076966,1734868799999
1734868800000,2.3696,2.389,2.1468,2.2359,61925.38623781,1734911999999
1734912000000,2.2303,2.6103,2.1689,2.5856,64691.87792971,1734955199999
1734955200000,2.5859,2.9606,2.39,2.9185,283094.88217109,1734998399999
1734998400000,2.9108,3.1025,2.8525,3.0462,210935.5446018,1735041599999
1735041600000,3.0215,3.126,2.8989,2.8989,173439.51536333,1735084799999
1735084800000,2.9222,3.0604,2.7863,3.0222,53667.82698746,1735127999999
1735128000000,3.0285,3.1655,2.9585,3.0548,90529.13914498,1735171199999
1735171200000,3.0516,3.1672,2.7621,2.8719,123230.44636061,1735214399999
1735214400000,2.8464,2.9,2.7129,2.9,137563.9564224,1735257599999
1735257600000,2.9048,3.1622,2.83,3.1622,67478.03930468,1735300799999
1735300800000,3.1632,3.5221,3.1611,3.4065,375324.15439703,1735343999999
1735344000000,3.4198,3.4276,3.2531,3.2722,93315.57470668,1735387199999
1735387200000,3.2858,3.3884,3.112,3.2614,110997.95904695,1735430399999
1735430400000,3.2566,3.6252,3.2243,3.5154,95420.07080132,1735473599999
1735473600000,3.5087,3.595,3.362,3.4574,165942.13308116,1735516799999
1735516800000,3.4536,3.5181,3.3006,3.4036,73804.53576732,1735559999999
1735560000000,3.4047,3.5138,3.1349,3.3626,132678.68249889,1735603199999
1735603200000,3.3243,3.6558,3.275,3.5676,79614.59330476,1735646399999
1735646400000,3.569,3.9923,3.569,3.7701,232745.7246683,1735689599999
1735689600000,3.7816,3.975,3.75,3.787,65033.38132372,1735732799999
1735732800000,3.7837,4.5178,3.6949,4.4752,322844.38066837,1735775999999
1735776000000,4.466,4.9534,4.2092,4.51,482690.6858379,1735819199999
1735819200000,4.5107,4.7152,4.297,4.4493,220130.415302,1735862399999
1735862400000,4.4371,4.516,3.9871,4.1489,247875.1175395,1735905599999
1735905600000,4.1493,4.3399,4.0745,4.1567,227644.69442885,1735948799999
1735948800000,4.1539,4.2041,3.9701,4.1076,130001.45405076,1735991999999
1735992000000,4.0922,4.4324,4.0922,4.2893,156742.4851352,1736035199999
1736035200000,4.258,4.2913,4.0023,4.016,121152.41180845,1736078399999
1736078400000,4.019,4.0774,3.7705,3.8908,229131.25297327,1736121599999
1736121600000,3.8961,4.1191,3.8673,3.9759,86883.83800355,1736164799999
1736164800000,3.9712,4.3091,3.7,3.7287,259321.39679563,1736207999999
1736208000000,3.7226,3.8417,3.6476,3.6857,105546.25865416,1736251199999
1736251200000,3.6911,3.9488,3.5112,3.5889,217179.2977847,1736294399999
1736294400000,3.5965,3.604,3.3465,3.3713,77704.24291794,1736337599999
1736337600000,3.3899,3.5785,3.1259,3.4835,299226.57648503,1736380799999
1736380800000,3.4854,3.4998,3.1233,3.2127,104513.7329531,1736423999999
1736424000000,3.1916,3.2696,3.005,3.0377,188562.79098832,1736467199999
1736467200000,3.0461,3.4263,2.98,3.2278,134548.49812871,1736510399999
1736510400000,3.2202,3.2471,2.8509,3.0849,279930.23186504,1736553599999
1736553600000,3.0891,3.0891,2.78,2.8945,131922.07884498,1736596799999
1736596800000,2.8869,3.0291,2.8416,2.9159,74000.14261393,1736639999999
1736640000000,2.9205,2.9247,2.7204,2.7499,52044.74878488,1736683199999
1736683200000,2.7525,2.7741,2.5961,2.6313,146005.91500956,1736726399999
1736726400000,2.6382,2.7351,2.1949,2.2007,183888.37573664,1736769599999
1736769600000,2.2006,2.6231,2.185,2.6034,385974.90621032,1736812799999
1736812800000,2.5947,2.7428,2.546,2.67,129298.37444573,1736855999999
1736856000000,2.6445,3.0455,2.5771,2.9134,456533.97635788,1736899199999
1736899200000,2.9245,2.9392,2.7101,2.9109,168054.52080909,1736942399999
1736942400000,2.9136,3.8874,2.8269,3.6707,1176604.96383579,1736985599999
1736985600000,3.668,3.7924,3.5236,3.6387,217636.91542598,1737028799999
1737028800000,3.6372,3.6372,3.2429,3.2429,358719.12731279,1737071999999
1737072000000,3.2543,3.4689,3.2486,3.3293,202415.37746132,1737115199999
1737115200000,3.3566,3.42,3.2022,3.2244,192149.3224596,1737158399999
1737158400000,3.2343,3.2451,2.7251,2.84,333471.07233169,1737201599999
1737201600000,2.8374,2.9764,2.73,2.973,235169.35718772,1737244799999
1737244800000,2.961,2.961,2.6691,2.7727,246594.55557699,1737287999999
1737288000000,2.7673,2.9821,2.489,2.5067,616004.49451667,1737331199999
1737331200000,2.5112,2.8217,2.4,2.623,282829.95030937,1737374399999
1737374400000,2.6231,2.6473,2.32,2.5996,321470.04079084,1737417599999
1737417600000,2.5924,2.6087,2.3399,2.4926,164873.85464409,1737460799999
1737460800000,2.5006,2.7599,2.3832,2.6162,246292.80850568,1737503999999
1737504000000,2.6006,2.9369,2.6006,2.8949,222246.48299226,1737547199999
1737547200000,2.8967,3.0168,2.6381,2.645,436228.28144211,1737590399999
1737590400000,2.6388,2.6669,2.4695,2.5207,137352.54900899,1737633599999
1737633600000,2.5146,2.6565,2.42,2.485,219680.09826738,1737676799999
1737676800000,2.4817,2.5624,2.3742,2.5449,77324.1788854,1737719999999
1737720000000,2.5562,2.5578,2.32,2.32,114582.81398458,1737763199999
1737763200000,2.3169,2.5298,2.2345,2.5118,178153.91393167,1737806399999
1737806400000,2.5116,2.5118,2.32,2.3253,95514.71009135,1737849599999
1737849600000,2.3309,2.4242,2.3254,2.3909,47466.35524109,1737892799999
1737892800000,2.391,2.3911,2.15,2.1526,220833.99521696,1737935999999
1737936000000,2.1534,2.1705,1.7995,1.8822,364650.66955112,1737979199999
1737979200000,1.8831,2.1494,1.8766,2.041,438138.58125971,1738022399999
1738022400000,2.0535,2.0843,1.8961,1.9298,212686.65340985,1738065599999
1738065600000,1.9219,1.9325,1.7512,1.7961,254082.9922744,1738108799999
1738108800000,1.7939,1.964,1.7939,1.925,88699.02741675,1738151999999
1738152000000,1.915,2.0514,1.8146,1.8671,172190.29273307,1738195199999
1738195200000,1.8499,2.0321,1.812,2.0247,87337.14299116,1738238399999
1738238400000,2.0363,2.0502,1.9287,1.937,105452.19465507,1738281599999
1738281600000,1.936,2.6,1.9104,2.1531,1647071.73397831,1738324799999
1738324800000,2.1525,2.2585,1.881,1.9045,402251.67194326,1738367999999
1738368000000,1.8962,2.0077,1.819,1.8545,194081.99797268,1738411199999
1738411200000,1.851,1.8718,1.529,1.5476,352858.58808495,1738454399999
1738454400000,1.5485,1.6188,1.4993,1.5384,196818.94437301,1738497599999
1738497600000,1.5416,1.5703,1.3117,1.4071,569950.53670007,1738540799999
1738540800000,1.4085,1.4222,1.03,1.3445,877594.93216583,1738583999999
1738584000000,1.3517,1.5597,1.2911,1.5366,458200.4373282,1738627199999
1738627200000,1.5274,1.5274,1.355,1.4429,178789.2407134,1738670399999
1738670400000,1.4388,1.575,1.357,1.3874,235103.63390185,1738713599999
1738713600000,1.3951,1.4386,1.3373,1.4306,160263.44945276,1738756799999
1738756800000,1.4306,1.4779,1.2272,1.2467,462548.41905291,1738799999999
1738800000000,1.266,1.3068,1.223,1.2435,145032.9851667,1738843199999
1738843200000,1.2437,1.2588,1.0649,1.1111,604864.49711614,1738886399999
1738886400000,1.1265,1.2151,1.1265,1.1836,107925.79075037,1738929599999
1738929600000,1.1837,1.3234,1.0779,1.111,412634.51339812,1738972799999
1738972800000,1.1085,1.1551,1.106,1.15,104299.23585391,1739015999999
1739016000000,1.1542,1.2297,1.1418,1.2068,171493.08350733,1739059199999
1739059200000,1.218,1.24,1.1324,1.1362,97995.37767155,1739102399999
1739102400000,1.1364,1.1406,1.0448,1.1002,241120.06234923,1739145599999
1739145600000,1.105,1.1804,1.0493,1.1604,224630.50320547,1739188799999
1739188800000,1.158,1.2364,1.133,1.1543,294593.12934697,1739231999999
1739232000000,1.1624,1.4124,1.1591,1.3205,1033022.33551052,1739275199999
1739275200000,1.3203,1.3865,1.2094,1.2815,310389.91943253,1739318399999
1739318400000,1.2781,1.3401,1.2318,1.2827,139918.46567593,1739361599999
1739361600000,1.2905,1.3575,1.1447,1.3275,402428.23971431,1739404799999
1739404800000,1.3078,1.3702,1.2447,1.249,188012.58525044,1739447999999
