openTime,open,high,low,close,volume,closeTime
1775570400000,0.048851,0.048851,0.048449,0.048449,4675.119123,1775577599999
1775577600000,0.048736,0.049384,0.048736,0.049234,16441.720063,1775584799999
1775584800000,0.049038,0.049131,0.049038,0.049131,2864.1,1775591999999
1775592000000,0.049229,0.049229,0.048979,0.049183,9910.188106,1775599199999
1775599200000,0.049429,0.049693,0.049429,0.049693,7432.050217,1775606399999
1775606400000,0.050415,0.050415,0.050045,0.050045,8918.961125,1775613599999
1775613600000,0.050099,0.050099,0.050099,0.050099,1432.05,1775620799999
1775620800000,0.050054,0.050054,0.050044,0.050044,3046.088106,1775627999999
1775628000000,0.050216,0.050276,0.050216,0.050276,11854.132658,1775635199999
1775635200000,0.050437,0.050437,0.050126,0.050126,4415.139787,1775642399999
1775642400000,0.05,0.05,0.049996,0.049996,56648.302726,1775649599999
1775656800000,0.04976,0.04976,0.049069,0.049642,172037.840906,1775663999999
1775664000000,0.049677,0.050049,0.049677,0.049907,16651.136389,1775671199999
1775671200000,0.049919,0.049919,0.049919,0.049919,1432.05,1775678399999
1775678400000,0.049375,0.049375,0.049375,0.049375,1500.0,1775685599999
1775685600000,0.049243,0.049243,0.049243,0.049243,1500.0,1775692799999
1775692800000,0.04882,0.048898,0.048737,0.048737,4296.15,1775699999999
1775700000000,0.048961,0.04935,0.048961,0.049173,16930.299788,1775707199999
1775707200000,0.048943,0.048967,0.048943,0.048967,11482.039598,1775714399999
1775714400000,0.049107,0.049114,0.049088,0.049106,61942.441394,1775721599999
1775721600000,0.049321,0.049532,0.049151,0.049151,59522.474665,1775728799999
1775728800000,0.049216,0.049216,0.049057,0.049057,3573.586952,1775735999999
1775736000000,0.048554,0.048726,0.048317,0.048317,25393.327448,1775743199999
1775743200000,0.048131,0.048853,0.048131,0.048784,8659.029466,1775750399999
1775750400000,0.048924,0.048924,0.048504,0.048504,3894.942817,1775757599999
1775757600000,0.048325,0.048373,0.048325,0.048373,11469.124606,1775764799999
1775764800000,0.048531,0.048687,0.048531,0.048687,3480.851528,1775771999999
1775772000000,0.048948,0.048948,0.048794,0.048794,4000.0,1775779199999
1775779200000,0.048232,0.048232,0.048232,0.048232,2000.0,1775786399999
1775786400000,0.048385,0.048422,0.048204,0.048204,23432.05,1775793599999
1775793600000,0.048116,0.048116,0.048109,0.048109,7500.0,1775800799999
1775800800000,0.048216,0.048216,0.048216,0.048216,1432.05,1775807999999
1775808000000,0.047998,0.047998,0.047629,0.0478,8136.772234,1775815199999
1775815200000,0.04754,0.047763,0.047408,0.047763,64074.665741,1775822399999
1775822400000,0.047613,0.047613,0.047613,0.047613,2100.266733,1775829599999
1775829600000,0.047577,0.047895,0.047361,0.04789,34040.905453,1775836799999
1775836800000,0.048143,0.048143,0.048143,0.048143,0.008906,1775843999999
1775844000000,0.047958,0.049468,0.047958,0.049356,151405.809862,1775851199999
1775851200000,0.049005,0.049152,0.049,0.049152,2267.962776,1775858399999
1775865600000,0.04874,0.04874,0.048415,0.048415,2580.843261,1775872799999
1775880000000,0.048167,0.048167,0.048167,0.048167,1432.05,1775887199999
1775887200000,0.047841,0.048118,0.047841,0.048118,2665.669625,1775894399999
1775901600000,0.047866,0.047866,0.047866,0.047866,9913.675673,1775908799999
1775908800000,0.047598,0.047598,0.047475,0.047475,1706.221183,1775915999999
1775916000000,0.047736,0.047881,0.047736,0.047881,167080.806349,1775923199999
1775923200000,0.047554,0.047554,0.047484,0.047484,3226.972857,1775930399999
1775937600000,0.047937,0.048017,0.047937,0.048016,4040.323758,1775944799999
1775944800000,0.048195,0.048195,0.047787,0.047787,13421.694276,1775951999999
1775952000000,0.048117,0.04814,0.04672,0.046791,346355.259938,1775959199999
1775959200000,0.046987,0.04699,0.044546,0.04539,481166.338914,1775966399999
1775966400000,0.045104,0.045174,0.044692,0.045054,99757.40041,1775973599999
1775973600000,0.045124,0.04522,0.045054,0.045054,354665.005595,1775980799999
1775980800000,0.045274,0.045274,0.045132,0.045132,2203.030436,1775987999999
1775988000000,0.045242,0.045279,0.044711,0.044938,121415.035895,1775995199999
1775995200000,0.044906,0.044906,0.044551,0.044551,7230.923914,1776002399999
1776002400000,0.044577,0.044577,0.044392,0.044392,74510.443016,1776009599999
1776009600000,0.04447,0.044595,0.04434,0.044595,8330.853023,1776016799999
1776016800000,0.045052,0.045052,0.045052,0.045052,2500.0,1776023999999
1776024000000,0.045046,0.045151,0.045046,0.04509,11939.758037,1776031199999
1776031200000,0.044938,0.044938,0.044694,0.044694,221931.731352,1776038399999
1776038400000,0.045355,0.045518,0.045112,0.045518,76222.549188,1776045599999
1776045600000,0.045769,0.045769,0.0453,0.045307,216371.7253,1776052799999
1776052800000,0.045198,0.045331,0.044843,0.044843,176282.566032,1776059999999
1776060000000,0.045127,0.04529,0.044804,0.04519,76796.050011,1776067199999
1776067200000,0.044834,0.045599,0.044789,0.04555,435307.219021,1776074399999
1776074400000,0.045789,0.046623,0.045789,0.046466,33295.687183,1776081599999
1776081600000,0.046469,0.051378,0.046466,0.049602,3149164.159698,1776088799999
1776088800000,0.049097,0.049608,0.047903,0.048773,695144.823271,1776095999999
1776096000000,0.048787,0.050514,0.048787,0.049703,288120.591521,1776103199999
1776103200000,0.050413,0.052201,0.050047,0.050463,1241015.409022,1776110399999
1776110400000,0.050762,0.051027,0.049535,0.049535,368519.597749,1776117599999
1776117600000,0.049531,0.050541,0.04923,0.050378,375472.515654,1776124799999
1776124800000,0.050188,0.051331,0.0497,0.050082,249430.967091,1776131999999
1776132000000,0.049966,0.050127,0.049612,0.049867,71101.359048,1776139199999
1776139200000,0.049607,0.049607,0.048709,0.048836,165937.132694,1776146399999
1776146400000,0.049151,0.049809,0.048504,0.049126,206508.858593,1776153599999
1776153600000,0.04893,0.04893,0.048661,0.048792,82545.765654,1776160799999
1776160800000,0.048371,0.048372,0.048265,0.048265,70619.259823,1776167999999
1776168000000,0.048318,0.048668,0.048318,0.048668,197911.494306,1776175199999
1776175200000,0.048474,0.048714,0.048035,0.048035,21977.127434,1776182399999
1776182400000,0.047924,0.047924,0.047502,0.047502,18209.403508,1776189599999
1776189600000,0.047304,0.047326,0.047304,0.047326,68723.834414,1776196799999
1776196800000,0.047374,0.047374,0.046912,0.047054,14387.999191,1776203999999
1776204000000,0.047366,0.047397,0.047196,0.047196,238691.889495,1776211199999
1776211200000,0.047728,0.049258,0.047728,0.049258,210410.695988,1776218399999
1776218400000,0.04913,0.049751,0.04913,0.049459,121205.790664,1776225599999
1776225600000,0.049767,0.050709,0.049767,0.050549,22471.276299,1776232799999
1776232800000,0.050536,0.05457,0.050536,0.05444,712531.667218,1776239999999
