openTime,open,high,low,close,volume,closeTime
1690459200000,1.9678,1.9983,1.9585,1.9911,153186.31116782,1690473599999
1690473600000,1.9911,1.9986,1.887,1.9249,528114.27782942,1690487999999
1690488000000,1.9191,1.9331,1.9,1.9117,142575.66506004,1690502399999
1690502400000,1.9049,1.9419,1.8698,1.9119,55292.95546259,1690516799999
1690516800000,1.9129,1.9735,1.8973,1.9566,119592.23582397,1690531199999
1690531200000,1.9545,2.0421,1.9545,2.0132,321724.77540398,1690545599999
1690545600000,2.0132,2.014,1.9419,1.9661,243163.72692016,1690559999999
1690560000000,1.9655,1.9924,1.9455,1.9712,75936.71542464,1690574399999
1690574400000,1.9774,2.033,1.9713,2.0168,171260.81566492,1690588799999
1690588800000,2.005,2.1261,1.9756,2.08,157956.72391418,1690603199999
1690603200000,2.073,2.1182,2.0316,2.055,157982.96962847,1690617599999
1690617600000,2.0559,2.1254,2.0432,2.0677,215962.50189649,1690631999999
1690632000000,2.0677,2.1188,2.0622,2.0759,353563.70506561,1690646399999
1690646400000,2.0783,2.16,2.0667,2.142,269658.78695124,1690660799999
1690660800000,2.144,2.1477,2.1179,2.1277,165682.8695373,1690675199999
1690675200000,2.1224,2.2636,2.1211,2.1975,272020.52957513,1690689599999
1690689600000,2.1926,2.2197,2.159,2.1757,211058.8868932,1690703999999
1690704000000,2.1753,2.1999,2.1264,2.15,204619.20987841,1690718399999
1690718400000,2.149,2.1544,2.0759,2.0933,148601.73251615,1690732799999
1690732800000,2.0957,2.1045,2.0348,2.0428,156862.01819759,1690747199999
1690747200000,2.039,2.1,2.0173,2.0697,116198.12228161,1690761599999
1690761600000,2.0786,2.1294,2.0719,2.0794,79749.57521685,1690775999999
1690776000000,2.0831,2.0957,2.0419,2.0464,91725.08450252,1690790399999
1690790400000,2.0469,2.0968,2.0378,2.0946,60588.61994149,1690804799999
1690804800000,2.0953,2.1377,2.0624,2.0962,152581.95151334,1690819199999
1690819200000,2.0947,2.1527,2.0899,2.093,142157.41007375,1690833599999
1690833600000,2.0979,2.1137,2.0718,2.1042,66799.93827829,1690847999999
1690848000000,2.1101,2.1312,2.02,2.0628,57614.67051796,1690862399999
1690862400000,2.0591,2.1388,2.0579,2.118,114268.20736497,1690876799999
1690876800000,2.1191,2.128,2.0873,2.0902,84207.23517834,1690891199999
1690891200000,2.0922,2.13,2.0729,2.0991,73194.58292059,1690905599999
1690905600000,2.1061,2.2176,2.0933,2.1811,130837.56019954,1690919999999
1690920000000,2.1844,2.2262,2.1671,2.198,294085.31566614,1690934399999
1690934400000,2.2088,2.235,2.156,2.1576,42330.29267989,1690948799999
1690948800000,2.1611,2.1791,2.15,2.1583,57139.77334961,1690963199999
1690963200000,2.1606,2.2023,2.1301,2.2007,224884.92174461,1690977599999
1690977600000,2.2017,2.3124,2.1826,2.2669,401230.08714108,1690991999999
1690992000000,2.2623,2.297,2.1548,2.1642,292662.16379697,1691006399999
1691006400000,2.1615,2.182,2.1049,2.1568,161619.90905067,1691020799999
1691020800000,2.1513,2.169,2.1295,2.1308,43290.16623182,1691035199999
1691035200000,2.1315,2.1317,2.085,2.1045,66441.50833263,1691049599999
1691049600000,2.0973,2.122,2.097,2.1118,39103.42550701,1691063999999
1691064000000,2.1143,2.125,2.09,2.1048,99485.71331762,1691078399999
1691078400000,2.1003,2.1077,2.0612,2.0976,144106.65292082,1691092799999
1691092800000,2.102,2.1469,2.0989,2.1189,109139.82335714,1691107199999
1691107200000,2.1261,2.1282,2.0844,2.0872,8202.68938358,1691121599999
1691121600000,2.0847,2.0883,2.0628,2.0765,46039.99029024,1691135999999
1691136000000,2.0764,2.0849,2.0612,2.0749,52035.55847474,1691150399999
1691150400000,2.0732,2.0936,2.0544,2.0688,63979.4954012,1691164799999
1691164800000,2.0653,2.0685,1.9512,1.9546,154446.82166941,1691179199999
1691179200000,1.9566,1.981,1.9531,1.9712,122697.35994058,1691193599999
1691193600000,1.974,1.9798,1.9526,1.9591,23465.57304142,1691207999999
1691208000000,1.9656,1.9656,1.9112,1.9353,67540.41112719,1691222399999
1691222400000,1.9356,1.9616,1.9296,1.9515,43569.99052716,1691236799999
1691236800000,1.9506,1.9506,1.9,1.9317,83020.81181552,1691251199999
1691251200000,1.9304,1.9478,1.9166,1.9183,36306.41411401,1691265599999
1691265600000,1.9189,1.938,1.9068,1.9362,14061.08958647,1691279999999
1691280000000,1.9352,1.9616,1.9182,1.9384,23035.42023063,1691294399999
1691294400000,1.938,1.9441,1.8801,1.8993,54652.10770311,1691308799999
1691308800000,1.9025,1.9159,1.8561,1.8671,56469.4501207,1691323199999
1691323200000,1.8682,1.8712,1.8297,1.8297,89733.73859431,1691337599999
1691337600000,1.831,1.87,1.83,1.8558,73767.24900864,1691351999999
1691352000000,1.8574,1.8631,1.8411,1.856,25371.61714976,1691366399999
1691366400000,1.8608,1.9065,1.8608,1.8694,9363.46339117,1691380799999
1691380800000,1.8708,1.8729,1.8399,1.8575,23820.15478031,1691395199999
1691395200000,1.8598,1.8926,1.849,1.8818,39833.76837526,1691409599999
1691409600000,1.8899,1.8977,1.8346,1.8848,34337.81416703,1691423999999
1691424000000,1.8829,1.8961,1.8364,1.8515,66989.12526932,1691438399999
1691438400000,1.855,1.8612,1.8363,1.8525,20339.63301113,1691452799999
1691452800000,1.8476,1.8559,1.7397,1.7745,63482.60245795,1691467199999
1691467200000,1.7745,1.7746,1.7401,1.7497,21757.5722057,1691481599999
1691481600000,1.7507,1.7658,1.74,1.7628,77908.85255335,1691495999999
1691496000000,1.7555,1.7883,1.7526,1.766,61340.17548774,1691510399999
1691510400000,1.7631,1.8168,1.7567,1.7649,131593.94982664,1691524799999
1691524800000,1.7689,1.7945,1.7646,1.7646,33169.95482482,1691539199999
1691539200000,1.7696,1.7845,1.753,1.7608,14652.46858018,1691553599999
1691553600000,1.7579,1.7678,1.7436,1.7528,12652.99659462,1691567999999
1691568000000,1.7554,1.7724,1.7343,1.7697,30491.72969308,1691582399999
1691582400000,1.7673,1.7744,1.7262,1.7464,13346.96023135,1691596799999
1691596800000,1.7414,1.7448,1.6794,1.6888,95460.75745198,1691611199999
1691611200000,1.6889,1.6958,1.6493,1.6686,57212.66666225,1691625599999
1691625600000,1.6656,1.6859,1.6586,1.6704,8696.4588801,1691639999999
1691640000000,1.6733,1.678,1.65,1.65,34414.19360923,1691654399999
1691654400000,1.653,1.6551,1.5795,1.5828,67733.30415897,1691668799999
1691668800000,1.5886,1.5931,1.5242,1.5578,181188.73631165,1691683199999
1691683200000,1.555,1.5635,1.5147,1.5494,59081.78350786,1691697599999
1691697600000,1.55,1.5557,1.5281,1.5294,46421.20965015,1691711999999
1691712000000,1.5318,1.594,1.5054,1.5879,55018.59737551,1691726399999
1691726400000,1.5806,1.5882,1.5336,1.5375,103777.38380734,1691740799999
1691740800000,1.5443,1.5647,1.526,1.5564,41644.32685894,1691755199999
1691755200000,1.5523,1.5663,1.535,1.5359,23075.19045386,1691769599999
1691769600000,1.535,1.6314,1.5343,1.6142,146880.44511498,1691783999999
1691784000000,1.6145,1.6148,1.5795,1.5924,44148.32290174,1691798399999
1691798400000,1.5916,1.5964,1.574,1.5792,14822.28391617,1691812799999
1691812800000,1.5856,1.6378,1.5856,1.6183,37425.338345,1691827199999
1691827200000,1.6193,1.6493,1.6028,1.6472,53701.53000108,1691841599999
1691841600000,1.6464,1.6625,1.6041,1.619,44703.32370398,1691855999999
1691856000000,1.6153,1.6326,1.592,1.6048,45240.06368722,1691870399999
