openTime,open,high,low,close,volume,closeTime
1716163200000,0.741,1.199,0.741,0.845,106133.17,1716767999999
1716768000000,0.848,0.869,0.755,0.85,135918.45,1717372799999
1717372800000,0.84,0.981,0.755,0.769,147112.4,1717977599999
1717977600000,0.765,0.768,0.617,0.705,178441.51,1718582399999
1718582400000,0.705,0.706,0.521,0.53,196589.98,1719187199999
1719187200000,0.531,0.619,0.45,0.494,165936.48,1719791999999
1719792000000,0.499,0.499,0.318,0.349,226624.31,1720396799999
1720396800000,0.35,0.408,0.325,0.366,200351.71,1721001599999
1721001600000,0.379,0.465,0.373,0.444,281160.9,1721606399999
1721606400000,0.448,0.471,0.383,0.412,391827.85,1722211199999
1722211200000,0.417,0.436,0.255,0.28,395336.67,1722815999999
1722816000000,0.266,0.301,0.209,0.269,202653.54,1723420799999
1723420800000,0.27,0.314,0.262,0.264,107933.43,1724025599999
1724025600000,0.265,0.277,0.25,0.277,78505.69,1724381999999
