openTime,open,high,low,close,volume,closeTime
1620604800000,70.762,249.0,70.0,77.334,147343.335,1621209599999
1621209600000,77.521,78.776,32.492,42.346,515971.911,1621814399999
1621814400000,42.805,68.399,40.23,54.408,433491.429,1622419199999
1622419200000,54.376,59.72,50.659,52.785,266346.203,1623023999999
1623024000000,52.735,53.627,40.591,48.521,170785.585,1623628799999
1623628800000,48.752,50.5,39.771,43.042,89834.384,1624233599999
1624233600000,43.103,43.297,27.12,35.443,301994.048,1624838399999
1624838400000,35.488,52.594,34.446,47.367,467666.241,1625443199999
1625443200000,47.484,48.038,39.339,41.841,164550.051,1626047999999
1626048000000,41.875,42.755,34.31,35.955,148279.768,1626652799999
1626652800000,35.785,44.257,32.455,41.438,185249.238,1627257599999
1627257600000,41.438,47.684,39.301,42.911,185613.571,1627862399999
1627862400000,42.887,54.458,41.251,49.322,178243.082,1628467199999
1628467200000,49.364,66.057,47.506,64.247,199526.727,1629071999999
1629072000000,64.33,64.911,51.8,58.131,136140.179,1629676799999
1629676800000,58.033,59.466,50.7,54.23,107070.373,1630281599999
1630281600000,54.21,62.57,52.06,62.29,105761.494,1630886399999
1630886400000,62.19,65.43,41.5,49.6,165930.665,1631491199999
1631491200000,49.61,51.13,45.9,47.24,50865.77,1632095999999
1632096000000,47.37,47.37,37.93,40.47,64013.769,1632700799999
1632700800000,40.39,47.56,38.45,46.1,61219.71,1633305599999
1633305600000,46.02,49.27,43.45,45.8,53491.91,1633910399999
1633910400000,45.68,48.95,43.44,45.67,45101.15,1634515199999
1634515200000,45.78,51.42,44.6,47.37,65635.01,1635119999999
1635120000000,47.15,50.99,36.69,47.18,124828.99,1635724799999
1635724800000,47.18,49.37,44.08,47.0,52285.61,1636329599999
1636329600000,47.13,56.47,45.81,49.32,98991.94,1636934399999
1636934400000,49.43,49.71,41.33,44.89,43135.78,1637539199999
1637539200000,44.63,47.65,39.48,42.15,51574.83,1638143999999
1638144000000,42.16,43.95,24.6,34.17,84762.117,1638748799999
1638748800000,34.2,37.1,31.12,33.56,73239.3,1639353599999
1639353600000,33.57,33.71,29.47,30.99,38718.89,1639958399999
1639958400000,30.89,34.33,29.73,33.58,39097.57,1640563199999
1640563200000,33.61,34.21,29.39,31.19,32806.35,1641167999999
1641168000000,31.08,31.21,25.1,26.31,38549.66,1641772799999
