openTime,open,high,low,close,volume,closeTime
1728864000000,1.053,4.06,0.55,1.242,9.19324789E7,1729468799999
1729468800000,1.241,1.57,0.912,1.112,9.211174676E7,1730073599999
1730073600000,1.112,1.239,0.971,1.003,4.779064379E7,1730678399999
1730678400000,1.004,1.265,0.919,1.192,5.006321838E7,1731283199999
1731283200000,1.192,1.274,0.972,1.022,7.9410345E7,1731887999999
1731888000000,1.022,1.588,1.0,1.363,1.4605173327E8,1732492799999
1732492800000,1.364,1.79,1.258,1.611,1.0495986448E8,1733097599999
1733097600000,1.611,2.645,1.54,2.162,1.2917540185E8,1733702399999
1733702400000,2.162,2.35,1.471,1.968,9.355585125E7,1734307199999
1734307200000,1.969,2.144,1.291,1.338,1.4703242815E8,1734911999999
1734912000000,1.338,1.576,1.279,1.302,9.848667063E7,1735516799999
1735516800000,1.301,1.509,1.241,1.464,3.609075194E7,1736121599999
1736121600000,1.465,1.498,1.101,1.117,3.811977279E7,1736726399999
1736726400000,1.117,1.248,0.962,0.988,4.377567878E7,1737331199999
1737331200000,0.987,1.086,0.85,0.871,4.056871649E7,1737935999999
1737936000000,0.87,0.95,0.624,0.67,3.252547991E7,1738540799999
1738540800000,0.67,0.688,0.479,0.576,5.375211745E7,1739145599999
1739145600000,0.577,0.656,0.532,0.556,7.149379282E7,1739750399999
1739750400000,0.556,0.561,0.449,0.5,6.223152922E7,1740355199999
1740355200000,0.5,0.5,0.377,0.47,6.062558428E7,1740959999999
1740960000000,0.47,0.471,0.353,0.418,4.180717768E7,1741564799999
1741564800000,0.418,0.48,0.404,0.43,3.26153666E7,1742169599999
1742169600000,0.429,0.525,0.428,0.5,2.768048879E7,1742774399999
1742774400000,0.498,0.515,0.405,0.409,1.986000724E7,1743379199999
1743379200000,0.409,0.414,0.26,0.267,4.583794064E7,1743983999999
1743984000000,0.266,0.312,0.241,0.292,2.824770357E7,1744588799999
1744588800000,0.291,0.306,0.223,0.299,3.592421626E7,1745193599999
1745193600000,0.298,0.427,0.296,0.333,7.113200019E7,1745798399999
1745798400000,0.334,0.35,0.266,0.292,4.001336944E7,1746403199999
1746403200000,0.291,0.408,0.265,0.384,1.3864357274E8,1747007999999
1747008000000,0.383,0.462,0.317,0.355,9.980075754E7,1747612799999
1747612800000,0.356,0.4,0.312,0.336,4.27828026E7,1748217599999
1748217600000,0.335,0.373,0.261,0.289,4.48563479E7,1748822399999
1748822400000,0.289,0.31,0.252,0.262,2.935285925E7,1749427199999
1749427200000,0.261,0.31,0.231,0.249,3.661410564E7,1750031999999
1750032000000,0.249,0.268,0.194,0.205,3.260130471E7,1750636799999
1750636800000,0.205,0.242,0.205,0.24,2.365098511E7,1751241599999
1751241600000,0.239,0.248,0.207,0.214,2.696988143E7,1751846399999
1751846400000,0.215,0.446,0.21,0.307,1.7197662338E8,1752451199999
1752451200000,0.306,0.366,0.282,0.346,6.444275826E7,1753055999999
1753056000000,0.346,0.389,0.298,0.37,7.0557016E7,1753660799999
1753660800000,0.369,0.385,0.27,0.287,3.653959351E7,1754265599999
1754265600000,0.287,0.361,0.273,0.346,4.718032025E7,1754870399999
1754870400000,0.346,0.377,0.301,0.328,5.877015349E7,1755475199999
1755475200000,0.328,0.344,0.286,0.311,4.478852598E7,1756079999999
1756080000000,0.312,0.325,0.272,0.309,3.138768483E7,1756684799999
1756684800000,0.308,0.318,0.287,0.313,2.181565149E7,1757289599999
1757289600000,0.313,0.353,0.311,0.333,2.649400644E7,1757894399999
1757894400000,0.333,0.354,0.308,0.324,2.587387764E7,1758499199999
1758499200000,0.324,0.325,0.268,0.291,2.399441617E7,1759103999999
1759104000000,0.291,0.312,0.27,0.284,2.227253676E7,1759708799999
1759708800000,0.283,0.298,0.047,0.169,5.44582987E7,1760313599999
1760313600000,0.169,0.19,0.143,0.154,4.623148166E7,1760918399999
1760918400000,0.154,0.16,0.134,0.144,3.676500104E7,1761523199999
1761523200000,0.144,0.17,0.116,0.14,1.8714031018E8,1762127999999
1762128000000,0.141,0.249,0.122,0.17,1.4331365644E8,1762732799999
1762732800000,0.17,0.174,0.132,0.141,3.261832725E7,1763337599999
1763337600000,0.14,0.163,0.125,0.131,4.266864199E7,1763942399999
1763942400000,0.13,0.139,0.124,0.124,2.025031664E7,1764547199999
1764547200000,0.125,0.129,0.114,0.12,2.004233938E7,1765151999999
1765152000000,0.12,0.129,0.107,0.11,2.067233838E7,1765756799999
1765756800000,0.11,0.113,0.093,0.096,3.15627557E7,1766361599999
1766361600000,0.096,0.138,0.095,0.109,1.585299372E8,1766966399999
1766966400000,0.108,0.131,0.107,0.126,1.1660423696E8,1767571199999
1767571200000,0.126,0.142,0.121,0.127,8.626890478E7,1768175999999
1768176000000,0.127,0.147,0.117,0.121,1.0969298182E8,1768780799999
1768780800000,0.12,0.121,0.093,0.098,4.768596491E7,1769385599999
1769385600000,0.098,0.104,0.072,0.0787,4.323402433E7,1769990399999
1769990400000,0.0786,0.0801,0.058,0.0648,5.316238928E7,1770595199999
1770595200000,0.0645,0.0702,0.0594,0.0668,5.127881481E7,1771199999999
1771200000000,0.0666,0.0734,0.0596,0.06,4.17690038E7,1771804799999
1771804800000,0.0601,0.0632,0.0549,0.0578,3.619683685E7,1772409599999
1772409600000,0.0579,0.0647,0.0574,0.0609,4.206139026E7,1773014399999
1773014400000,0.0609,0.077,0.0607,0.0672,9.571993699E7,1773619199999
1773619200000,0.0673,0.0759,0.0658,0.0731,4.664972939E7,1774223999999
1774224000000,0.0733,0.0803,0.0639,0.0642,6.313048347E7,1774828799999
1774828800000,0.0643,0.0771,0.0596,0.0734,7.064996143E7,1775433599999
1775433600000,0.0734,0.0848,0.0722,0.0793,4.604003698E7,1776038399999
1776038400000,0.0793,0.139,0.0787,0.1111,9.95562877E7,1776643199999
1776643200000,0.111,0.1629,0.104,0.1474,7.642716838E7,1777247999999
1777248000000,0.1471,0.2167,0.1194,0.1512,2.4433209038E8,1777852799999
1777852800000,0.1513,0.1593,0.1097,0.126,9.20160099E7,1778457599999
1778457600000,0.126,0.1282,0.0934,0.0972,4.800060437E7,1779062399999
1779062400000,0.0973,0.1165,0.0941,0.1066,5.067499874E7,1779667199999
1779667200000,0.1066,0.1123,0.0947,0.1053,3.837756422E7,1780271999999
1780272000000,0.1053,0.1063,0.0762,0.0834,4.129492773E7,1780876799999
1780876800000,0.0835,0.12,0.0757,0.0904,1.2854625315E8,1781481599999
1781481600000,0.0903,0.1346,0.0879,0.1114,1.1743785674E8,1782086399999
1782086400000,0.1114,0.1511,0.1096,0.114,1.4098611902E8,1782691199999
1782691200000,0.114,0.1355,0.1083,0.1313,3.817506061E7,1783295999999
1783296000000,0.1312,0.15,0.1176,0.1205,2.676060063E7,1783900799999
1783900800000,0.1205,0.1238,0.0664,0.0732,4.2465236058E8,1784505599999
1784505600000,0.0732,0.0782,0.0645,0.0672,1.5170737477E8,1785110399999
1785110400000,0.0671,0.0815,0.0659,0.0751,8.479681809E7,1785715199999
