openTime,open,high,low,close,volume,closeTime
1617062400000,15.7,19.3,14.02,15.902,20995.093,1617148799999
1617148800000,15.876,16.587,15.185,15.88,48998.187,1617235199999
1617235200000,15.986,16.207,15.269,15.656,31664.651,1617321599999
1617321600000,15.682,16.289,15.59,15.7,20462.058,1617407999999
1617408000000,15.7,15.958,15.3,15.403,16705.253,1617494399999
1617494400000,15.333,15.845,15.31,15.457,13495.762,1617580799999
1617580800000,15.504,15.6,14.59,14.787,24951.987,1617667199999
1617667200000,14.787,14.954,13.853,14.088,62868.714,1617753599999
1617753600000,14.146,14.146,12.5,13.07,46936.628,1617839999999
1617840000000,13.116,13.558,12.769,13.25,56540.27,1617926399999
1617926400000,13.275,14.3,13.1,13.17,62166.89,1618012799999
1618012800000,13.155,13.246,12.396,12.962,37168.298,1618099199999
1618099200000,12.946,13.04,12.55,12.702,23425.713,1618185599999
1618185600000,12.702,12.794,11.957,12.298,39110.818,1618271999999
1618272000000,12.298,14.2,12.298,13.074,89996.255,1618358399999
1618358400000,13.103,13.777,12.606,12.779,80454.932,1618444799999
1618444800000,12.8,14.61,12.54,14.058,93908.759,1618531199999
1618531200000,14.138,14.234,12.992,13.207,114313.854,1618617599999
1618617600000,13.195,13.594,12.7,12.806,120685.875,1618703999999
1618704000000,12.806,12.806,10.204,11.266,324676.987,1618790399999
1618790400000,11.274,13.7,11.081,11.559,402658.149,1618876799999
1618876800000,11.538,11.538,10.502,11.204,214889.36,1618963199999
1618963200000,11.17,12.042,10.964,11.032,215516.472,1619049599999
1619049600000,11.04,12.97,10.825,11.366,395076.084,1619135999999
1619136000000,11.346,11.932,10.62,11.689,477650.809,1619222399999
1619222400000,11.7,13.8,11.334,12.952,365924.156,1619308799999
1619308800000,12.997,15.798,12.935,14.693,480481.742,1619395199999
1619395200000,14.708,14.963,14.037,14.598,167138.73,1619481599999
1619481600000,14.609,16.27,14.257,14.657,246487.861,1619567999999
1619568000000,14.67,14.848,13.655,13.902,154218.098,1619654399999
1619654400000,13.902,14.057,13.103,13.441,117116.42,1619740799999
1619740800000,13.441,14.044,13.043,13.873,91081.076,1619827199999
1619827200000,13.87,13.964,13.583,13.747,44350.516,1619913599999
1619913600000,13.773,14.676,13.684,14.277,97558.202,1619999999999
1620000000000,14.277,15.976,14.199,14.34,217391.713,1620086399999
1620086400000,14.302,14.55,13.193,13.61,257287.962,1620172799999
1620172800000,13.58,14.64,13.571,14.187,110259.231,1620259199999
1620259200000,14.177,14.55,13.574,13.927,150718.107,1620345599999
1620345600000,13.927,14.069,13.629,13.649,84087.841,1620431999999
1620432000000,13.665,14.168,13.627,14.01,70130.848,1620518399999
1620518400000,13.983,14.462,13.78,14.004,73513.485,1620604799999
1620604800000,14.008,15.002,12.879,13.127,177244.56,1620691199999
1620691200000,13.118,13.596,12.611,13.472,134188.443,1620777599999
1620777600000,13.488,14.853,12.057,12.217,298949.192,1620863999999
1620864000000,12.211,14.142,11.442,13.219,442074.053,1620950399999
1620950400000,13.167,14.017,12.578,13.566,203762.194,1621036799999
1621036800000,13.563,13.724,12.517,12.577,193778.045,1621123199999
1621123200000,12.577,14.411,12.548,13.35,371635.208,1621209599999
1621209600000,13.369,13.369,11.973,12.35,323096.384,1621295999999
1621296000000,12.324,13.338,12.037,12.866,277655.077,1621382399999
1621382400000,12.884,13.078,7.26,7.844,952253.809,1621468799999
1621468800000,7.875,9.824,6.679,8.526,1028917.624,1621555199999
1621555200000,8.535,9.523,5.852,6.838,874468.095,1621641599999
1621641600000,6.796,6.894,5.381,5.432,822176.474,1621727999999
1621728000000,5.442,5.872,3.222,3.365,1568324.19,1621814399999
1621814400000,3.371,6.194,3.371,5.445,1985164.208,1621900799999
1621900800000,5.449,5.787,4.224,5.443,1531450.24,1621987199999
1621987200000,5.452,6.528,5.202,6.038,1138604.798,1622073599999
1622073600000,6.03,6.045,5.269,5.504,684699.433,1622159999999
1622160000000,5.492,5.644,4.3,4.862,885300.409,1622246399999
1622246400000,4.862,5.047,4.201,4.526,415699.353,1622332799999
1622332800000,4.518,5.434,4.21,5.098,629960.014,1622419199999
1622419200000,5.097,5.392,4.602,5.366,718068.196,1622505599999
1622505600000,5.34,5.46,4.981,5.16,488606.867,1622591999999
1622592000000,5.16,5.948,4.974,5.614,575235.193,1622678399999
1622678400000,5.593,6.499,5.482,6.333,852737.142,1622764799999
1622764800000,6.332,6.354,4.9,5.27,1280605.385,1622851199999
1622851200000,5.261,5.698,4.756,4.995,602130.154,1622937599999
1622937600000,4.978,5.226,4.973,5.146,256078.165,1623023999999
1623024000000,5.145,5.484,4.534,4.614,677311.337,1623110399999
1623110400000,4.598,4.779,4.023,4.609,696282.548,1623196799999
1623196800000,4.597,4.966,4.323,4.941,540728.876,1623283199999
1623283200000,4.942,5.315,4.578,5.059,675659.914,1623369599999
1623369600000,5.059,5.216,4.509,4.594,480608.889,1623455999999
1623456000000,4.584,4.872,4.275,4.543,485872.083,1623542399999
1623542400000,4.559,5.071,4.432,4.999,277850.727,1623628799999
1623628800000,4.999,5.228,4.808,5.119,314656.106,1623715199999
1623715200000,5.119,5.666,5.002,5.431,561777.517,1623801599999
1623801600000,5.419,5.425,4.925,5.155,328482.023,1623887999999
1623888000000,5.148,5.386,5.067,5.179,212887.959,1623974399999
1623974400000,5.173,5.538,4.799,5.036,460376.997,1624060799999
1624060800000,5.023,5.106,4.774,4.86,143539.447,1624147199999
1624147200000,4.838,4.985,4.555,4.945,225545.769,1624233599999
1624233600000,4.944,4.972,4.012,4.071,414444.88,1624319999999
1624320000000,4.068,4.6,3.817,3.954,692914.889,1624406399999
1624406400000,3.948,4.84,3.865,4.368,516938.687,1624492799999
1624492800000,4.353,4.706,4.193,4.585,239744.866,1624579199999
1624579200000,4.595,4.69,4.075,4.244,218040.188,1624665599999
1624665600000,4.267,4.431,4.116,4.36,126910.171,1624751999999
1624752000000,4.361,4.555,4.254,4.536,136691.469,1624838399999
1624838400000,4.551,4.766,4.37,4.648,181345.191,1624924799999
1624924800000,4.648,5.321,4.534,5.043,310247.277,1625011199999
1625011200000,5.06,5.632,4.776,5.548,387964.78,1625097599999
1625097600000,5.538,5.538,4.83,4.972,316051.62,1625183999999
1625184000000,4.972,5.143,4.661,4.823,155028.492,1625270399999
1625270400000,4.824,5.041,4.735,4.893,126518.959,1625356799999
1625356800000,4.88,5.29,4.772,5.025,195220.593,1625443199999
1625443200000,5.022,5.229,4.723,5.077,262278.15,1625529599999
1625529600000,5.079,5.567,5.042,5.53,407464.044,1625615999999
1625616000000,5.513,6.536,5.456,6.028,781241.304,1625702399999
1625702400000,6.026,6.096,5.422,5.662,526756.138,1625788799999
1625788800000,5.657,7.121,5.445,6.832,859994.736,1625875199999
1625875200000,6.826,7.244,6.289,6.662,470948.285,1625961599999
1625961600000,6.669,7.384,6.664,7.082,436184.913,1626047999999
1626048000000,7.073,7.216,6.375,6.645,326567.897,1626134399999
1626134400000,6.64,6.871,5.929,6.083,281030.937,1626220799999
1626220800000,6.088,6.383,5.614,5.949,593520.344,1626307199999
1626307200000,5.94,6.194,5.592,5.719,383294.777,1626393599999
1626393600000,5.727,6.003,5.317,5.589,576584.601,1626479999999
1626480000000,5.574,5.781,5.34,5.548,450503.338,1626566399999
1626566400000,5.542,5.908,5.53,5.541,307476.672,1626652799999
1626652800000,5.561,5.585,5.06,5.13,329673.344,1626739199999
1626739200000,5.111,5.192,4.804,5.05,420339.315,1626825599999
1626825600000,5.047,5.8,4.907,5.674,506949.428,1626911999999
1626912000000,5.676,6.429,5.643,6.302,621472.239,1626998399999
1626998400000,6.305,6.795,5.9,6.756,638276.941,1627084799999
1627084800000,6.756,7.3,6.443,7.248,587058.856,1627171199999
1627171200000,7.279,7.312,6.693,7.066,479719.897,1627257599999
1627257600000,7.063,8.312,7.009,7.243,883573.739,1627343999999
1627344000000,7.247,8.222,6.865,8.129,718406.356,1627430399999
1627430400000,8.116,9.5,7.802,9.365,717948.873,1627516799999
1627516800000,9.365,10.11,9.057,9.383,817424.23,1627603199999
1627603200000,9.392,9.439,8.555,9.176,552008.592,1627689599999
1627689600000,9.176,9.594,8.957,9.127,473456.363,1627775999999
1627776000000,9.132,10.394,8.949,10.217,624356.881,1627862399999
1627862400000,10.229,10.64,9.5,10.507,462281.81,1627948799999
1627948800000,10.493,12.673,9.933,12.574,992637.549,1628035199999
1628035200000,12.577,13.3,11.55,12.397,788783.431,1628121599999
1628121600000,12.401,12.888,11.768,12.428,537993.136,1628207999999
1628208000000,12.448,13.094,12.109,12.449,436664.517,1628294399999
1628294400000,12.443,13.509,12.004,12.601,556331.69,1628380799999
1628380800000,12.625,12.691,11.318,11.608,419567.833,1628467199999
1628467200000,11.607,12.379,11.184,12.018,456894.184,1628553599999
1628553600000,12.01,14.627,11.843,14.449,605504.016,1628639999999
1628640000000,14.453,15.649,14.276,14.711,448804.283,1628726399999
1628726400000,14.711,14.871,13.689,14.362,372929.247,1628812799999
1628812800000,14.393,15.244,14.351,15.236,301690.508,1628899199999
1628899200000,15.25,15.333,14.516,14.907,230314.353,1628985599999
1628985600000,14.919,16.853,14.2,16.52,350984.123,1629071999999
1629072000000,16.519,20.6,16.428,18.903,818207.898,1629158399999
1629158400000,18.92,23.218,18.0,21.909,952279.754,1629244799999
1629244800000,21.961,27.6,19.563,26.614,1151010.044,1629331199999
1629331200000,26.56,29.091,24.878,25.285,912736.824,1629417599999
1629417600000,25.285,26.863,24.463,26.221,631166.522,1629503999999
1629504000000,26.224,26.251,23.256,23.701,419062.265,1629590399999
1629590400000,23.686,24.77,22.79,24.067,385491.074,1629676799999
1629676800000,24.128,26.0,23.346,25.788,483538.998,1629763199999
1629763200000,25.799,29.763,25.456,25.582,985213.504,1629849599999
1629849600000,25.549,26.963,24.508,25.907,550099.432,1629935999999
1629936000000,25.899,25.899,22.427,23.32,601106.818,1630022399999
1630022400000,23.18,28.2,22.8,27.92,725768.606,1630108799999
1630108800000,27.92,30.6,26.0,29.96,676221.28,1630195199999
1630195200000,29.96,31.54,28.43,28.53,531265.348,1630281599999
1630281600000,28.52,30.84,27.54,28.71,692789.67,1630367999999
1630368000000,28.67,29.55,26.18,26.98,605258.48,1630454399999
1630454400000,26.97,27.83,26.15,27.03,435951.1,1630540799999
1630540800000,26.95,28.67,26.65,27.76,430514.37,1630627199999
1630627200000,27.76,28.63,26.21,26.92,406831.93,1630713599999
1630713600000,26.92,27.52,26.28,26.66,291736.57,1630799999999
1630800000000,26.66,29.9,26.42,29.17,518737.07,1630886399999
1630886400000,29.18,29.68,25.89,27.41,454958.15,1630972799999
1630972800000,27.45,27.67,19.59,24.05,672644.246,1631059199999
