openTime,open,high,low,close,volume,closeTime
1511136000000,36.0,46.0,34.7,35.582,30342.33,1511222399999
1511222400000,35.582,37.499,33.5,35.0,28677.569,1511308799999
1511308800000,35.0,37.3,34.5,35.005,6939.531,1511395199999
1511395200000,35.01,36.9,34.0,34.69,10110.575,1511481599999
1511481600000,34.69,36.101,33.09,34.5,8078.994,1511567999999
1511568000000,34.5,39.928,34.0,37.831,24200.524,1511654399999
1511654400000,37.831,38.9,37.1,37.81,10491.272,1511740799999
1511740800000,37.734,41.71,37.5,39.102,13232.16,1511827199999
1511827200000,39.92,40.52,37.25,37.611,15189.495,1511913599999
1511913600000,37.8,39.303,30.545,32.482,121051.885,1511999999999
1512000000000,32.649,35.224,29.104,32.438,164844.835,1512086399999
1512086400000,32.38,36.359,30.209,35.343,202687.005,1512172799999
1512172800000,35.452,36.586,34.0,35.046,133566.599,1512259199999
1512259200000,35.038,39.5,34.81,36.589,166575.583,1512345599999
1512345600000,36.667,43.186,36.576,41.808,190481.502,1512431999999
1512432000000,41.951,42.287,38.661,38.661,156520.441,1512518399999
1512518400000,38.661,38.991,33.382,34.634,170201.946,1512604799999
1512604800000,34.85,37.0,31.737,33.215,172820.395,1512691199999
1512691200000,33.216,37.012,31.3,35.594,198595.62,1512777599999
1512777600000,35.605,38.197,32.902,35.097,163032.75,1512863999999
1512864000000,35.131,35.219,31.0,32.598,186122.929,1512950399999
1512950400000,32.609,36.457,32.609,35.777,178419.091,1513036799999
1513036800000,35.753,39.8,34.95,38.836,226390.35,1513123199999
1513123200000,38.836,48.0,34.55,43.906,294829.464,1513209599999
1513209600000,44.28,52.9,43.0,50.273,172532.755,1513295999999
1513296000000,50.273,51.0,41.25,47.833,98502.202,1513382399999
1513382400000,47.978,51.749,46.45,49.116,78471.93,1513468799999
1513468800000,49.11,74.998,48.826,67.187,220183.422,1513555199999
1513555200000,67.187,81.474,60.0,77.038,153215.715,1513641599999
1513641600000,77.204,83.8,63.21,69.75,189528.411,1513727999999
1513728000000,69.59,80.0,56.0,76.879,202837.611,1513814399999
1513814400000,76.49,81.5,62.22,70.75,146532.971,1513900799999
1513900800000,70.506,71.685,42.0,55.365,364115.945,1513987199999
1513987200000,55.364,66.0,53.975,56.497,159410.55,1514073599999
1514073600000,55.222,58.498,48.65,58.34,142864.983,1514159999999
1514160000000,58.34,67.99,55.947,65.476,90735.532,1514246399999
1514246400000,65.5,67.738,61.08,65.231,88894.243,1514332799999
1514332800000,65.51,70.1,61.0,66.3,97680.051,1514419199999
1514419200000,66.299,66.922,56.0,64.48,125190.155,1514505599999
1514505600000,64.279,74.93,62.73,73.133,104557.455,1514591999999
1514592000000,73.333,74.244,60.0,70.783,149332.098,1514678399999
1514678400000,71.193,77.774,66.0,74.853,124362.869,1514764799999
1514764800000,74.854,80.0,71.05,78.299,81411.846,1514851199999
1514851200000,78.255,96.997,78.246,89.696,200642.887,1514937599999
1514937600000,89.6,104.885,85.3,103.505,157777.608,1515023999999
1515024000000,103.506,108.88,94.5,97.669,112336.601,1515110399999
1515110400000,97.669,106.997,88.0,95.134,136754.802,1515196799999
1515196800000,95.135,102.869,90.392,100.491,67541.119,1515283199999
1515283200000,100.092,109.0,97.0,103.096,51435.255,1515369599999
1515369600000,102.599,108.899,82.5,101.361,96541.847,1515455999999
1515456000000,101.262,131.0,100.879,126.7,163943.227,1515542399999
1515542400000,126.911,127.886,106.331,122.239,217513.907,1515628799999
1515628800000,122.871,125.0,91.1,107.701,172426.94,1515715199999
1515715200000,107.701,126.099,101.49,123.111,84911.316,1515801599999
1515801600000,123.111,149.98,119.0,139.777,114714.28,1515887999999
1515888000000,139.012,186.0,132.0,170.0,241962.311,1515974399999
1515974400000,170.0,198.6,143.39,189.382,404036.922,1516060799999
1516060800000,189.382,190.7,88.888,137.502,1191407.185,1516147199999
1516147200000,137.502,156.19,91.34,142.0,1578232.549,1516233599999
