openTime,open,high,low,close,volume,closeTime
1655078400000,0.466,0.528,0.382,0.483,264006.1,1655683199999
1655683200000,0.453,0.616,0.438,0.496,232883.99,1656287999999
1656288000000,0.513,0.586,0.485,0.509,75641.16,1656892799999
1656892800000,0.512,0.613,0.493,0.524,360695.4,1657497599999
1657497600000,0.524,0.605,0.416,0.574,268597.72,1658102399999
1658102400000,0.574,0.951,0.542,0.906,1629548.25,1658707199999
1658707200000,0.901,1.896,0.738,1.552,1052601.17,1659311999999
1659312000000,1.55,2.269,1.337,1.88,650869.95,1659916799999
1659916800000,1.87,2.039,1.31,1.408,567575.15,1660521599999
1660521600000,1.399,1.575,1.085,1.173,1101206.46,1661126399999
1661126400000,1.174,1.363,0.969,1.061,946453.44,1661731199999
1661731200000,1.06,1.305,1.048,1.178,516147.82,1662335999999
1662336000000,1.185,1.531,1.09,1.391,530502.57,1662940799999
1662940800000,1.385,1.42,0.923,0.943,246650.82,1663545599999
1663545600000,0.929,1.022,0.86,0.944,1840683.2,1664150399999
1664150400000,0.939,1.013,0.851,0.86,301877.26,1664755199999
1664755200000,0.854,0.897,0.847,0.871,169500.31,1665359999999
1665360000000,0.874,0.874,0.667,0.719,125765.86,1665964799999
1665964800000,0.709,0.894,0.651,0.853,651898.9,1666569599999
1666569600000,0.853,1.251,0.811,1.045,712488.09,1667174399999
1667174400000,1.06,1.487,0.96,1.291,882824.43,1667779199999
1667779200000,1.3,1.391,0.772,0.87,2895075.28,1668383999999
1668384000000,0.869,1.018,0.81,0.818,457135.95,1668988799999
1668988800000,0.81,0.959,0.725,0.861,1612063.53,1669593599999
1669593600000,0.861,1.222,0.691,1.014,2302178.93,1670198399999
1670198400000,1.009,1.079,0.949,0.97,655821.2,1670803199999
1670803200000,0.962,1.125,0.851,0.89,175855.95,1671407999999
1671408000000,0.899,0.94,0.823,0.875,119808.3,1672012799999
1672012800000,0.881,0.92,0.828,0.859,201833.76,1672617599999
1672617600000,0.858,1.2,0.846,1.181,289438.5,1673222399999
1673222400000,1.179,1.74,1.113,1.682,416670.58,1673827199999
1673827200000,1.694,2.3,1.458,2.015,291522.3,1674431999999
1674432000000,2.003,2.389,1.753,2.185,515610.43,1675036799999
1675036800000,2.183,2.962,1.874,2.736,366414.71,1675641599999
1675641600000,2.733,2.977,2.151,2.195,274534.94,1676246399999
1676246400000,2.186,2.809,1.94,2.409,224709.36,1676851199999
1676851200000,2.439,3.12,2.203,2.858,716132.34,1677455999999
1677456000000,2.854,2.932,2.126,2.302,346524.32,1678060799999
1678060800000,2.3,2.466,1.652,2.205,676293.16,1678665599999
1678665600000,2.203,2.757,2.088,2.55,734257.41,1679270399999
1679270400000,2.554,2.586,2.0,2.12,262291.83,1679875199999
1679875200000,2.099,2.154,1.871,2.044,161994.44,1680479999999
1680480000000,2.039,2.176,1.939,2.121,124000.15,1681084799999
1681084800000,2.101,2.582,1.998,2.462,876976.86,1681689599999
1681689600000,2.462,2.518,1.948,2.01,223852.34,1682294399999
1682294400000,2.007,2.139,1.88,1.972,122587.58,1682899199999
1682899200000,1.973,2.042,1.633,1.722,271406.56,1683503999999
1683504000000,1.706,1.74,1.362,1.508,305365.45,1684108799999
1684108800000,1.511,1.733,1.48,1.511,235593.34,1684713599999
1684713600000,1.517,1.594,1.444,1.533,175487.54,1685318399999
1685318400000,1.532,1.552,1.266,1.379,259553.14,1685923199999
1685923200000,1.388,1.454,0.814,1.026,449803.14,1686527999999
1686528000000,1.022,1.105,0.975,1.008,208497.71,1687132799999
1687132800000,1.008,1.372,1.001,1.225,387754.73,1687737599999
1687737600000,1.22,1.27,1.073,1.221,175329.1,1688342399999
1688342400000,1.223,1.263,1.08,1.112,121668.78,1688947199999
1688947200000,1.085,1.463,1.061,1.34,244801.38,1689551999999
1689552000000,1.333,1.492,1.261,1.426,245877.43,1690156799999
1690156800000,1.423,1.488,1.295,1.476,187120.82,1690761599999
1690761600000,1.474,1.613,1.421,1.578,255172.14,1691366399999
1691366400000,1.568,1.687,1.401,1.419,183356.55,1691971199999
1691971200000,1.42,1.457,1.133,1.371,260598.44,1692575999999
1692576000000,1.363,1.499,1.332,1.347,141312.66,1693180799999
1693180800000,1.345,1.418,1.197,1.245,100581.95,1693785599999
1693785600000,1.244,1.273,1.132,1.188,66640.59,1694390399999
1694390400000,1.19,1.349,1.137,1.289,91656.99,1694995199999
1694995200000,1.289,1.335,1.182,1.189,122203.1,1695599999999
1695600000000,1.182,1.345,1.165,1.336,93216.61,1696204799999
1696204800000,1.339,1.392,1.19,1.209,57247.01,1696809599999
1696809600000,1.214,1.222,1.102,1.15,64540.39,1697414399999
1697414400000,1.157,1.243,1.1,1.243,93491.99,1698019199999
1698019200000,1.246,1.402,1.202,1.337,124802.31,1698623999999
1698624000000,1.344,1.457,1.248,1.457,150292.71,1699228799999
1699228800000,1.437,1.734,1.297,1.696,129880.75,1699833599999
1699833600000,1.71,1.805,1.481,1.628,126054.48,1700438399999
1700438400000,1.625,1.72,1.449,1.657,96381.84,1701043199999
1701043200000,1.647,1.656,1.502,1.586,77257.23,1701647999999
1701648000000,1.583,2.142,1.551,2.024,369928.37,1702252799999
1702252800000,2.02,2.314,1.795,1.891,217327.53,1702857599999
1702857600000,1.917,3.482,1.806,3.269,260232.92,1703462399999
1703462400000,3.266,3.765,2.723,3.358,304372.16,1704067199999
1704067200000,3.413,3.729,2.812,2.911,193431.64,1704671999999
1704672000000,2.904,3.895,2.682,3.18,277853.07,1705276799999
1705276800000,3.195,3.369,2.766,2.857,144215.16,1705881599999
1705881600000,2.882,2.937,2.406,2.799,189299.1,1706486399999
1706486400000,2.802,3.037,2.606,2.782,92031.0,1707091199999
1707091200000,2.756,3.361,2.713,3.265,217670.97,1707695999999
1707696000000,3.292,3.686,3.2,3.503,189080.59,1708300799999
1708300800000,3.523,3.875,3.175,3.584,327446.63,1708905599999
1708905600000,3.581,3.981,3.233,3.672,272332.92,1709510399999
1709510400000,3.67,4.472,3.318,4.153,508799.27,1710115199999
1710115200000,4.167,4.249,3.09,3.303,255624.06,1710719999999
1710720000000,3.275,3.51,2.74,3.436,328282.05,1711324799999
1711324800000,3.431,3.733,3.316,3.413,115036.08,1711929599999
1711929600000,3.419,3.423,2.641,2.959,156353.27,1712534399999
1712534400000,2.939,3.13,1.734,2.196,434088.46,1713139199999
1713139200000,2.197,2.384,1.928,2.289,90933.25,1713743999999
1713744000000,2.314,2.603,2.106,2.457,99428.66,1714348799999
1714348800000,2.466,2.823,2.14,2.693,232564.64,1714953599999
1714953600000,2.72,2.778,2.312,2.359,51737.82,1715558399999
1715558400000,2.333,2.425,2.105,2.278,67285.33,1716163199999
1716163200000,2.255,2.784,2.233,2.337,288639.62,1716767999999
1716768000000,2.322,2.422,2.158,2.203,68480.38,1717372799999
1717372800000,2.19,2.347,1.9,2.071,96190.87,1717977599999
1717977600000,2.072,2.091,1.75,1.952,66333.75,1718582399999
1718582400000,1.971,1.971,1.565,1.597,58150.33,1719187199999
1719187200000,1.611,1.717,1.51,1.677,28906.11,1719791999999
1719792000000,1.713,1.732,1.14,1.299,93929.61,1720396799999
1720396800000,1.24,1.676,1.238,1.651,55237.05,1721001599999
1721001600000,1.649,1.814,1.563,1.799,86210.56,1721606399999
1721606400000,1.809,1.815,1.514,1.555,76990.03,1722211199999
1722211200000,1.591,1.659,1.186,1.234,128459.52,1722815999999
1722816000000,1.212,1.352,0.979,1.2,196394.96,1723420799999
1723420800000,1.203,1.308,1.118,1.214,161411.99,1724025599999
1724025600000,1.213,1.469,1.181,1.38,69909.81,1724630399999
1724630400000,1.391,1.391,1.214,1.222,109233.82,1725235199999
1725235200000,1.232,1.329,1.154,1.279,124485.33,1725839999999
1725840000000,1.285,1.469,1.285,1.33,73762.26,1726444799999
1726444800000,1.312,1.615,1.272,1.517,121724.85,1727049599999
1727049600000,1.5,1.733,1.482,1.686,102150.27,1727654399999
1727654400000,1.701,1.718,1.351,1.49,107860.23,1728259199999
1728259200000,1.534,1.601,1.365,1.546,70384.09,1728863999999
1728864000000,1.564,1.661,1.534,1.654,51337.39,1729468799999
1729468800000,1.662,1.679,1.389,1.482,59290.46,1730073599999
1730073600000,1.474,1.658,1.252,1.321,123227.62,1730678399999
1730678400000,1.313,1.609,1.2,1.528,226700.68,1731283199999
1731283200000,1.52,1.737,1.4,1.586,435523.87,1731887999999
1731888000000,1.592,2.25,1.521,2.095,1086038.1,1732492799999
1732492800000,2.081,2.484,2.001,2.329,737399.4,1733097599999
1733097600000,2.341,2.647,2.174,2.524,534544.05,1733702399999
1733702400000,2.518,2.586,1.85,2.407,425014.74,1734307199999
1734307200000,2.408,2.491,1.55,1.697,379830.92,1734911999999
1734912000000,1.684,1.906,1.657,1.73,243039.54,1735516799999
1735516800000,1.749,2.052,1.657,2.035,257349.02,1736121599999
1736121600000,2.018,2.1,1.66,1.742,209378.23,1736726399999
1736726400000,1.743,1.934,1.555,1.666,181980.34,1737331199999
1737331200000,1.633,1.794,1.493,1.493,182581.13,1737935999999
1737936000000,1.48,1.482,1.04,1.079,263481.25,1738540799999
1738540800000,1.08,1.174,0.774,1.035,187717.43,1739145599999
1739145600000,1.056,1.143,1.009,1.066,40307.05,1739750399999
1739750400000,1.072,1.2,1.0,1.123,94756.69,1740355199999
1740355200000,1.136,1.15,0.893,1.121,286333.18,1740959999999
1740960000000,1.108,1.117,0.775,0.779,165178.62,1741564799999
1741564800000,0.786,0.857,0.687,0.761,177939.44,1742169599999
1742169600000,0.768,0.86,0.768,0.787,179159.71,1742774399999
1742774400000,0.793,0.859,0.681,0.681,116923.23,1743379199999
1743379200000,0.688,0.716,0.528,0.539,121839.77,1743983999999
1743984000000,0.547,0.624,0.496,0.591,121303.12,1744588799999
1744588800000,0.602,0.632,0.544,0.626,57454.13,1745193599999
1745193600000,0.626,0.751,0.59,0.684,342701.98,1745798399999
1745798400000,0.683,0.709,0.581,0.581,295027.5,1746403199999
1746403200000,0.59,0.846,0.509,0.769,374997.15,1747007999999
