openTime,open,high,low,close,volume,closeTime
1716422400000,1.239E-5,3.586E-5,1.123E-5,1.38E-5,1.6382447689E10,1716508799999
1716508800000,1.38E-5,1.398E-5,1.243E-5,1.307E-5,8.621979002E9,1716595199999
1716595200000,1.307E-5,3.199E-5,1.305E-5,1.38E-5,9.988647418E9,1716681599999
1716681600000,1.386E-5,1.505E-5,1.346E-5,1.473E-5,1.0922763863E10,1716767999999
1716768000000,1.478E-5,1.59E-5,1.478E-5,1.536E-5,1.6016726377E10,1716854399999
1716854400000,1.53E-5,1.568E-5,1.437E-5,1.474E-5,1.2658537324E10,1716940799999
1716940800000,1.483E-5,1.523E-5,1.328E-5,1.367E-5,1.669740344E10,1717027199999
1717027200000,1.368E-5,1.405E-5,1.219E-5,1.33E-5,2.825154578E10,1717113599999
1717113600000,1.323E-5,1.452E-5,1.32E-5,1.425E-5,1.3182085682E10,1717199999999
1717200000000,1.416E-5,1.453E-5,1.361E-5,1.367E-5,6.627344342E9,1717286399999
1717286400000,1.371E-5,1.4E-5,1.28E-5,1.35E-5,8.326108979E9,1717372799999
1717372800000,1.346E-5,1.426E-5,1.315E-5,1.326E-5,7.919470215E9,1717459199999
1717459200000,1.327E-5,1.356E-5,1.286E-5,1.314E-5,1.2460892429E10,1717545599999
1717545600000,1.316E-5,1.385E-5,1.295E-5,1.336E-5,6.781205338E9,1717631999999
1717632000000,1.338E-5,1.392E-5,1.304E-5,1.312E-5,1.0659083082E10,1717718399999
1717718400000,1.312E-5,1.331E-5,1.045E-5,1.19E-5,2.3599336053E10,1717804799999
1717804800000,1.185E-5,1.226E-5,1.111E-5,1.124E-5,1.1318011183E10,1717891199999
1717891200000,1.124E-5,1.198E-5,1.1E-5,1.184E-5,1.0749449367E10,1717977599999
1717977600000,1.179E-5,1.222E-5,1.12E-5,1.124E-5,1.0936880756E10,1718063999999
1718064000000,1.122E-5,1.21E-5,1.067E-5,1.189E-5,2.0535370583E10,1718150399999
1718150400000,1.19E-5,1.287E-5,1.13E-5,1.221E-5,1.6906802399E10,1718236799999
1718236800000,1.221E-5,1.233E-5,1.092E-5,1.106E-5,1.1509404278E10,1718323199999
1718323200000,1.11E-5,1.147E-5,9.9E-6,1.065E-5,1.5376504345E10,1718409599999
1718409600000,1.068E-5,1.148E-5,1.06E-5,1.106E-5,1.2299875947E10,1718495999999
1718496000000,1.104E-5,1.162E-5,1.072E-5,1.151E-5,9.111952427E9,1718582399999
