openTime,open,high,low,close,volume,closeTime
1618185600000,0.1,5.95,0.1,0.3597,2.28219366272E9,1618790399999
1618790400000,0.3595,0.415,0.196,0.2439,7.6331682135E8,1619395199999
1619395200000,0.2439,0.8786,0.2404,0.7549,2.62161821176E9,1619999999999
1620000000000,0.7549,0.869,0.46,0.6238,2.37991861091E9,1620604799999
1620604800000,0.6243,0.69,0.326,0.3643,1.38482452316E9,1621209599999
1621209600000,0.3646,0.419,0.1121,0.1382,1.16782133068E9,1621814399999
1621814400000,0.1381,0.2745,0.1357,0.1896,1.37105400507E9,1622419199999
1622419200000,0.1898,0.2173,0.1666,0.1751,6.7117146235E8,1623023999999
1623024000000,0.175,0.1825,0.1269,0.1475,7.598288426E8,1623628799999
1623628800000,0.1474,0.1575,0.1102,0.1215,5.6458858199E8,1624233599999
1624233600000,0.1216,0.1226,0.0663,0.0755,9.298126673E8,1624838399999
1624838400000,0.0756,0.0974,0.0701,0.0888,9.090839643E8,1625443199999
1625443200000,0.0888,0.1349,0.079,0.1302,2.18212114736E9,1626047999999
1626048000000,0.1303,0.3313,0.1105,0.1977,8.3026322419E9,1626652799999
1626652800000,0.1977,0.3743,0.1291,0.3683,9.38677535151E9,1627257599999
1627257600000,0.3681,0.3693,0.2506,0.2837,5.99798660612E9,1627862399999
1627862400000,0.284,0.31,0.2518,0.2687,2.5343958596E9,1628467199999
1628467200000,0.2687,0.3435,0.2556,0.3202,3.17979625886E9,1629071999999
1629072000000,0.32,0.3398,0.238,0.2865,2.77961048794E9,1629676799999
1629676800000,0.2865,0.4065,0.2564,0.3688,4.64177850207E9,1630281599999
1630281600000,0.3688,0.4145,0.3082,0.3354,2.39426553005E9,1630886399999
1630886400000,0.3352,0.3581,0.1861,0.2213,2.63934593042E9,1631491199999
1631491200000,0.2211,0.2416,0.1829,0.213,1.426846773E9,1632095999999
1632096000000,0.2131,0.2144,0.1436,0.1618,1.74210472194E9,1632700799999
1632700800000,0.1616,0.218,0.1501,0.2012,1.616516801E9,1633305599999
1633305600000,0.2012,0.231,0.1817,0.1935,1.542778006E9,1633910399999
1633910400000,0.1934,0.2095,0.1739,0.19,9.65233012E8,1634515199999
1634515200000,0.1901,0.2034,0.1801,0.1844,7.11413991E8,1635119999999
1635120000000,0.1844,0.3333,0.1582,0.242,3.808289644E9,1635724799999
1635724800000,0.2418,0.326,0.2266,0.2929,2.993560907E9,1636329599999
1636329600000,0.2929,0.3,0.2225,0.2575,1.464809573E9,1636934399999
1636934400000,0.2574,0.4662,0.2084,0.3399,4.37499883191E9,1637539199999
1637539200000,0.3399,0.57,0.317,0.4131,5.01976622326E9,1638143999999
1638144000000,0.4129,0.485,0.1962,0.2633,3.124902875E9,1638748799999
1638748800000,0.2633,0.28,0.2198,0.2435,1.757563006E9,1639353599999
1639353600000,0.2435,0.2486,0.1993,0.2058,9.80741259E8,1639958399999
1639958400000,0.2056,0.2547,0.1878,0.2502,1.075122374E9,1640563199999
1640563200000,0.2504,0.2649,0.2043,0.219,9.46238714E8,1641167999999
1641168000000,0.2188,0.224,0.158,0.1691,1.046101107E9,1641772799999
1641772800000,0.169,0.191,0.152,0.1806,8.15127367E8,1642377599999
1642377600000,0.1804,0.1818,0.0963,0.1081,1.23981382942E9,1642982399999
1642982400000,0.108,0.1203,0.0897,0.1069,1.12216624613E9,1643587199999
1643587200000,0.1069,0.1439,0.1017,0.14,1.448411955E9,1644191999999
1644192000000,0.14,0.1645,0.1221,0.1227,2.085427754E9,1644796799999
1644796800000,0.1227,0.1437,0.1075,0.1126,1.333240036E9,1645401599999
1645401600000,0.1126,0.1227,0.085,0.1,1.634169969E9,1646006399999
1646006400000,0.1,0.1182,0.0942,0.0967,1.161233905E9,1646611199999
1646611200000,0.0967,0.1041,0.0891,0.0905,9.19803123E8,1647215999999
1647216000000,0.0904,0.1079,0.0887,0.1004,1.271762063E9,1647820799999
1647820800000,0.1004,0.1274,0.097,0.1252,1.94471987E9,1648425599999
1648425600000,0.1252,0.1483,0.1151,0.1359,2.588685683E9,1649030399999
1649030400000,0.1359,0.1379,0.1055,0.1061,1.194683563E9,1649635199999
1649635200000,0.1061,0.1067,0.0948,0.0967,9.1456019E8,1650239999999
1650240000000,0.0967,0.1048,0.09,0.0941,1.041825715E9,1650844799999
1650844800000,0.0941,0.0966,0.07,0.0771,1.47736504988E9,1651449599999
1651449600000,0.0771,0.0838,0.0662,0.0675,1.45320941504E9,1652054399999
1652054400000,0.0676,0.0694,0.0235,0.0361,3.58284012381E9,1652659199999
1652659200000,0.0362,0.0434,0.0308,0.0397,2.789191592E9,1653263999999
1653264000000,0.0397,0.0409,0.0304,0.0342,1.958529242E9,1653868799999
1653868800000,0.0342,0.0411,0.0322,0.0351,2.283435015E9,1654473599999
1654473600000,0.0352,0.0394,0.0248,0.0249,1.707448034E9,1655078399999
1655078400000,0.0248,0.0271,0.0201,0.0238,1.415320064E9,1655683199999
1655683200000,0.0237,0.0322,0.0226,0.027,1.277514425E9,1656287999999
1656288000000,0.0269,0.0297,0.0232,0.0241,7.79046879E8,1656892799999
1656892800000,0.0241,0.0333,0.0236,0.0268,1.475570849E9,1657497599999
1657497600000,0.0267,0.0295,0.024,0.02665,1.597446545E9,1658102399999
1658102400000,0.02667,0.03049,0.02568,0.02742,1.913773594E9,1658707199999
1658707200000,0.02742,0.03149,0.0244,0.03058,1.431053371E9,1659311999999
1659312000000,0.03057,0.03331,0.02822,0.03138,9.96199537E8,1659916799999
1659916800000,0.03138,0.0345,0.0295,0.03214,9.81543561E8,1660521599999
1660521600000,0.03214,0.03314,0.0251,0.02698,7.79525693E8,1661126399999
1661126400000,0.02699,0.029,0.024,0.02418,6.6088242E8,1661731199999
1661731200000,0.02416,0.02593,0.02355,0.0252,5.12087737E8,1662335999999
1662336000000,0.0252,0.0265,0.0229,0.02543,6.44961642E8,1662940799999
1662940800000,0.02544,0.0259,0.0214,0.02161,6.20561128E8,1663545599999
1663545600000,0.0216,0.02238,0.02027,0.02099,4.98755698E8,1664150399999
1664150400000,0.02099,0.02633,0.02068,0.02478,2.033511381E9,1664755199999
1664755200000,0.02478,0.0264,0.02275,0.02327,9.85362851E8,1665359999999
1665360000000,0.02327,0.02361,0.01922,0.02162,6.43923034E8,1665964799999
1665964800000,0.0216,0.02258,0.01935,0.02065,4.01511149E8,1666569599999
1666569600000,0.02068,0.02433,0.02013,0.02161,8.37903057E8,1667174399999
1667174400000,0.02161,0.0243,0.02009,0.02163,8.84264354E8,1667779199999
1667779200000,0.02162,0.02234,0.01386,0.01537,1.247651122E9,1668383999999
1668384000000,0.01537,0.01692,0.01428,0.01465,7.30021256E8,1668988799999
1668988800000,0.01463,0.01591,0.01376,0.01529,5.48643889E8,1669593599999
1669593600000,0.01531,0.017,0.01462,0.01612,7.17569158E8,1670198399999
1670198400000,0.01612,0.0164,0.01491,0.01533,4.04512773E8,1670803199999
1670803200000,0.01533,0.01667,0.0128,0.01311,7.36027863E8,1671407999999
1671408000000,0.01312,0.0134,0.0121,0.01255,2.24106329E8,1672012799999
1672012800000,0.01256,0.0138,0.01176,0.01209,4.45451671E8,1672617599999
1672617600000,0.01209,0.01347,0.01185,0.01339,6.92209984E8,1673222399999
1673222400000,0.01339,0.01718,0.01314,0.01662,1.280885723E9,1673827199999
1673827200000,0.01662,0.0196,0.01451,0.01815,9.88443336E8,1674431999999
1674432000000,0.01814,0.02572,0.017,0.02241,2.058652302E9,1675036799999
1675036800000,0.02242,0.0249,0.02,0.02341,1.288827229E9,1675641599999
1675641600000,0.02342,0.0257,0.01921,0.02212,1.120733338E9,1676246399999
1676246400000,0.02218,0.02463,0.01971,0.02322,1.069546002E9,1676851199999
1676851200000,0.02322,0.02952,0.02248,0.0237,1.54409613E9,1677455999999
1677456000000,0.02371,0.02398,0.01823,0.01897,6.0582746E8,1678060799999
1678060800000,0.01895,0.0197,0.01515,0.01741,6.30636353E8,1678665599999
1678665600000,0.01741,0.02045,0.01683,0.01955,9.89900882E8,1679270399999
1679270400000,0.01955,0.02337,0.0183,0.01904,1.741131915E9,1679875199999
1679875200000,0.01906,0.02085,0.01774,0.01986,8.88275161E8,1680479999999
1680480000000,0.01985,0.02294,0.01908,0.02104,1.11823252E9,1681084799999
1681084800000,0.02103,0.02436,0.0204,0.02339,1.347706543E9,1681689599999
1681689600000,0.02339,0.02343,0.01854,0.01926,7.75214764E8,1682294399999
1682294400000,0.01925,0.02015,0.01807,0.01906,5.90814331E8,1682899199999
1682899200000,0.01906,0.01913,0.01704,0.01716,4.06853911E8,1683503999999
1683504000000,0.01716,0.01736,0.0143,0.01557,6.56248536E8,1684108799999
1684108800000,0.01559,0.01698,0.01531,0.01598,3.72934465E8,1684713599999
1684713600000,0.01598,0.01656,0.01514,0.01625,3.91708474E8,1685318399999
1685318400000,0.01626,0.01638,0.01487,0.01534,3.17107094E8,1685923199999
1685923200000,0.01534,0.01534,0.00936,0.01015,8.00176543E8,1686527999999
1686528000000,0.01013,0.01084,0.00967,0.0103,4.6036533E8,1687132799999
1687132800000,0.01029,0.01227,0.0102,0.01193,5.90254231E8,1687737599999
1687737600000,0.01194,0.012,0.01022,0.01183,7.3237918E8,1688342399999
1688342400000,0.01183,0.01234,0.01087,0.01106,7.61467673E8,1688947199999
1688947200000,0.01109,0.01255,0.01066,0.01145,7.13899866E8,1689551999999
1689552000000,0.01145,0.01192,0.01081,0.01127,4.83515365E8,1690156799999
1690156800000,0.01127,0.01128,0.01042,0.01074,4.49916435E8,1690761599999
1690761600000,0.01073,0.0121,0.01023,0.0113,1.109421746E9,1691366399999
1691366400000,0.0113,0.01357,0.0112,0.01301,2.769673227E9,1691971199999
1691971200000,0.013,0.01358,0.00911,0.01035,1.288003194E9,1692575999999
1692576000000,0.01036,0.01039,0.0096,0.0099,5.46575282E8,1693180799999
