openTime,open,high,low,close,volume,closeTime
1607299200000,0.1327,0.14814,0.12401,0.14458,2093030.2,1607903999999
1607904000000,0.14499,0.1707,0.13133,0.145,1.02238721E7,1608508799999
1608508800000,0.14501,0.14706,0.091,0.1175,1.89737931E7,1609113599999
1609113600000,0.11826,0.12664,0.09634,0.10821,1.67727528E7,1609718399999
1609718400000,0.10843,0.33298,0.10277,0.23041,1.641072483E8,1610323199999
1610323200000,0.23011,0.2665,0.17304,0.25167,7.03630687E7,1610927999999
1610928000000,0.25167,0.26479,0.1858,0.22338,3.45499317E7,1611532799999
1611532800000,0.22368,0.31599,0.1911,0.25347,6.96136629E7,1612137599999
1612137600000,0.2539,0.352,0.242,0.32089,8.78526267E7,1612742399999
1612742400000,0.32182,0.5019,0.31123,0.42703,8.29917551E7,1613347199999
1613347200000,0.42735,0.44671,0.35609,0.40933,6.19955879E7,1613951999999
1613952000000,0.40999,0.436,0.25395,0.336,9.37772683E7,1614556799999
1614556800000,0.33633,0.36354,0.32404,0.34582,4.3728568E7,1615161599999
1615161600000,0.3464,0.36541,0.31458,0.32486,5.39610352E7,1615766399999
1615766400000,0.32426,0.36846,0.309,0.34034,6.31892523E7,1616371199999
1616371200000,0.34098,0.35705,0.2897,0.33724,4.55561176E7,1616975999999
1616976000000,0.3375,0.39782,0.32344,0.3651,5.86289318E7,1617580799999
1617580800000,0.3657,0.55,0.35991,0.49004,1.08007951E8,1618185599999
1618185600000,0.49004,0.57755,0.40032,0.45826,7.96577172E7,1618790399999
1618790400000,0.46051,0.47644,0.30383,0.34566,5.12600248E7,1619395199999
1619395200000,0.34569,0.46658,0.34495,0.4622,5.61803016E7,1619999999999
1620000000000,0.46209,0.57452,0.41276,0.51609,9.11353589E7,1620604799999
1620604800000,0.51762,0.65868,0.458,0.58735,1.336878169E8,1621209599999
1621209600000,0.58542,0.58818,0.22502,0.30111,1.122813837E8,1621814399999
1621814400000,0.30113,0.38499,0.28288,0.30923,7.56133134E7,1622419199999
1622419200000,0.30797,0.3671,0.30001,0.3136,6.36699797E7,1623023999999
1623024000000,0.3136,0.32267,0.24808,0.28448,6.56747639E7,1623628799999
1623628800000,0.28462,0.29055,0.22809,0.25069,5.21733284E7,1624233599999
1624233600000,0.25083,0.25471,0.16747,0.21768,6.14986483E7,1624838399999
1624838400000,0.21768,0.24721,0.21351,0.22539,3.36298336E7,1625443199999
1625443200000,0.22561,0.22613,0.19669,0.20676,2.64661692E7,1626047999999
